date,geography_code,c_age_name,c_dpcfamuk11_name,c_fmtfamuk11_name,obs_value
2001,E09000007,FRP Age 24 and under,Families with no dependent children,Lone parent family: Male parent,0
2001,E09000007,FRP Age 24 and under,Families with no dependent children,Lone parent family: Female parent,0
2001,E09000007,FRP Age 24 and under,Families with no dependent children,Couple family: Married or remarried - Non step-family,85
2001,E09000007,FRP Age 24 and under,Families with no dependent children,Couple family: Married or remarried - Step-family,3
2001,E09000007,FRP Age 24 and under,Families with no dependent children,Couple family: Cohabiting: Non step-family,610
2001,E09000007,FRP Age 24 and under,Families with no dependent children,Couple family: Cohabiting: Step-family,0
2001,E09000007,FRP Age 24 and under,One dependent child in family aged 0 to 4,Lone parent family: Male parent,9
2001,E09000007,FRP Age 24 and under,One dependent child in family aged 0 to 4,Lone parent family: Female parent,301
2001,E09000007,FRP Age 24 and under,One dependent child in family aged 0 to 4,Couple family: Married or remarried - Non step-family,45
2001,E09000007,FRP Age 24 and under,One dependent child in family aged 0 to 4,Couple family: Married or remarried - Step-family,0
2001,E09000007,FRP Age 24 and under,One dependent child in family aged 0 to 4,Couple family: Cohabiting: Non step-family,31
2001,E09000007,FRP Age 24 and under,One dependent child in family aged 0 to 4,Couple family: Cohabiting: Step-family,4
2001,E09000007,FRP Age 24 and under,One dependent child in family aged 5 to 7,Lone parent family: Male parent,0
2001,E09000007,FRP Age 24 and under,One dependent child in family aged 5 to 7,Lone parent family: Female parent,30
2001,E09000007,FRP Age 24 and under,One dependent child in family aged 5 to 7,Couple family: Married or remarried - Non step-family,3
2001,E09000007,FRP Age 24 and under,One dependent child in family aged 5 to 7,Couple family: Married or remarried - Step-family,0
2001,E09000007,FRP Age 24 and under,One dependent child in family aged 5 to 7,Couple family: Cohabiting: Non step-family,0
2001,E09000007,FRP Age 24 and under,One dependent child in family aged 5 to 7,Couple family: Cohabiting: Step-family,0
2001,E09000007,FRP Age 24 and under,One dependent child in family aged 8 to 9,Lone parent family: Male parent,0
