date,geography_code,c_age_name,hhtype_name,c_age_code,hhtype_code,obs_value
2001,E09000007,All Adults,All adults,0,0,152041
2001,E09000007,All Adults,In a couple household,0,1,71694
2001,E09000007,All Adults,Not in a couple household,0,2,80347
2001,E09000007,Aged 16 to 24,All adults,1,0,19353
2001,E09000007,Aged 16 to 24,In a couple household,1,1,7787
2001,E09000007,Aged 16 to 24,Not in a couple household,1,2,11566
2001,E09000007,no dependent children in household,All adults,2,0,13997
2001,E09000007,no dependent children in household,In a couple household,2,1,4591
2001,E09000007,no dependent children in household,Not in a couple household,2,2,9406
2001,E09000007,"dependent children in household, youngest aged 0 to 4",All adults,3,0,1934
2001,E09000007,"dependent children in household, youngest aged 0 to 4",In a couple household,3,1,1217
2001,E09000007,"dependent children in household, youngest aged 0 to 4",Not in a couple household,3,2,717
2001,E09000007,"dependent children in household, youngest aged 5 to 9",All adults,4,0,864
2001,E09000007,"dependent children in household, youngest aged 5 to 9",In a couple household,4,1,490
2001,E09000007,"dependent children in household, youngest aged 5 to 9",Not in a couple household,4,2,374
2001,E09000007,"dependent children in household, youngest aged 10 to 15",All adults,5,0,1670
2001,E09000007,"dependent children in household, youngest aged 10 to 15",In a couple household,5,1,941
2001,E09000007,"dependent children in household, youngest aged 10 to 15",Not in a couple household,5,2,729
2001,E09000007,"dependent children in household, youngest aged 16 to 18",All adults,6,0,888
2001,E09000007,"dependent children in household, youngest aged 16 to 18",In a couple household,6,1,548
2001,E09000007,"dependent children in household, youngest aged 16 to 18",Not in a couple household,6,2,340
2001,E09000007,Aged 25 to 34,All adults,7,0,46389
2001,E09000007,Aged 25 to 34,In a couple household,7,1,23298
2001,E09000007,Aged 25 to 34,Not in a couple household,7,2,23091
2001,E09000007,no dependent children in household,All adults,8,0,36113
2001,E09000007,no dependent children in household,In a couple household,8,1,15955
2001,E09000007,no dependent children in household,Not in a couple household,8,2,20158
2001,E09000007,"dependent children in household, youngest aged 0 to 4",All adults,9,0,7383
2001,E09000007,"dependent children in household, youngest aged 0 to 4",In a couple household,9,1,5874
2001,E09000007,"dependent children in household, youngest aged 0 to 4",Not in a couple household,9,2,1509
2001,E09000007,"dependent children in household, youngest aged 5 to 9",All adults,10,0,1770
2001,E09000007,"dependent children in household, youngest aged 5 to 9",In a couple household,10,1,900
2001,E09000007,"dependent children in household, youngest aged 5 to 9",Not in a couple household,10,2,870
2001,E09000007,"dependent children in household, youngest aged 10 to 15",All adults,11,0,855
2001,E09000007,"dependent children in household, youngest aged 10 to 15",In a couple household,11,1,405
2001,E09000007,"dependent children in household, youngest aged 10 to 15",Not in a couple household,11,2,450
2001,E09000007,"dependent children in household, youngest aged 16 to 18",All adults,12,0,268
2001,E09000007,"dependent children in household, youngest aged 16 to 18",In a couple household,12,1,164
2001,E09000007,"dependent children in household, youngest aged 16 to 18",Not in a couple household,12,2,104
2001,E09000007,Aged 35 to 44,All adults,13,0,30103
2001,E09000007,Aged 35 to 44,In a couple household,13,1,14863
2001,E09000007,Aged 35 to 44,Not in a couple household,13,2,15240
2001,E09000007,no dependent children in household,All adults,14,0,17201
2001,E09000007,no dependent children in household,In a couple household,14,1,5158
2001,E09000007,no dependent children in household,Not in a couple household,14,2,12043
2001,E09000007,"dependent children in household, youngest aged 0 to 4",All adults,15,0,6423
2001,E09000007,"dependent children in household, youngest aged 0 to 4",In a couple household,15,1,5545
2001,E09000007,"dependent children in household, youngest aged 0 to 4",Not in a couple household,15,2,878
2001,E09000007,"dependent children in household, youngest aged 5 to 9",All adults,16,0,3599
2001,E09000007,"dependent children in household, youngest aged 5 to 9",In a couple household,16,1,2504
2001,E09000007,"dependent children in household, youngest aged 5 to 9",Not in a couple household,16,2,1095
2001,E09000007,"dependent children in household, youngest aged 10 to 15",All adults,17,0,2353
