date,geography_code,c_cob_name,c_sex_name,c_age_name,obs_value
2001,E09000007,United Kingdom,Males,All people,62507
2001,E09000007,United Kingdom,Males,Aged 0 to 15,14131
2001,E09000007,United Kingdom,Males,Aged 16 to pensionable age,42642
2001,E09000007,United Kingdom,Males,Pensionable age and over,5734
2001,E09000007,United Kingdom,Females,All people,62691
2001,E09000007,United Kingdom,Females,Aged 0 to 15,13656
2001,E09000007,United Kingdom,Females,Aged 16 to pensionable age,39433
2001,E09000007,United Kingdom,Females,Pensionable age and over,9602
2001,E09000007,England,Males,All people,57963
2001,E09000007,England,Males,Aged 0 to 15,14010
2001,E09000007,England,Males,Aged 16 to pensionable age,38783
2001,E09000007,England,Males,Pensionable age and over,5170
2001,E09000007,England,Females,All people,58624
2001,E09000007,England,Females,Aged 0 to 15,13515
2001,E09000007,England,Females,Aged 16 to pensionable age,36406
2001,E09000007,England,Females,Pensionable age and over,8703
2001,E09000007,Scotland,Males,All people,2427
2001,E09000007,Scotland,Males,Aged 0 to 15,30
2001,E09000007,Scotland,Males,Aged 16 to pensionable age,2090
2001,E09000007,Scotland,Males,Pensionable age and over,307
2001,E09000007,Scotland,Females,All people,2033
2001,E09000007,Scotland,Females,Aged 0 to 15,31
2001,E09000007,Scotland,Females,Aged 16 to pensionable age,1586
2001,E09000007,Scotland,Females,Pensionable age and over,416
2001,E09000007,Northern Ireland,Males,All people,838
2001,E09000007,Northern Ireland,Males,Aged 0 to 15,10
2001,E09000007,Northern Ireland,Males,Aged 16 to pensionable age,714
2001,E09000007,Northern Ireland,Males,Pensionable age and over,114
2001,E09000007,Northern Ireland,Females,All people,641
2001,E09000007,Northern Ireland,Females,Aged 0 to 15,11
2001,E09000007,Northern Ireland,Females,Aged 16 to pensionable age,480
2001,E09000007,Northern Ireland,Females,Pensionable age and over,150
2001,E09000007,Wales,Males,All people,1214
2001,E09000007,Wales,Males,Aged 0 to 15,43
2001,E09000007,Wales,Males,Aged 16 to pensionable age,1028
2001,E09000007,Wales,Males,Pensionable age and over,143
2001,E09000007,Wales,Females,All people,1315
2001,E09000007,Wales,Females,Aged 0 to 15,45
2001,E09000007,Wales,Females,Aged 16 to pensionable age,940
2001,E09000007,Wales,Females,Pensionable age and over,330
2001,E09000007,UK part not specified,Males,All people,65
2001,E09000007,UK part not specified,Males,Aged 0 to 15,38
2001,E09000007,UK part not specified,Males,Aged 16 to pensionable age,27
2001,E09000007,UK part not specified,Males,Pensionable age and over,0
2001,E09000007,UK part not specified,Females,All people,78
2001,E09000007,UK part not specified,Females,Aged 0 to 15,54
2001,E09000007,UK part not specified,Females,Aged 16 to pensionable age,21
2001,E09000007,UK part not specified,Females,Pensionable age and over,3
2001,E09000007,Republic of Ireland,Males,All people,3045
2001,E09000007,Republic of Ireland,Males,Aged 0 to 15,51
2001,E09000007,Republic of Ireland,Males,Aged 16 to pensionable age,2177
2001,E09000007,Republic of Ireland,Males,Pensionable age and over,817
2001,E09000007,Republic of Ireland,Females,All people,3461
2001,E09000007,Republic of Ireland,Females,Aged 0 to 15,53
2001,E09000007,Republic of Ireland,Females,Aged 16 to pensionable age,1964
2001,E09000007,Republic of Ireland,Females,Pensionable age and over,1444
2001,E09000007,Ireland not otherwise specified,Males,All people,10
2001,E09000007,Ireland not otherwise specified,Males,Aged 0 to 15,0
2001,E09000007,Ireland not otherwise specified,Males,Aged 16 to pensionable age,6
2001,E09000007,Ireland not otherwise specified,Males,Pensionable age and over,4
2001,E09000007,Ireland not otherwise specified,Females,All people,7
2001,E09000007,Ireland not otherwise specified,Females,Aged 0 to 15,0
2001,E09000007,Ireland not otherwise specified,Females,Aged 16 to pensionable age,4
2001,E09000007,Ireland not otherwise specified,Females,Pensionable age and over,3
2001,E09000007,Channel Islands and Isle of Man,Males,All people,61
2001,E09000007,Channel Islands and Isle of Man,Males,Aged 0 to 15,0
2001,E09000007,Channel Islands and Isle of Man,Males,Aged 16 to pensionable age,55
2001,E09000007,Channel Islands and Isle of Man,Males,Pensionable age and over,6
2001,E09000007,Channel Islands and Isle of Man,Females,All people,59
2001,E09000007,Channel Islands and Isle of Man,Females,Aged 0 to 15,3
2001,E09000007,Channel Islands and Isle of Man,Females,Aged 16 to pensionable age,51
2001,E09000007,Channel Islands and Isle of Man,Females,Pensionable age and over,5
2001,E09000007,Other Western Europe,Males,All people,5366
2001,E09000007,Other Western Europe,Males,Aged 0 to 15,303
2001,E09000007,Other Western Europe,Males,Aged 16 to pensionable age,4548
2001,E09000007,Other Western Europe,Males,Pensionable age and over,515
2001,E09000007,Other Western Europe,Females,All people,7289
2001,E09000007,Other Western Europe,Females,Aged 0 to 15,291
2001,E09000007,Other Western Europe,Females,Aged 16 to pensionable age,5593
2001,E09000007,Other Western Europe,Females,Pensionable age and over,1405
2001,E09000007,EU Countries,Males,All people,4977
2001,E09000007,EU Countries,Males,Aged 0 to 15,285
2001,E09000007,EU Countries,Males,Aged 16 to pensionable age,4223
2001,E09000007,EU Countries,Males,Pensionable age and over,469
2001,E09000007,EU Countries,Females,All people,6823
2001,E09000007,EU Countries,Females,Aged 0 to 15,264
2001,E09000007,EU Countries,Females,Aged 16 to pensionable age,5241
2001,E09000007,EU Countries,Females,Pensionable age and over,1318
2001,E09000007,France,Males,All people,747
2001,E09000007,France,Males,Aged 0 to 15,81
2001,E09000007,France,Males,Aged 16 to pensionable age,640
2001,E09000007,France,Males,Pensionable age and over,26
2001,E09000007,France,Females,All people,1098
2001,E09000007,France,Females,Aged 0 to 15,77
2001,E09000007,France,Females,Aged 16 to pensionable age,916
2001,E09000007,France,Females,Pensionable age and over,105
2001,E09000007,Germany,Males,All people,965
2001,E09000007,Germany,Males,Aged 0 to 15,31
2001,E09000007,Germany,Males,Aged 16 to pensionable age,745
2001,E09000007,Germany,Males,Pensionable age and over,189
2001,E09000007,Germany,Females,All people,1378
2001,E09000007,Germany,Females,Aged 0 to 15,37
2001,E09000007,Germany,Females,Aged 16 to pensionable age,886
2001,E09000007,Germany,Females,Pensionable age and over,455
2001,E09000007,Italy,Males,All people,912
2001,E09000007,Italy,Males,Aged 0 to 15,27
2001,E09000007,Italy,Males,Aged 16 to pensionable age,807
2001,E09000007,Italy,Males,Pensionable age and over,78
2001,E09000007,Italy,Females,All people,1095
2001,E09000007,Italy,Females,Aged 0 to 15,34
2001,E09000007,Italy,Females,Aged 16 to pensionable age,822
2001,E09000007,Italy,Females,Pensionable age and over,239
2001,E09000007,Netherlands,Males,All people,245
2001,E09000007,Netherlands,Males,Aged 0 to 15,10
2001,E09000007,Netherlands,Males,Aged 16 to pensionable age,227
2001,E09000007,Netherlands,Males,Pensionable age and over,8
2001,E09000007,Netherlands,Females,All people,271
2001,E09000007,Netherlands,Females,Aged 0 to 15,15
2001,E09000007,Netherlands,Females,Aged 16 to pensionable age,223
2001,E09000007,Netherlands,Females,Pensionable age and over,33
2001,E09000007,Spain,Males,All people,468
2001,E09000007,Spain,Males,Aged 0 to 15,26
2001,E09000007,Spain,Males,Aged 16 to pensionable age,396
2001,E09000007,Spain,Males,Pensionable age and over,46
2001,E09000007,Spain,Females,All people,703
2001,E09000007,Spain,Females,Aged 0 to 15,29
2001,E09000007,Spain,Females,Aged 16 to pensionable age,540
2001,E09000007,Spain,Females,Pensionable age and over,134
2001,E09000007,Other EU,Males,All people,1640
2001,E09000007,Other EU,Males,Aged 0 to 15,110
2001,E09000007,Other EU,Males,Aged 16 to pensionable age,1408
2001,E09000007,Other EU,Males,Pensionable age and over,122
2001,E09000007,Other EU,Females,All people,2278
2001,E09000007,Other EU,Females,Aged 0 to 15,72
2001,E09000007,Other EU,Females,Aged 16 to pensionable age,1854
2001,E09000007,Other EU,Females,Pensionable age and over,352
2001,E09000007,Non EU countries in Western Europe,Males,All people,389
2001,E09000007,Non EU countries in Western Europe,Males,Aged 0 to 15,18
2001,E09000007,Non EU countries in Western Europe,Males,Aged 16 to pensionable age,325
2001,E09000007,Non EU countries in Western Europe,Males,Pensionable age and over,46
2001,E09000007,Non EU countries in Western Europe,Females,All people,466
2001,E09000007,Non EU countries in Western Europe,Females,Aged 0 to 15,27
2001,E09000007,Non EU countries in Western Europe,Females,Aged 16 to pensionable age,352
2001,E09000007,Non EU countries in Western Europe,Females,Pensionable age and over,87
2001,E09000007,Eastern Europe,Males,All people,2119
2001,E09000007,Eastern Europe,Males,Aged 0 to 15,255
2001,E09000007,Eastern Europe,Males,Aged 16 to pensionable age,1593
2001,E09000007,Eastern Europe,Males,Pensionable age and over,271
2001,E09000007,Eastern Europe,Females,All people,2803
2001,E09000007,Eastern Europe,Females,Aged 0 to 15,237
2001,E09000007,Eastern Europe,Females,Aged 16 to pensionable age,2152
2001,E09000007,Eastern Europe,Females,Pensionable age and over,414
2001,E09000007,Poland,Males,All people,340
2001,E09000007,Poland,Males,Aged 0 to 15,38
2001,E09000007,Poland,Males,Aged 16 to pensionable age,182
2001,E09000007,Poland,Males,Pensionable age and over,120
2001,E09000007,Poland,Females,All people,512
2001,E09000007,Poland,Females,Aged 0 to 15,29
2001,E09000007,Poland,Females,Aged 16 to pensionable age,354
2001,E09000007,Poland,Females,Pensionable age and over,129
2001,E09000007,Other Eastern Europe,Males,All people,1779
2001,E09000007,Other Eastern Europe,Males,Aged 0 to 15,217
2001,E09000007,Other Eastern Europe,Males,Aged 16 to pensionable age,1411
2001,E09000007,Other Eastern Europe,Males,Pensionable age and over,151
2001,E09000007,Other Eastern Europe,Females,All people,2291
2001,E09000007,Other Eastern Europe,Females,Aged 0 to 15,208
2001,E09000007,Other Eastern Europe,Females,Aged 16 to pensionable age,1798
2001,E09000007,Other Eastern Europe,Females,Pensionable age and over,285
2001,E09000007,Africa,Males,All people,5977
2001,E09000007,Africa,Males,Aged 0 to 15,695
2001,E09000007,Africa,Males,Aged 16 to pensionable age,4892
2001,E09000007,Africa,Males,Pensionable age and over,390
2001,E09000007,Africa,Females,All people,6838
2001,E09000007,Africa,Females,Aged 0 to 15,711
2001,E09000007,Africa,Females,Aged 16 to pensionable age,5526
2001,E09000007,Africa,Females,Pensionable age and over,601
2001,E09000007,North Africa,Males,All people,816
2001,E09000007,North Africa,Males,Aged 0 to 15,65
2001,E09000007,North Africa,Males,Aged 16 to pensionable age,687
2001,E09000007,North Africa,Males,Pensionable age and over,64
2001,E09000007,North Africa,Females,All people,689
2001,E09000007,North Africa,Females,Aged 0 to 15,63
2001,E09000007,North Africa,Females,Aged 16 to pensionable age,539
2001,E09000007,North Africa,Females,Pensionable age and over,87
2001,E09000007,Central and Western Africa,Males,All people,1524
2001,E09000007,Central and Western Africa,Males,Aged 0 to 15,188
2001,E09000007,Central and Western Africa,Males,Aged 16 to pensionable age,1218
2001,E09000007,Central and Western Africa,Males,Pensionable age and over,118
2001,E09000007,Central and Western Africa,Females,All people,1933
2001,E09000007,Central and Western Africa,Females,Aged 0 to 15,176
2001,E09000007,Central and Western Africa,Females,Aged 16 to pensionable age,1627
2001,E09000007,Central and Western Africa,Females,Pensionable age and over,130
2001,E09000007,Nigeria,Males,All people,681
2001,E09000007,Nigeria,Males,Aged 0 to 15,65
2001,E09000007,Nigeria,Males,Aged 16 to pensionable age,555
2001,E09000007,Nigeria,Males,Pensionable age and over,61
2001,E09000007,Nigeria,Females,All people,807
2001,E09000007,Nigeria,Females,Aged 0 to 15,57
2001,E09000007,Nigeria,Females,Aged 16 to pensionable age,696
2001,E09000007,Nigeria,Females,Pensionable age and over,54
2001,E09000007,Other Central and Western Africa,Males,All people,843
2001,E09000007,Other Central and Western Africa,Males,Aged 0 to 15,123
2001,E09000007,Other Central and Western Africa,Males,Aged 16 to pensionable age,663
2001,E09000007,Other Central and Western Africa,Males,Pensionable age and over,57
2001,E09000007,Other Central and Western Africa,Females,All people,1126
2001,E09000007,Other Central and Western Africa,Females,Aged 0 to 15,119
2001,E09000007,Other Central and Western Africa,Females,Aged 16 to pensionable age,931
2001,E09000007,Other Central and Western Africa,Females,Pensionable age and over,76
2001,E09000007,South and Eastern Africa,Males,All people,3637
2001,E09000007,South and Eastern Africa,Males,Aged 0 to 15,442
2001,E09000007,South and Eastern Africa,Males,Aged 16 to pensionable age,2987
2001,E09000007,South and Eastern Africa,Males,Pensionable age and over,208
2001,E09000007,South and Eastern Africa,Females,All people,4216
2001,E09000007,South and Eastern Africa,Females,Aged 0 to 15,472
2001,E09000007,South and Eastern Africa,Females,Aged 16 to pensionable age,3360
2001,E09000007,South and Eastern Africa,Females,Pensionable age and over,384
2001,E09000007,Kenya,Males,All people,319
2001,E09000007,Kenya,Males,Aged 0 to 15,31
2001,E09000007,Kenya,Males,Aged 16 to pensionable age,270
2001,E09000007,Kenya,Males,Pensionable age and over,18
2001,E09000007,Kenya,Females,All people,300
2001,E09000007,Kenya,Females,Aged 0 to 15,9
2001,E09000007,Kenya,Females,Aged 16 to pensionable age,275
2001,E09000007,Kenya,Females,Pensionable age and over,16
2001,E09000007,South Africa,Males,All people,1103
2001,E09000007,South Africa,Males,Aged 0 to 15,18
2001,E09000007,South Africa,Males,Aged 16 to pensionable age,966
2001,E09000007,South Africa,Males,Pensionable age and over,119
2001,E09000007,South Africa,Females,All people,1221
2001,E09000007,South Africa,Females,Aged 0 to 15,33
2001,E09000007,South Africa,Females,Aged 16 to pensionable age,971
2001,E09000007,South Africa,Females,Pensionable age and over,217
2001,E09000007,Zimbabwe,Males,All people,166
2001,E09000007,Zimbabwe,Males,Aged 0 to 15,3
2001,E09000007,Zimbabwe,Males,Aged 16 to pensionable age,159
2001,E09000007,Zimbabwe,Males,Pensionable age and over,4
2001,E09000007,Zimbabwe,Females,All people,209
2001,E09000007,Zimbabwe,Females,Aged 0 to 15,9
2001,E09000007,Zimbabwe,Females,Aged 16 to pensionable age,190
