date,geography_code,fam_comp_name,c_sex_name,c_ecopuk11_name,obs_value
2001,E09000007,All parents,All persons,Employed Part-time,5040
2001,E09000007,All parents,All persons,Employed Full-time,12759
2001,E09000007,All parents,All persons,Unemployed,1620
2001,E09000007,All parents,All persons,Economically inactive,11659
2001,E09000007,All parents,Males,Employed Part-time,1487
2001,E09000007,All parents,Males,Employed Full-time,8047
2001,E09000007,All parents,Males,Unemployed,803
2001,E09000007,All parents,Males,Economically inactive,2125
2001,E09000007,All parents,Females,Employed Part-time,3553
2001,E09000007,All parents,Females,Employed Full-time,4712
2001,E09000007,All parents,Females,Unemployed,817
2001,E09000007,All parents,Females,Economically inactive,9534
2001,E09000007,Both parents working - Couple family,All persons,Employed Part-time,2742
2001,E09000007,Both parents working - Couple family,All persons,Employed Full-time,7324
2001,E09000007,Both parents working - Couple family,All persons,Unemployed,0
2001,E09000007,Both parents working - Couple family,All persons,Economically inactive,0
2001,E09000007,Both parents working - Couple family,Males,Employed Part-time,493
2001,E09000007,Both parents working - Couple family,Males,Employed Full-time,4524
2001,E09000007,Both parents working - Couple family,Males,Unemployed,0
2001,E09000007,Both parents working - Couple family,Males,Economically inactive,0
2001,E09000007,Both parents working - Couple family,Females,Employed Part-time,2249
2001,E09000007,Both parents working - Couple family,Females,Employed Full-time,2800
2001,E09000007,Both parents working - Couple family,Females,Unemployed,0
2001,E09000007,Both parents working - Couple family,Females,Economically inactive,0
2001,E09000007,Both parents working - Couple family - 1 dependent child,All persons,Employed Part-time,1080
2001,E09000007,Both parents working - Couple family - 1 dependent child,All persons,Employed Full-time,3384
2001,E09000007,Both parents working - Couple family - 1 dependent child,All persons,Unemployed,0
2001,E09000007,Both parents working - Couple family - 1 dependent child,All persons,Economically inactive,0
2001,E09000007,Both parents working - Couple family - 1 dependent child,Males,Employed Part-time,233
2001,E09000007,Both parents working - Couple family - 1 dependent child,Males,Employed Full-time,1985
2001,E09000007,Both parents working - Couple family - 1 dependent child,Males,Unemployed,0
2001,E09000007,Both parents working - Couple family - 1 dependent child,Males,Economically inactive,0
2001,E09000007,Both parents working - Couple family - 1 dependent child,Females,Employed Part-time,847
2001,E09000007,Both parents working - Couple family - 1 dependent child,Females,Employed Full-time,1399
2001,E09000007,Both parents working - Couple family - 1 dependent child,Females,Unemployed,0
2001,E09000007,Both parents working - Couple family - 1 dependent child,Females,Economically inactive,0
2001,E09000007,Both parents working - Couple family - 2 or more dependent children,All persons,Employed Part-time,1662
2001,E09000007,Both parents working - Couple family - 2 or more dependent children,All persons,Employed Full-time,3940
2001,E09000007,Both parents working - Couple family - 2 or more dependent children,All persons,Unemployed,0
2001,E09000007,Both parents working - Couple family - 2 or more dependent children,All persons,Economically inactive,0
2001,E09000007,Both parents working - Couple family - 2 or more dependent children,Males,Employed Part-time,260
2001,E09000007,Both parents working - Couple family - 2 or more dependent children,Males,Employed Full-time,2539
2001,E09000007,Both parents working - Couple family - 2 or more dependent children,Males,Unemployed,0
2001,E09000007,Both parents working - Couple family - 2 or more dependent children,Males,Economically inactive,0
2001,E09000007,Both parents working - Couple family - 2 or more dependent children,Females,Employed Part-time,1402
2001,E09000007,Both parents working - Couple family - 2 or more dependent children,Females,Employed Full-time,1401
2001,E09000007,Both parents working - Couple family - 2 or more dependent children,Females,Unemployed,0
2001,E09000007,Both parents working - Couple family - 2 or more dependent children,Females,Economically inactive,0
2001,E09000007,One parent working,All persons,Employed Part-time,2298
2001,E09000007,One parent working,All persons,Employed Full-time,5435
2001,E09000007,One parent working,All persons,Unemployed,424
2001,E09000007,One parent working,All persons,Economically inactive,4308
2001,E09000007,One parent working,Males,Employed Part-time,994
2001,E09000007,One parent working,Males,Employed Full-time,3523
2001,E09000007,One parent working,Males,Unemployed,213
2001,E09000007,One parent working,Males,Economically inactive,429
2001,E09000007,One parent working,Females,Employed Part-time,1304
2001,E09000007,One parent working,Females,Employed Full-time,1912
2001,E09000007,One parent working,Females,Unemployed,211
2001,E09000007,One parent working,Females,Economically inactive,3879
2001,E09000007,One parent working - Lone Parent family,All persons,Employed Part-time,1125
2001,E09000007,One parent working - Lone Parent family,All persons,Employed Full-time,1854
2001,E09000007,One parent working - Lone Parent family,All persons,Unemployed,0
2001,E09000007,One parent working - Lone Parent family,All persons,Economically inactive,0
2001,E09000007,One parent working - Lone Parent family,Males,Employed Part-time,104
2001,E09000007,One parent working - Lone Parent family,Males,Employed Full-time,322
2001,E09000007,One parent working - Lone Parent family,Males,Unemployed,0
2001,E09000007,One parent working - Lone Parent family,Males,Economically inactive,0
2001,E09000007,One parent working - Lone Parent family,Females,Employed Part-time,1021
2001,E09000007,One parent working - Lone Parent family,Females,Employed Full-time,1532
2001,E09000007,One parent working - Lone Parent family,Females,Unemployed,0
2001,E09000007,One parent working - Lone Parent family,Females,Economically inactive,0
2001,E09000007,One parent working - Lone Parent family - 1 dependent child,All persons,Employed Part-time,676
2001,E09000007,One parent working - Lone Parent family - 1 dependent child,All persons,Employed Full-time,1310
2001,E09000007,One parent working - Lone Parent family - 1 dependent child,All persons,Unemployed,0
2001,E09000007,One parent working - Lone Parent family - 1 dependent child,All persons,Economically inactive,0
2001,E09000007,One parent working - Lone Parent family - 1 dependent child,Males,Employed Part-time,73
2001,E09000007,One parent working - Lone Parent family - 1 dependent child,Males,Employed Full-time,232
2001,E09000007,One parent working - Lone Parent family - 1 dependent child,Males,Unemployed,0
2001,E09000007,One parent working - Lone Parent family - 1 dependent child,Males,Economically inactive,0
2001,E09000007,One parent working - Lone Parent family - 1 dependent child,Females,Employed Part-time,603
2001,E09000007,One parent working - Lone Parent family - 1 dependent child,Females,Employed Full-time,1078
2001,E09000007,One parent working - Lone Parent family - 1 dependent child,Females,Unemployed,0
2001,E09000007,One parent working - Lone Parent family - 1 dependent child,Females,Economically inactive,0
2001,E09000007,One parent working - Lone Parent family - 2 or more dependent children,All persons,Employed Part-time,449
2001,E09000007,One parent working - Lone Parent family - 2 or more dependent children,All persons,Employed Full-time,544
2001,E09000007,One parent working - Lone Parent family - 2 or more dependent children,All persons,Unemployed,0
2001,E09000007,One parent working - Lone Parent family - 2 or more dependent children,All persons,Economically inactive,0
2001,E09000007,One parent working - Lone Parent family - 2 or more dependent children,Males,Employed Part-time,31
2001,E09000007,One parent working - Lone Parent family - 2 or more dependent children,Males,Employed Full-time,90
2001,E09000007,One parent working - Lone Parent family - 2 or more dependent children,Males,Unemployed,0
2001,E09000007,One parent working - Lone Parent family - 2 or more dependent children,Males,Economically inactive,0
2001,E09000007,One parent working - Lone Parent family - 2 or more dependent children,Females,Employed Part-time,418
2001,E09000007,One parent working - Lone Parent family - 2 or more dependent children,Females,Employed Full-time,454
2001,E09000007,One parent working - Lone Parent family - 2 or more dependent children,Females,Unemployed,0
2001,E09000007,One parent working - Lone Parent family - 2 or more dependent children,Females,Economically inactive,0
2001,E09000007,One parent working - Couple family,All persons,Employed Part-time,1173
2001,E09000007,One parent working - Couple family,All persons,Employed Full-time,3581
2001,E09000007,One parent working - Couple family,All persons,Unemployed,424
2001,E09000007,One parent working - Couple family,All persons,Economically inactive,4308
2001,E09000007,One parent working - Couple family,Males,Employed Part-time,890
2001,E09000007,One parent working - Couple family,Males,Employed Full-time,3201
2001,E09000007,One parent working - Couple family,Males,Unemployed,213
2001,E09000007,One parent working - Couple family,Males,Economically inactive,429
2001,E09000007,One parent working - Couple family,Females,Employed Part-time,283
2001,E09000007,One parent working - Couple family,Females,Employed Full-time,380
2001,E09000007,One parent working - Couple family,Females,Unemployed,211
2001,E09000007,One parent working - Couple family,Females,Economically inactive,3879
2001,E09000007,One parent working - Couple family - 1 dependent child,All persons,Employed Part-time,373
2001,E09000007,One parent working - Couple family - 1 dependent child,All persons,Employed Full-time,1358
2001,E09000007,One parent working - Couple family - 1 dependent child,All persons,Unemployed,182
2001,E09000007,One parent working - Couple family - 1 dependent child,All persons,Economically inactive,1540
2001,E09000007,One parent working - Couple family - 1 dependent child,Males,Employed Part-time,251
2001,E09000007,One parent working - Couple family - 1 dependent child,Males,Employed Full-time,1170
2001,E09000007,One parent working - Couple family - 1 dependent child,Males,Unemployed,92
2001,E09000007,One parent working - Couple family - 1 dependent child,Males,Economically inactive,207
2001,E09000007,One parent working - Couple family - 1 dependent child,Females,Employed Part-time,122
2001,E09000007,One parent working - Couple family - 1 dependent child,Females,Employed Full-time,188
2001,E09000007,One parent working - Couple family - 1 dependent child,Females,Unemployed,90
2001,E09000007,One parent working - Couple family - 1 dependent child,Females,Economically inactive,1333
2001,E09000007,One parent working - Couple family - 2 or more dependent children,All persons,Employed Part-time,800
2001,E09000007,One parent working - Couple family - 2 or more dependent children,All persons,Employed Full-time,2223
2001,E09000007,One parent working - Couple family - 2 or more dependent children,All persons,Unemployed,242
2001,E09000007,One parent working - Couple family - 2 or more dependent children,All persons,Economically inactive,2768
2001,E09000007,One parent working - Couple family - 2 or more dependent children,Males,Employed Part-time,639
2001,E09000007,One parent working - Couple family - 2 or more dependent children,Males,Employed Full-time,2031
2001,E09000007,One parent working - Couple family - 2 or more dependent children,Males,Unemployed,121
2001,E09000007,One parent working - Couple family - 2 or more dependent children,Males,Economically inactive,222
2001,E09000007,One parent working - Couple family - 2 or more dependent children,Females,Employed Part-time,161
2001,E09000007,One parent working - Couple family - 2 or more dependent children,Females,Employed Full-time,192
2001,E09000007,One parent working - Couple family - 2 or more dependent children,Females,Unemployed,121
2001,E09000007,One parent working - Couple family - 2 or more dependent children,Females,Economically inactive,2546
2001,E09000007,No working parents,All persons,Employed Part-time,0
2001,E09000007,No working parents,All persons,Employed Full-time,0
2001,E09000007,No working parents,All persons,Unemployed,1196
2001,E09000007,No working parents,All persons,Economically inactive,7351
2001,E09000007,No working parents,Males,Employed Part-time,0
2001,E09000007,No working parents,Males,Employed Full-time,0
2001,E09000007,No working parents,Males,Unemployed,590
2001,E09000007,No working parents,Males,Economically inactive,1696
2001,E09000007,No working parents,Females,Employed Part-time,0
2001,E09000007,No working parents,Females,Employed Full-time,0
2001,E09000007,No working parents,Females,Unemployed,606
2001,E09000007,No working parents,Females,Economically inactive,5655
2001,E09000007,No working parents - Lone Parent family,All persons,Employed Part-time,0
2001,E09000007,No working parents - Lone Parent family,All persons,Employed Full-time,0
2001,E09000007,No working parents - Lone Parent family,All persons,Unemployed,599
2001,E09000007,No working parents - Lone Parent family,All persons,Economically inactive,4090
2001,E09000007,No working parents - Lone Parent family,Males,Employed Part-time,0
2001,E09000007,No working parents - Lone Parent family,Males,Employed Full-time,0
2001,E09000007,No working parents - Lone Parent family,Males,Unemployed,105
2001,E09000007,No working parents - Lone Parent family,Males,Economically inactive,285
