date,geography_code,c_hhchuk11_name,c_tenhuk11_name,occrat_name,c_hhchuk11_code,c_tenhuk11_code,occrat_code,obs_value
2001,E09000007,All categories: Household composition,All categories: Tenure,All categories: Occupancy rating,0,0,0,91602
2001,E09000007,All categories: Household composition,All categories: Tenure,Occupancy rating of +2 or more,0,0,1,17094
2001,E09000007,All categories: Household composition,All categories: Tenure,Occupancy rating of +1,0,0,2,18258
2001,E09000007,All categories: Household composition,All categories: Tenure,Occupancy rating of 0,0,0,3,28929
2001,E09000007,All categories: Household composition,All categories: Tenure,Occupancy rating of -1 or less,0,0,4,27321
2001,E09000007,All categories: Household composition,Owned,All categories: Occupancy rating,0,1,0,31967
2001,E09000007,All categories: Household composition,Owned,Occupancy rating of +2 or more,0,1,1,11398
2001,E09000007,All categories: Household composition,Owned,Occupancy rating of +1,0,1,2,7918
2001,E09000007,All categories: Household composition,Owned,Occupancy rating of 0,0,1,3,7986
2001,E09000007,All categories: Household composition,Owned,Occupancy rating of -1 or less,0,1,4,4665
2001,E09000007,All categories: Household composition,Rented from council,All categories: Occupancy rating,0,2,0,23783
2001,E09000007,All categories: Household composition,Rented from council,Occupancy rating of +2 or more,0,2,1,2204
2001,E09000007,All categories: Household composition,Rented from council,Occupancy rating of +1,0,2,2,4191
2001,E09000007,All categories: Household composition,Rented from council,Occupancy rating of 0,0,2,3,8603
2001,E09000007,All categories: Household composition,Rented from council,Occupancy rating of -1 or less,0,2,4,8785
2001,E09000007,All categories: Household composition,Other social rented,All categories: Occupancy rating,0,3,0,10457
2001,E09000007,All categories: Household composition,Other social rented,Occupancy rating of +2 or more,0,3,1,708
2001,E09000007,All categories: Household composition,Other social rented,Occupancy rating of +1,0,3,2,1542
2001,E09000007,All categories: Household composition,Other social rented,Occupancy rating of 0,0,3,3,4183
2001,E09000007,All categories: Household composition,Other social rented,Occupancy rating of -1 or less,0,3,4,4024
2001,E09000007,All categories: Household composition,Private rented or living rent free,All categories: Occupancy rating,0,4,0,25395
2001,E09000007,All categories: Household composition,Private rented or living rent free,Occupancy rating of +2 or more,0,4,1,2784
2001,E09000007,All categories: Household composition,Private rented or living rent free,Occupancy rating of +1,0,4,2,4607
2001,E09000007,All categories: Household composition,Private rented or living rent free,Occupancy rating of 0,0,4,3,8157
2001,E09000007,All categories: Household composition,Private rented or living rent free,Occupancy rating of -1 or less,0,4,4,9847
2001,E09000007,One person household,All categories: Tenure,All categories: Occupancy rating,1,0,0,42217
2001,E09000007,One person household,All categories: Tenure,Occupancy rating of +2 or more,1,0,1,6113
2001,E09000007,One person household,All categories: Tenure,Occupancy rating of +1,1,0,2,9371
2001,E09000007,One person household,All categories: Tenure,Occupancy rating of 0,1,0,3,14337
2001,E09000007,One person household,All categories: Tenure,Occupancy rating of -1 or less,1,0,4,12396
2001,E09000007,One person household,Owned,All categories: Occupancy rating,1,1,0,13521
2001,E09000007,One person household,Owned,Occupancy rating of +2 or more,1,1,1,3377
2001,E09000007,One person household,Owned,Occupancy rating of +1,1,1,2,4006
2001,E09000007,One person household,Owned,Occupancy rating of 0,1,1,3,4085
2001,E09000007,One person household,Owned,Occupancy rating of -1 or less,1,1,4,2053
2001,E09000007,One person household,Rented from council,All categories: Occupancy rating,1,2,0,11266
