date,geography_code,c_hhchuk11_name,c_ethpuk11_name,obs_value
2001,E09000007,One person household,White,35853
2001,E09000007,One person household,White: British,27819
2001,E09000007,One person household,White: Irish,3083
2001,E09000007,One person household,White: Other,4951
2001,E09000007,One person household,Mixed,743
2001,E09000007,One person household,Mixed: White and Black Caribbean,145
2001,E09000007,One person household,Mixed: White and Black African,111
2001,E09000007,One person household,Mixed: White and Asian,190
2001,E09000007,One person household,Mixed: Other,297
2001,E09000007,One person household,Asian/Asian British,1328
2001,E09000007,One person household,Asian/Asian British: Indian,763
2001,E09000007,One person household,Asian/Asian British: Pakistani,124
2001,E09000007,One person household,Asian/Asian British: Bangladeshi,206
2001,E09000007,One person household,Asian/Asian British: Other,235
2001,E09000007,One person household,Black/Black British,2745
2001,E09000007,One person household,Black/Black British: Black Caribbean,987
2001,E09000007,One person household,Black/Black British: Black African,1632
2001,E09000007,One person household,Black/Black British: Other,126
2001,E09000007,One person household,Chinese/Other,1548
2001,E09000007,One person household,Chinese/Other: Chinese,684
2001,E09000007,One person household,Chinese/Other: Other,864
2001,E09000007,One person household : Pensioner,White,10078
2001,E09000007,One person household : Pensioner,White: British,8097
2001,E09000007,One person household : Pensioner,White: Irish,1004
2001,E09000007,One person household : Pensioner,White: Other,977
2001,E09000007,One person household : Pensioner,Mixed,87
2001,E09000007,One person household : Pensioner,Mixed: White and Black Caribbean,21
2001,E09000007,One person household : Pensioner,Mixed: White and Black African,12
2001,E09000007,One person household : Pensioner,Mixed: White and Asian,23
2001,E09000007,One person household : Pensioner,Mixed: Other,31
2001,E09000007,One person household : Pensioner,Asian/Asian British,209
2001,E09000007,One person household : Pensioner,Asian/Asian British: Indian,114
2001,E09000007,One person household : Pensioner,Asian/Asian British: Pakistani,13
2001,E09000007,One person household : Pensioner,Asian/Asian British: Bangladeshi,34
2001,E09000007,One person household : Pensioner,Asian/Asian British: Other,48
2001,E09000007,One person household : Pensioner,Black/Black British,350
2001,E09000007,One person household : Pensioner,Black/Black British: Black Caribbean,199
2001,E09000007,One person household : Pensioner,Black/Black British: Black African,144
2001,E09000007,One person household : Pensioner,Black/Black British: Other,7
2001,E09000007,One person household : Pensioner,Chinese/Other,170
2001,E09000007,One person household : Pensioner,Chinese/Other: Chinese,85
2001,E09000007,One person household : Pensioner,Chinese/Other: Other,85
2001,E09000007,One person household : Other,White,25775
2001,E09000007,One person household : Other,White: British,19722
2001,E09000007,One person household : Other,White: Irish,2079
2001,E09000007,One person household : Other,White: Other,3974
2001,E09000007,One person household : Other,Mixed,656
2001,E09000007,One person household : Other,Mixed: White and Black Caribbean,124
2001,E09000007,One person household : Other,Mixed: White and Black African,99
2001,E09000007,One person household : Other,Mixed: White and Asian,167
2001,E09000007,One person household : Other,Mixed: Other,266
2001,E09000007,One person household : Other,Asian/Asian British,1119
2001,E09000007,One person household : Other,Asian/Asian British: Indian,649
2001,E09000007,One person household : Other,Asian/Asian British: Pakistani,111
2001,E09000007,One person household : Other,Asian/Asian British: Bangladeshi,172
2001,E09000007,One person household : Other,Asian/Asian British: Other,187
2001,E09000007,One person household : Other,Black/Black British,2395
2001,E09000007,One person household : Other,Black/Black British: Black Caribbean,788
