date,geography_code,c_hhchuk11_name,c_relpuk11_name,obs_value
2001,E09000007,One person,Christian,21598
2001,E09000007,One person,Buddhist,727
2001,E09000007,One person,Hindu,418
2001,E09000007,One person,Jewish,2578
2001,E09000007,One person,Muslim,1212
2001,E09000007,One person,Sikh,64
2001,E09000007,One person,Other religion,336
2001,E09000007,One person,No religion,10469
2001,E09000007,One person,Religion not stated,4815
2001,E09000007,One person: Pensioner,Christian,7071
2001,E09000007,One person: Pensioner,Buddhist,76
2001,E09000007,One person: Pensioner,Hindu,56
2001,E09000007,One person: Pensioner,Jewish,1013
2001,E09000007,One person: Pensioner,Muslim,148
2001,E09000007,One person: Pensioner,Sikh,11
2001,E09000007,One person: Pensioner,Other religion,34
2001,E09000007,One person: Pensioner,No religion,1294
2001,E09000007,One person: Pensioner,Religion not stated,1191
2001,E09000007,One person: Other,Christian,14527
2001,E09000007,One person: Other,Buddhist,651
2001,E09000007,One person: Other,Hindu,362
2001,E09000007,One person: Other,Jewish,1565
2001,E09000007,One person: Other,Muslim,1064
2001,E09000007,One person: Other,Sikh,53
2001,E09000007,One person: Other,Other religion,302
2001,E09000007,One person: Other,No religion,9175
2001,E09000007,One person: Other,Religion not stated,3624
2001,E09000007,One family and no others,Christian,17820
2001,E09000007,One family and no others,Buddhist,478
2001,E09000007,One family and no others,Hindu,484
2001,E09000007,One family and no others,Jewish,2454
2001,E09000007,One family and no others,Muslim,3571
2001,E09000007,One family and no others,Sikh,60
2001,E09000007,One family and no others,Other religion,235
2001,E09000007,One family and no others,No religion,7721
2001,E09000007,One family and no others,Religion not stated,3117
2001,E09000007,One family and no others: All pensioner,Christian,1574
2001,E09000007,One family and no others: All pensioner,Buddhist,12
2001,E09000007,One family and no others: All pensioner,Hindu,28
2001,E09000007,One family and no others: All pensioner,Jewish,488
2001,E09000007,One family and no others: All pensioner,Muslim,32
2001,E09000007,One family and no others: All pensioner,Sikh,4
2001,E09000007,One family and no others: All pensioner,Other religion,13
2001,E09000007,One family and no others: All pensioner,No religion,318
2001,E09000007,One family and no others: All pensioner,Religion not stated,271
2001,E09000007,One family and no others: Married Couple Households,Christian,7669
2001,E09000007,One family and no others: Married Couple Households,Buddhist,247
2001,E09000007,One family and no others: Married Couple Households,Hindu,347
2001,E09000007,One family and no others: Married Couple Households,Jewish,1357
2001,E09000007,One family and no others: Married Couple Households,Muslim,2346
2001,E09000007,One family and no others: Married Couple Households,Sikh,25
2001,E09000007,One family and no others: Married Couple Households,Other religion,80
2001,E09000007,One family and no others: Married Couple Households,No religion,3012
2001,E09000007,One family and no others: Married Couple Households,Religion not stated,1301
2001,E09000007,One family and no others: Married Couple Households: No children,Christian,2684
2001,E09000007,One family and no others: Married Couple Households: No children,Buddhist,119
2001,E09000007,One family and no others: Married Couple Households: No children,Hindu,102
2001,E09000007,One family and no others: Married Couple Households: No children,Jewish,525
2001,E09000007,One family and no others: Married Couple Households: No children,Muslim,247
2001,E09000007,One family and no others: Married Couple Households: No children,Sikh,7
2001,E09000007,One family and no others: Married Couple Households: No children,Other religion,37
2001,E09000007,One family and no others: Married Couple Households: No children,No religion,1377
2001,E09000007,One family and no others: Married Couple Households: No children,Religion not stated,503
2001,E09000007,One family and no others: Married Couple Households: With one dependent child,Christian,1456
2001,E09000007,One family and no others: Married Couple Households: With one dependent child,Buddhist,43
2001,E09000007,One family and no others: Married Couple Households: With one dependent child,Hindu,91
2001,E09000007,One family and no others: Married Couple Households: With one dependent child,Jewish,252
2001,E09000007,One family and no others: Married Couple Households: With one dependent child,Muslim,468
2001,E09000007,One family and no others: Married Couple Households: With one dependent child,Sikh,4
2001,E09000007,One family and no others: Married Couple Households: With one dependent child,Other religion,15
2001,E09000007,One family and no others: Married Couple Households: With one dependent child,No religion,601
2001,E09000007,One family and no others: Married Couple Households: With one dependent child,Religion not stated,246
2001,E09000007,One family and no others: Married Couple Households: With two or more dependent children,Christian,2248
2001,E09000007,One family and no others: Married Couple Households: With two or more dependent children,Buddhist,59
2001,E09000007,One family and no others: Married Couple Households: With two or more dependent children,Hindu,101
2001,E09000007,One family and no others: Married Couple Households: With two or more dependent children,Jewish,433
2001,E09000007,One family and no others: Married Couple Households: With two or more dependent children,Muslim,1492
2001,E09000007,One family and no others: Married Couple Households: With two or more dependent children,Sikh,9
2001,E09000007,One family and no others: Married Couple Households: With two or more dependent children,Other religion,19
2001,E09000007,One family and no others: Married Couple Households: With two or more dependent children,No religion,762
2001,E09000007,One family and no others: Married Couple Households: With two or more dependent children,Religion not stated,392
2001,E09000007,One family and no others: Married Couple Households: All children non-dependent,Christian,1281
2001,E09000007,One family and no others: Married Couple Households: All children non-dependent,Buddhist,26
2001,E09000007,One family and no others: Married Couple Households: All children non-dependent,Hindu,53
2001,E09000007,One family and no others: Married Couple Households: All children non-dependent,Jewish,147
2001,E09000007,One family and no others: Married Couple Households: All children non-dependent,Muslim,139
2001,E09000007,One family and no others: Married Couple Households: All children non-dependent,Sikh,5
2001,E09000007,One family and no others: Married Couple Households: All children non-dependent,Other religion,9
2001,E09000007,One family and no others: Married Couple Households: All children non-dependent,No religion,272
2001,E09000007,One family and no others: Married Couple Households: All children non-dependent,Religion not stated,160
2001,E09000007,One family and no others: Cohabiting Couple Family Households,Christian,3393
2001,E09000007,One family and no others: Cohabiting Couple Family Households,Buddhist,97
2001,E09000007,One family and no others: Cohabiting Couple Family Households,Hindu,34
2001,E09000007,One family and no others: Cohabiting Couple Family Households,Jewish,387
2001,E09000007,One family and no others: Cohabiting Couple Family Households,Muslim,203
2001,E09000007,One family and no others: Cohabiting Couple Family Households,Sikh,15
2001,E09000007,One family and no others: Cohabiting Couple Family Households,Other religion,58
2001,E09000007,One family and no others: Cohabiting Couple Family Households,No religion,2974
2001,E09000007,One family and no others: Cohabiting Couple Family Households,Religion not stated,774
2001,E09000007,One family and no others: Cohabiting Couple Family Households: No children,Christian,2550
2001,E09000007,One family and no others: Cohabiting Couple Family Households: No children,Buddhist,84
2001,E09000007,One family and no others: Cohabiting Couple Family Households: No children,Hindu,27
2001,E09000007,One family and no others: Cohabiting Couple Family Households: No children,Jewish,327
2001,E09000007,One family and no others: Cohabiting Couple Family Households: No children,Muslim,93
2001,E09000007,One family and no others: Cohabiting Couple Family Households: No children,Sikh,12
2001,E09000007,One family and no others: Cohabiting Couple Family Households: No children,Other religion,45
2001,E09000007,One family and no others: Cohabiting Couple Family Households: No children,No religion,2325
2001,E09000007,One family and no others: Cohabiting Couple Family Households: No children,Religion not stated,598
2001,E09000007,One family and no others: Cohabiting Couple Family Households: With one dependent child,Christian,386
2001,E09000007,One family and no others: Cohabiting Couple Family Households: With one dependent child,Buddhist,7
2001,E09000007,One family and no others: Cohabiting Couple Family Households: With one dependent child,Hindu,7
2001,E09000007,One family and no others: Cohabiting Couple Family Households: With one dependent child,Jewish,22
2001,E09000007,One family and no others: Cohabiting Couple Family Households: With one dependent child,Muslim,33
2001,E09000007,One family and no others: Cohabiting Couple Family Households: With one dependent child,Sikh,0
2001,E09000007,One family and no others: Cohabiting Couple Family Households: With one dependent child,Other religion,4
2001,E09000007,One family and no others: Cohabiting Couple Family Households: With one dependent child,No religion,318
2001,E09000007,One family and no others: Cohabiting Couple Family Households: With one dependent child,Religion not stated,82
2001,E09000007,One family and no others: Cohabiting Couple Family Households: Two or more dependent children,Christian,347
2001,E09000007,One family and no others: Cohabiting Couple Family Households: Two or more dependent children,Buddhist,3
2001,E09000007,One family and no others: Cohabiting Couple Family Households: Two or more dependent children,Hindu,0
2001,E09000007,One family and no others: Cohabiting Couple Family Households: Two or more dependent children,Jewish,24
2001,E09000007,One family and no others: Cohabiting Couple Family Households: Two or more dependent children,Muslim,72
2001,E09000007,One family and no others: Cohabiting Couple Family Households: Two or more dependent children,Sikh,3
2001,E09000007,One family and no others: Cohabiting Couple Family Households: Two or more dependent children,Other religion,9
2001,E09000007,One family and no others: Cohabiting Couple Family Households: Two or more dependent children,No religion,282
2001,E09000007,One family and no others: Cohabiting Couple Family Households: Two or more dependent children,Religion not stated,76
2001,E09000007,One family and no others: Cohabiting Couple Family Households: All children non-dependent,Christian,110
2001,E09000007,One family and no others: Cohabiting Couple Family Households: All children non-dependent,Buddhist,3
2001,E09000007,One family and no others: Cohabiting Couple Family Households: All children non-dependent,Hindu,0
2001,E09000007,One family and no others: Cohabiting Couple Family Households: All children non-dependent,Jewish,14
2001,E09000007,One family and no others: Cohabiting Couple Family Households: All children non-dependent,Muslim,5
2001,E09000007,One family and no others: Cohabiting Couple Family Households: All children non-dependent,Sikh,0
2001,E09000007,One family and no others: Cohabiting Couple Family Households: All children non-dependent,Other religion,0
2001,E09000007,One family and no others: Cohabiting Couple Family Households: All children non-dependent,No religion,49
2001,E09000007,One family and no others: Cohabiting Couple Family Households: All children non-dependent,Religion not stated,18
2001,E09000007,One family and no others: Lone Parent Households,Christian,5184
2001,E09000007,One family and no others: Lone Parent Households,Buddhist,122
2001,E09000007,One family and no others: Lone Parent Households,Hindu,75
2001,E09000007,One family and no others: Lone Parent Households,Jewish,222
2001,E09000007,One family and no others: Lone Parent Households,Muslim,990
2001,E09000007,One family and no others: Lone Parent Households,Sikh,16
2001,E09000007,One family and no others: Lone Parent Households,Other religion,84
2001,E09000007,One family and no others: Lone Parent Households,No religion,1417
2001,E09000007,One family and no others: Lone Parent Households,Religion not stated,771
2001,E09000007,One family and no others: Lone Parent Households: With one dependent child,Christian,1958
2001,E09000007,One family and no others: Lone Parent Households: With one dependent child,Buddhist,64
2001,E09000007,One family and no others: Lone Parent Households: With one dependent child,Hindu,20
2001,E09000007,One family and no others: Lone Parent Households: With one dependent child,Jewish,67
2001,E09000007,One family and no others: Lone Parent Households: With one dependent child,Muslim,303
2001,E09000007,One family and no others: Lone Parent Households: With one dependent child,Sikh,7
2001,E09000007,One family and no others: Lone Parent Households: With one dependent child,Other religion,49
2001,E09000007,One family and no others: Lone Parent Households: With one dependent child,No religion,684
2001,E09000007,One family and no others: Lone Parent Households: With one dependent child,Religion not stated,331
2001,E09000007,One family and no others: Lone Parent Households: With two or more dependent children,Christian,1482
2001,E09000007,One family and no others: Lone Parent Households: With two or more dependent children,Buddhist,24
2001,E09000007,One family and no others: Lone Parent Households: With two or more dependent children,Hindu,12
2001,E09000007,One family and no others: Lone Parent Households: With two or more dependent children,Jewish,42
2001,E09000007,One family and no others: Lone Parent Households: With two or more dependent children,Muslim,495
2001,E09000007,One family and no others: Lone Parent Households: With two or more dependent children,Sikh,6
2001,E09000007,One family and no others: Lone Parent Households: With two or more dependent children,Other religion,23
2001,E09000007,One family and no others: Lone Parent Households: With two or more dependent children,No religion,438
2001,E09000007,One family and no others: Lone Parent Households: With two or more dependent children,Religion not stated,209
2001,E09000007,One family and no others: Lone Parent Households: All children non-dependent,Christian,1744
2001,E09000007,One family and no others: Lone Parent Households: All children non-dependent,Buddhist,34
2001,E09000007,One family and no others: Lone Parent Households: All children non-dependent,Hindu,43
2001,E09000007,One family and no others: Lone Parent Households: All children non-dependent,Jewish,113
2001,E09000007,One family and no others: Lone Parent Households: All children non-dependent,Muslim,192
2001,E09000007,One family and no others: Lone Parent Households: All children non-dependent,Sikh,3
2001,E09000007,One family and no others: Lone Parent Households: All children non-dependent,Other religion,12
2001,E09000007,One family and no others: Lone Parent Households: All children non-dependent,No religion,295
2001,E09000007,One family and no others: Lone Parent Households: All children non-dependent,Religion not stated,231
2001,E09000007,Other households,Christian,5933
2001,E09000007,Other households,Buddhist,172
2001,E09000007,Other households,Hindu,263
2001,E09000007,Other households,Jewish,742
2001,E09000007,Other households,Muslim,1317
2001,E09000007,Other households,Sikh,28
2001,E09000007,Other households,Other religion,108
2001,E09000007,Other households,No religion,3727
2001,E09000007,Other households,Religion not stated,1152
2001,E09000007,Other households: With one dependent child,Christian,715
2001,E09000007,Other households: With one dependent child,Buddhist,18
2001,E09000007,Other households: With one dependent child,Hindu,28
2001,E09000007,Other households: With one dependent child,Jewish,62
2001,E09000007,Other households: With one dependent child,Muslim,243
2001,E09000007,Other households: With one dependent child,Sikh,3
2001,E09000007,Other households: With one dependent child,Other religion,13
2001,E09000007,Other households: With one dependent child,No religion,301
2001,E09000007,Other households: With one dependent child,Religion not stated,164
2001,E09000007,Other households: With two or more dependent children,Christian,598
2001,E09000007,Other households: With two or more dependent children,Buddhist,12
2001,E09000007,Other households: With two or more dependent children,Hindu,32
2001,E09000007,Other households: With two or more dependent children,Jewish,77
2001,E09000007,Other households: With two or more dependent children,Muslim,595
2001,E09000007,Other households: With two or more dependent children,Sikh,0
2001,E09000007,Other households: With two or more dependent children,Other religion,7
2001,E09000007,Other households: With two or more dependent children,No religion,190
2001,E09000007,Other households: With two or more dependent children,Religion not stated,104
2001,E09000007,Other households: All student,Christian,352
2001,E09000007,Other households: All student,Buddhist,28
2001,E09000007,Other households: All student,Hindu,42
2001,E09000007,Other households: All student,Jewish,31
2001,E09000007,Other households: All student,Muslim,46
2001,E09000007,Other households: All student,Sikh,8
2001,E09000007,Other households: All student,Other religion,15
2001,E09000007,Other households: All student,No religion,257
2001,E09000007,Other households: All student,Religion not stated,64
2001,E09000007,Other households: All pensioner,Christian,214
2001,E09000007,Other households: All pensioner,Buddhist,3
2001,E09000007,Other households: All pensioner,Hindu,0
2001,E09000007,Other households: All pensioner,Jewish,28
2001,E09000007,Other households: All pensioner,Muslim,0
2001,E09000007,Other households: All pensioner,Sikh,0
2001,E09000007,Other households: All pensioner,Other religion,0
2001,E09000007,Other households: All pensioner,No religion,34
2001,E09000007,Other households: All pensioner,Religion not stated,34
2001,E09000007,Other households: Other,Christian,4054
2001,E09000007,Other households: Other,Buddhist,111
2001,E09000007,Other households: Other,Hindu,161
2001,E09000007,Other households: Other,Jewish,544
2001,E09000007,Other households: Other,Muslim,433
2001,E09000007,Other households: Other,Sikh,17
2001,E09000007,Other households: Other,Other religion,73
2001,E09000007,Other households: Other,No religion,2945
2001,E09000007,Other households: Other,Religion not stated,786
2001,E09000001,One person,Christian,1496
2001,E09000001,One person,Buddhist,16
2001,E09000001,One person,Hindu,41
2001,E09000001,One person,Jewish,105
2001,E09000001,One person,Muslim,32
2001,E09000001,One person,Sikh,11
2001,E09000001,One person,Other religion,24
2001,E09000001,One person,No religion,691
2001,E09000001,One person,Religion not stated,209
2001,E09000001,One person: Pensioner,Christian,408
2001,E09000001,One person: Pensioner,Buddhist,3
2001,E09000001,One person: Pensioner,Hindu,4
2001,E09000001,One person: Pensioner,Jewish,59
2001,E09000001,One person: Pensioner,Muslim,5
2001,E09000001,One person: Pensioner,Sikh,3
2001,E09000001,One person: Pensioner,Other religion,3
2001,E09000001,One person: Pensioner,No religion,89
2001,E09000001,One person: Pensioner,Religion not stated,54
2001,E09000001,One person: Other,Christian,1088
2001,E09000001,One person: Other,Buddhist,13
2001,E09000001,One person: Other,Hindu,37
2001,E09000001,One person: Other,Jewish,46
2001,E09000001,One person: Other,Muslim,27
2001,E09000001,One person: Other,Sikh,8
2001,E09000001,One person: Other,Other religion,21
2001,E09000001,One person: Other,No religion,602
2001,E09000001,One person: Other,Religion not stated,155
2001,E09000001,One family and no others,Christian,723
2001,E09000001,One family and no others,Buddhist,9
2001,E09000001,One family and no others,Hindu,20
2001,E09000001,One family and no others,Jewish,52
2001,E09000001,One family and no others,Muslim,78
2001,E09000001,One family and no others,Sikh,3
2001,E09000001,One family and no others,Other religion,8
2001,E09000001,One family and no others,No religion,350
2001,E09000001,One family and no others,Religion not stated,121
2001,E09000001,One family and no others: All pensioner,Christian,98
2001,E09000001,One family and no others: All pensioner,Buddhist,0
2001,E09000001,One family and no others: All pensioner,Hindu,0
2001,E09000001,One family and no others: All pensioner,Jewish,16
2001,E09000001,One family and no others: All pensioner,Muslim,0
2001,E09000001,One family and no others: All pensioner,Sikh,0
2001,E09000001,One family and no others: All pensioner,Other religion,0
2001,E09000001,One family and no others: All pensioner,No religion,14
2001,E09000001,One family and no others: All pensioner,Religion not stated,12
2001,E09000001,One family and no others: Married Couple Households,Christian,345
2001,E09000001,One family and no others: Married Couple Households,Buddhist,6
2001,E09000001,One family and no others: Married Couple Households,Hindu,20
2001,E09000001,One family and no others: Married Couple Households,Jewish,18
2001,E09000001,One family and no others: Married Couple Households,Muslim,47
2001,E09000001,One family and no others: Married Couple Households,Sikh,0
2001,E09000001,One family and no others: Married Couple Households,Other religion,5
2001,E09000001,One family and no others: Married Couple Households,No religion,154
2001,E09000001,One family and no others: Married Couple Households,Religion not stated,52
2001,E09000001,One family and no others: Married Couple Households: No children,Christian,209
2001,E09000001,One family and no others: Married Couple Households: No children,Buddhist,3
2001,E09000001,One family and no others: Married Couple Households: No children,Hindu,11
2001,E09000001,One family and no others: Married Couple Households: No children,Jewish,12
2001,E09000001,One family and no others: Married Couple Households: No children,Muslim,5
2001,E09000001,One family and no others: Married Couple Households: No children,Sikh,0
2001,E09000001,One family and no others: Married Couple Households: No children,Other religion,5
2001,E09000001,One family and no others: Married Couple Households: No children,No religion,109
2001,E09000001,One family and no others: Married Couple Households: No children,Religion not stated,32
2001,E09000001,One family and no others: Married Couple Households: With one dependent child,Christian,59
2001,E09000001,One family and no others: Married Couple Households: With one dependent child,Buddhist,0
2001,E09000001,One family and no others: Married Couple Households: With one dependent child,Hindu,3
2001,E09000001,One family and no others: Married Couple Households: With one dependent child,Jewish,3
2001,E09000001,One family and no others: Married Couple Households: With one dependent child,Muslim,12
2001,E09000001,One family and no others: Married Couple Households: With one dependent child,Sikh,0
2001,E09000001,One family and no others: Married Couple Households: With one dependent child,Other religion,0
2001,E09000001,One family and no others: Married Couple Households: With one dependent child,No religion,25
2001,E09000001,One family and no others: Married Couple Households: With one dependent child,Religion not stated,10
2001,E09000001,One family and no others: Married Couple Households: With two or more dependent children,Christian,41
2001,E09000001,One family and no others: Married Couple Households: With two or more dependent children,Buddhist,3
2001,E09000001,One family and no others: Married Couple Households: With two or more dependent children,Hindu,3
2001,E09000001,One family and no others: Married Couple Households: With two or more dependent children,Jewish,0
2001,E09000001,One family and no others: Married Couple Households: With two or more dependent children,Muslim,27
2001,E09000001,One family and no others: Married Couple Households: With two or more dependent children,Sikh,0
2001,E09000001,One family and no others: Married Couple Households: With two or more dependent children,Other religion,0
2001,E09000001,One family and no others: Married Couple Households: With two or more dependent children,No religion,14
2001,E09000001,One family and no others: Married Couple Households: With two or more dependent children,Religion not stated,7
2001,E09000001,One family and no others: Married Couple Households: All children non-dependent,Christian,36
2001,E09000001,One family and no others: Married Couple Households: All children non-dependent,Buddhist,0
2001,E09000001,One family and no others: Married Couple Households: All children non-dependent,Hindu,3
2001,E09000001,One family and no others: Married Couple Households: All children non-dependent,Jewish,3
2001,E09000001,One family and no others: Married Couple Households: All children non-dependent,Muslim,3
2001,E09000001,One family and no others: Married Couple Households: All children non-dependent,Sikh,0
2001,E09000001,One family and no others: Married Couple Households: All children non-dependent,Other religion,0
2001,E09000001,One family and no others: Married Couple Households: All children non-dependent,No religion,6
2001,E09000001,One family and no others: Married Couple Households: All children non-dependent,Religion not stated,3
2001,E09000001,One family and no others: Cohabiting Couple Family Households,Christian,160
2001,E09000001,One family and no others: Cohabiting Couple Family Households,Buddhist,3
2001,E09000001,One family and no others: Cohabiting Couple Family Households,Hindu,0
2001,E09000001,One family and no others: Cohabiting Couple Family Households,Jewish,5
2001,E09000001,One family and no others: Cohabiting Couple Family Households,Muslim,6
2001,E09000001,One family and no others: Cohabiting Couple Family Households,Sikh,0
2001,E09000001,One family and no others: Cohabiting Couple Family Households,Other religion,3
2001,E09000001,One family and no others: Cohabiting Couple Family Households,No religion,146
2001,E09000001,One family and no others: Cohabiting Couple Family Households,Religion not stated,36
2001,E09000001,One family and no others: Cohabiting Couple Family Households: No children,Christian,143
2001,E09000001,One family and no others: Cohabiting Couple Family Households: No children,Buddhist,3
2001,E09000001,One family and no others: Cohabiting Couple Family Households: No children,Hindu,0
2001,E09000001,One family and no others: Cohabiting Couple Family Households: No children,Jewish,5
2001,E09000001,One family and no others: Cohabiting Couple Family Households: No children,Muslim,6
2001,E09000001,One family and no others: Cohabiting Couple Family Households: No children,Sikh,0
2001,E09000001,One family and no others: Cohabiting Couple Family Households: No children,Other religion,3
2001,E09000001,One family and no others: Cohabiting Couple Family Households: No children,No religion,127
2001,E09000001,One family and no others: Cohabiting Couple Family Households: No children,Religion not stated,29
2001,E09000001,One family and no others: Cohabiting Couple Family Households: With one dependent child,Christian,13
2001,E09000001,One family and no others: Cohabiting Couple Family Households: With one dependent child,Buddhist,0
2001,E09000001,One family and no others: Cohabiting Couple Family Households: With one dependent child,Hindu,0
2001,E09000001,One family and no others: Cohabiting Couple Family Households: With one dependent child,Jewish,0
2001,E09000001,One family and no others: Cohabiting Couple Family Households: With one dependent child,Muslim,0
2001,E09000001,One family and no others: Cohabiting Couple Family Households: With one dependent child,Sikh,0
2001,E09000001,One family and no others: Cohabiting Couple Family Households: With one dependent child,Other religion,0
2001,E09000001,One family and no others: Cohabiting Couple Family Households: With one dependent child,No religion,10
2001,E09000001,One family and no others: Cohabiting Couple Family Households: With one dependent child,Religion not stated,7
2001,E09000001,One family and no others: Cohabiting Couple Family Households: Two or more dependent children,Christian,4
2001,E09000001,One family and no others: Cohabiting Couple Family Households: Two or more dependent children,Buddhist,0
2001,E09000001,One family and no others: Cohabiting Couple Family Households: Two or more dependent children,Hindu,0
2001,E09000001,One family and no others: Cohabiting Couple Family Households: Two or more dependent children,Jewish,0
