date,geography_code,cell_name,obs_value
2001,E09000007,All families in households,41905
2001,E09000007,No dependent children in family,22356
2001,E09000007,One dependent child in family aged 0 to 4,3680
2001,E09000007,One dependent child in family aged 5 to 11,2487
2001,E09000007,One dependent child in family aged 12 to 18,3100
2001,E09000007,Two or more dependent children in family; youngest aged 0 to 4,5216
2001,E09000007,Two or more dependent children in family; youngest aged 5 to 11,3785
2001,E09000007,Two or more dependent children in family; youngest aged 12 to 18,1281
2001,E09000001,All families in households,1479
2001,E09000001,No dependent children in family,1029
2001,E09000001,One dependent child in family aged 0 to 4,114
2001,E09000001,One dependent child in family aged 5 to 11,87
2001,E09000001,One dependent child in family aged 12 to 18,75
2001,E09000001,Two or more dependent children in family; youngest aged 0 to 4,81
2001,E09000001,Two or more dependent children in family; youngest aged 5 to 11,72
2001,E09000001,Two or more dependent children in family; youngest aged 12 to 18,21
2001,E09000012,All families in households,45581
2001,E09000012,No dependent children in family,19999
2001,E09000012,One dependent child in family aged 0 to 4,4572
2001,E09000012,One dependent child in family aged 5 to 11,2938
2001,E09000012,One dependent child in family aged 12 to 18,3653
2001,E09000012,Two or more dependent children in family; youngest aged 0 to 4,7764
2001,E09000012,Two or more dependent children in family; youngest aged 5 to 11,4969
2001,E09000012,Two or more dependent children in family; youngest aged 12 to 18,1686
2001,E09000013,All families in households,36156
2001,E09000013,No dependent children in family,20021
2001,E09000013,One dependent child in family aged 0 to 4,3000
2001,E09000013,One dependent child in family aged 5 to 11,2040
2001,E09000013,One dependent child in family aged 12 to 18,2468
2001,E09000013,Two or more dependent children in family; youngest aged 0 to 4,4466
2001,E09000013,Two or more dependent children in family; youngest aged 5 to 11,3130
2001,E09000013,Two or more dependent children in family; youngest aged 12 to 18,1031
2001,E09000014,All families in households,52298
2001,E09000014,No dependent children in family,25672
2001,E09000014,One dependent child in family aged 0 to 4,4628
2001,E09000014,One dependent child in family aged 5 to 11,3338
2001,E09000014,One dependent child in family aged 12 to 18,4268
2001,E09000014,Two or more dependent children in family; youngest aged 0 to 4,6835
2001,E09000014,Two or more dependent children in family; youngest aged 5 to 11,5584
2001,E09000014,Two or more dependent children in family; youngest aged 12 to 18,1973
2001,E09000019,All families in households,39859
2001,E09000019,No dependent children in family,20524
2001,E09000019,One dependent child in family aged 0 to 4,3576
2001,E09000019,One dependent child in family aged 5 to 11,2513
