date,geography_code,c_dpcfamuk11_name,c_fmtfamuk11_name,obs_value
2011,E09000007,Families with no dependent children,Couple family: Married or same-sex civil partnership: No children or non step-family (all children belong to both members of the couple),12969
2011,E09000007,Families with no dependent children,Couple family: Married or same-sex civil partnership: Step-family,221
2011,E09000007,Families with no dependent children,Couple family: Cohabiting: No children or non step-family (all children belong to both members of the couple),9286
2011,E09000007,Families with no dependent children,Couple family: Cohabiting: Step-family,88
2011,E09000007,Families with no dependent children,Lone parent family: Male parent,698
2011,E09000007,Families with no dependent children,Lone parent family: Female parent,3554
2011,E09000007,One dependent child in family aged 0 to 4,Couple family: Married or same-sex civil partnership: No children or non step-family (all children belong to both members of the couple),2319
2011,E09000007,One dependent child in family aged 0 to 4,Couple family: Married or same-sex civil partnership: Step-family,34
2011,E09000007,One dependent child in family aged 0 to 4,Couple family: Cohabiting: No children or non step-family (all children belong to both members of the couple),630
2011,E09000007,One dependent child in family aged 0 to 4,Couple family: Cohabiting: Step-family,35
2011,E09000007,One dependent child in family aged 0 to 4,Lone parent family: Male parent,165
2011,E09000007,One dependent child in family aged 0 to 4,Lone parent family: Female parent,1103
2011,E09000007,One dependent child in family aged 5 to 9,Couple family: Married or same-sex civil partnership: No children or non step-family (all children belong to both members of the couple),469
2011,E09000007,One dependent child in family aged 5 to 9,Couple family: Married or same-sex civil partnership: Step-family,41
2011,E09000007,One dependent child in family aged 5 to 9,Couple family: Cohabiting: No children or non step-family (all children belong to both members of the couple),139
2011,E09000007,One dependent child in family aged 5 to 9,Couple family: Cohabiting: Step-family,34
2011,E09000007,One dependent child in family aged 5 to 9,Lone parent family: Male parent,113
2011,E09000007,One dependent child in family aged 5 to 9,Lone parent family: Female parent,829
2011,E09000007,One dependent child in family aged 10 to 15,Couple family: Married or same-sex civil partnership: No children or non step-family (all children belong to both members of the couple),675
2011,E09000007,One dependent child in family aged 10 to 15,Couple family: Married or same-sex civil partnership: Step-family,74
2011,E09000007,One dependent child in family aged 10 to 15,Couple family: Cohabiting: No children or non step-family (all children belong to both members of the couple),165
2011,E09000007,One dependent child in family aged 10 to 15,Couple family: Cohabiting: Step-family,32
2011,E09000007,One dependent child in family aged 10 to 15,Lone parent family: Male parent,143
2011,E09000007,One dependent child in family aged 10 to 15,Lone parent family: Female parent,1281
2011,E09000007,One dependent child in family aged 16 to 18,Couple family: Married or same-sex civil partnership: No children or non step-family (all children belong to both members of the couple),609
2011,E09000007,One dependent child in family aged 16 to 18,Couple family: Married or same-sex civil partnership: Step-family,63
2011,E09000007,One dependent child in family aged 16 to 18,Couple family: Cohabiting: No children or non step-family (all children belong to both members of the couple),92
2011,E09000007,One dependent child in family aged 16 to 18,Couple family: Cohabiting: Step-family,20
2011,E09000007,One dependent child in family aged 16 to 18,Lone parent family: Male parent,111
2011,E09000007,One dependent child in family aged 16 to 18,Lone parent family: Female parent,701
2011,E09000007,Two dependent children in family; youngest aged 0 to 4,Couple family: Married or same-sex civil partnership: No children or non step-family (all children belong to both members of the couple),2315
2011,E09000007,Two dependent children in family; youngest aged 0 to 4,Couple family: Married or same-sex civil partnership: Step-family,114
