date,geography_code,c_hhchuk11_name,c_ethhuk11_name,obs_value
2011,E09000007,One person household: Aged 65 and over,White: English/Welsh/Scottish/Northern Irish/British,6823
2011,E09000007,One person household: Aged 65 and over,White: Irish,959
2011,E09000007,One person household: Aged 65 and over,White: Gypsy or Irish Traveller,9
2011,E09000007,One person household: Aged 65 and over,White: Other White,1229
2011,E09000007,One person household: Aged 65 and over,Mixed/multiple ethnic group: White and Black Caribbean,24
2011,E09000007,One person household: Aged 65 and over,Mixed/multiple ethnic group: White and Black African,16
2011,E09000007,One person household: Aged 65 and over,Mixed/multiple ethnic group: White and Asian,30
2011,E09000007,One person household: Aged 65 and over,Mixed/multiple ethnic group: Other Mixed,60
2011,E09000007,One person household: Aged 65 and over,Asian/Asian British: Indian,131
2011,E09000007,One person household: Aged 65 and over,Asian/Asian British: Pakistani,26
2011,E09000007,One person household: Aged 65 and over,Asian/Asian British: Bangladeshi,39
2011,E09000007,One person household: Aged 65 and over,Asian/Asian British: Chinese,114
2011,E09000007,One person household: Aged 65 and over,Asian/Asian British: Other Asian,172
2011,E09000007,One person household: Aged 65 and over,Black/African/Caribbean/Black British: African,176
2011,E09000007,One person household: Aged 65 and over,Black/African/Caribbean/Black British: Caribbean,144
2011,E09000007,One person household: Aged 65 and over,Black/African/Caribbean/Black British: Other Black,42
2011,E09000007,One person household: Aged 65 and over,Other ethnic group: Arab,34
2011,E09000007,One person household: Aged 65 and over,Other ethnic group: Any other ethnic group,85
2011,E09000007,One person household: Other,White: English/Welsh/Scottish/Northern Irish/British,14979
2011,E09000007,One person household: Other,White: Irish,1380
2011,E09000007,One person household: Other,White: Gypsy or Irish Traveller,47
2011,E09000007,One person household: Other,White: Other White,6378
2011,E09000007,One person household: Other,Mixed/multiple ethnic group: White and Black Caribbean,249
2011,E09000007,One person household: Other,Mixed/multiple ethnic group: White and Black African,207
2011,E09000007,One person household: Other,Mixed/multiple ethnic group: White and Asian,276
2011,E09000007,One person household: Other,Mixed/multiple ethnic group: Other Mixed,388
2011,E09000007,One person household: Other,Asian/Asian British: Indian,728
2011,E09000007,One person household: Other,Asian/Asian British: Pakistani,126
2011,E09000007,One person household: Other,Asian/Asian British: Bangladeshi,201
2011,E09000007,One person household: Other,Asian/Asian British: Chinese,807
2011,E09000007,One person household: Other,Asian/Asian British: Other Asian,1129
2011,E09000007,One person household: Other,Black/African/Caribbean/Black British: African,1206
2011,E09000007,One person household: Other,Black/African/Caribbean/Black British: Caribbean,369
2011,E09000007,One person household: Other,Black/African/Caribbean/Black British: Other Black,255
2011,E09000007,One person household: Other,Other ethnic group: Arab,265
2011,E09000007,One person household: Other,Other ethnic group: Any other ethnic group,428
2011,E09000007,One family only: All aged 65 and over,White: English/Welsh/Scottish/Northern Irish/British,1837
2011,E09000007,One family only: All aged 65 and over,White: Irish,143
2011,E09000007,One family only: All aged 65 and over,White: Gypsy or Irish Traveller,0
2011,E09000007,One family only: All aged 65 and over,White: Other White,325
2011,E09000007,One family only: All aged 65 and over,Mixed/multiple ethnic group: White and Black Caribbean,8
