date,geography_code,c_hhchuk11_name,relpuk11_hrppuk11_name,obs_value
2011,E09000007,One person household: Aged 65 and over,Christian,4788
2011,E09000007,One person household: Aged 65 and over,Buddhist,83
2011,E09000007,One person household: Aged 65 and over,Hindu,58
2011,E09000007,One person household: Aged 65 and over,Jewish,603
2011,E09000007,One person household: Aged 65 and over,Muslim,237
2011,E09000007,One person household: Aged 65 and over,Sikh,7
2011,E09000007,One person household: Aged 65 and over,Other religion,47
2011,E09000007,One person household: Aged 65 and over,No religion,1535
2011,E09000007,One person household: Aged 65 and over,Religion not stated,2755
2011,E09000007,One person household: Other,Christian,9406
2011,E09000007,One person household: Other,Buddhist,535
2011,E09000007,One person household: Other,Hindu,374
2011,E09000007,One person household: Other,Jewish,1146
2011,E09000007,One person household: Other,Muslim,1394
2011,E09000007,One person household: Other,Sikh,65
2011,E09000007,One person household: Other,Other religion,324
2011,E09000007,One person household: Other,No religion,8634
2011,E09000007,One person household: Other,Religion not stated,7540
2011,E09000007,One family only: All aged 65 and over,Christian,1122
2011,E09000007,One family only: All aged 65 and over,Buddhist,16
2011,E09000007,One family only: All aged 65 and over,Hindu,29
2011,E09000007,One family only: All aged 65 and over,Jewish,382
2011,E09000007,One family only: All aged 65 and over,Muslim,58
2011,E09000007,One family only: All aged 65 and over,Sikh,1
2011,E09000007,One family only: All aged 65 and over,Other religion,11
2011,E09000007,One family only: All aged 65 and over,No religion,543
2011,E09000007,One family only: All aged 65 and over,Religion not stated,431
2011,E09000007,One family only: Married or same-sex civil partnership couple: No children,Christian,2519
2011,E09000007,One family only: Married or same-sex civil partnership couple: No children,Buddhist,122
2011,E09000007,One family only: Married or same-sex civil partnership couple: No children,Hindu,164
2011,E09000007,One family only: Married or same-sex civil partnership couple: No children,Jewish,583
2011,E09000007,One family only: Married or same-sex civil partnership couple: No children,Muslim,311
2011,E09000007,One family only: Married or same-sex civil partnership couple: No children,Sikh,21
2011,E09000007,One family only: Married or same-sex civil partnership couple: No children,Other religion,51
2011,E09000007,One family only: Married or same-sex civil partnership couple: No children,No religion,2093
2011,E09000007,One family only: Married or same-sex civil partnership couple: No children,Religion not stated,1202
