date,geography_code,age_of_dependent_child_name,c_ethhuk11_name,obs_value
2011,E09000007,Age 0 to 2,White: English/Welsh/Scottish/Northern Irish/British,2796
2011,E09000007,Age 0 to 2,White: Irish,178
2011,E09000007,Age 0 to 2,White: Gypsy or Irish Traveller,6
2011,E09000007,Age 0 to 2,White: Other White,1882
2011,E09000007,Age 0 to 2,Mixed/multiple ethnic group: White and Black Caribbean,75
2011,E09000007,Age 0 to 2,Mixed/multiple ethnic group: White and Black African,53
2011,E09000007,Age 0 to 2,Mixed/multiple ethnic group: White and Asian,87
2011,E09000007,Age 0 to 2,Mixed/multiple ethnic group: Other Mixed,165
2011,E09000007,Age 0 to 2,Asian/Asian British: Indian,219
2011,E09000007,Age 0 to 2,Asian/Asian British: Pakistani,83
2011,E09000007,Age 0 to 2,Asian/Asian British: Bangladeshi,838
2011,E09000007,Age 0 to 2,Asian/Asian British: Chinese,109
2011,E09000007,Age 0 to 2,Asian/Asian British: Other Asian,308
2011,E09000007,Age 0 to 2,Black/African/Caribbean/Black British: African,761
2011,E09000007,Age 0 to 2,Black/African/Caribbean/Black British: Caribbean,116
2011,E09000007,Age 0 to 2,Black/African/Caribbean/Black British: Other Black,143
2011,E09000007,Age 0 to 2,Other ethnic group: Arab,197
2011,E09000007,Age 0 to 2,Other ethnic group: Any other ethnic group,211
2011,E09000007,Age 3 to 4,White: English/Welsh/Scottish/Northern Irish/British,1632
2011,E09000007,Age 3 to 4,White: Irish,80
2011,E09000007,Age 3 to 4,White: Gypsy or Irish Traveller,4
2011,E09000007,Age 3 to 4,White: Other White,1031
2011,E09000007,Age 3 to 4,Mixed/multiple ethnic group: White and Black Caribbean,60
2011,E09000007,Age 3 to 4,Mixed/multiple ethnic group: White and Black African,37
2011,E09000007,Age 3 to 4,Mixed/multiple ethnic group: White and Asian,61
2011,E09000007,Age 3 to 4,Mixed/multiple ethnic group: Other Mixed,47
2011,E09000007,Age 3 to 4,Asian/Asian British: Indian,121
2011,E09000007,Age 3 to 4,Asian/Asian British: Pakistani,57
2011,E09000007,Age 3 to 4,Asian/Asian British: Bangladeshi,556
2011,E09000007,Age 3 to 4,Asian/Asian British: Chinese,56
2011,E09000007,Age 3 to 4,Asian/Asian British: Other Asian,171
2011,E09000007,Age 3 to 4,Black/African/Caribbean/Black British: African,562
2011,E09000007,Age 3 to 4,Black/African/Caribbean/Black British: Caribbean,88
2011,E09000007,Age 3 to 4,Black/African/Caribbean/Black British: Other Black,100
2011,E09000007,Age 3 to 4,Other ethnic group: Arab,117
2011,E09000007,Age 3 to 4,Other ethnic group: Any other ethnic group,129
2011,E09000007,Age 5 to 7,White: English/Welsh/Scottish/Northern Irish/British,2202
2011,E09000007,Age 5 to 7,White: Irish,125
2011,E09000007,Age 5 to 7,White: Gypsy or Irish Traveller,4
2011,E09000007,Age 5 to 7,White: Other White,1229
2011,E09000007,Age 5 to 7,Mixed/multiple ethnic group: White and Black Caribbean,69
2011,E09000007,Age 5 to 7,Mixed/multiple ethnic group: White and Black African,44
2011,E09000007,Age 5 to 7,Mixed/multiple ethnic group: White and Asian,72
2011,E09000007,Age 5 to 7,Mixed/multiple ethnic group: Other Mixed,74
2011,E09000007,Age 5 to 7,Asian/Asian British: Indian,127
2011,E09000007,Age 5 to 7,Asian/Asian British: Pakistani,56
2011,E09000007,Age 5 to 7,Asian/Asian British: Bangladeshi,869
2011,E09000007,Age 5 to 7,Asian/Asian British: Chinese,73
2011,E09000007,Age 5 to 7,Asian/Asian British: Other Asian,270
2011,E09000007,Age 5 to 7,Black/African/Caribbean/Black British: African,951
2011,E09000007,Age 5 to 7,Black/African/Caribbean/Black British: Caribbean,119
2011,E09000007,Age 5 to 7,Black/African/Caribbean/Black British: Other Black,164
2011,E09000007,Age 5 to 7,Other ethnic group: Arab,177
2011,E09000007,Age 5 to 7,Other ethnic group: Any other ethnic group,144
2011,E09000007,Age 8 to 9,White: English/Welsh/Scottish/Northern Irish/British,1351
2011,E09000007,Age 8 to 9,White: Irish,83
2011,E09000007,Age 8 to 9,White: Gypsy or Irish Traveller,2
2011,E09000007,Age 8 to 9,White: Other White,747
2011,E09000007,Age 8 to 9,Mixed/multiple ethnic group: White and Black Caribbean,32
2011,E09000007,Age 8 to 9,Mixed/multiple ethnic group: White and Black African,27
2011,E09000007,Age 8 to 9,Mixed/multiple ethnic group: White and Asian,44
2011,E09000007,Age 8 to 9,Mixed/multiple ethnic group: Other Mixed,45
2011,E09000007,Age 8 to 9,Asian/Asian British: Indian,66
2011,E09000007,Age 8 to 9,Asian/Asian British: Pakistani,31
2011,E09000007,Age 8 to 9,Asian/Asian British: Bangladeshi,575
2011,E09000007,Age 8 to 9,Asian/Asian British: Chinese,43
2011,E09000007,Age 8 to 9,Asian/Asian British: Other Asian,112
2011,E09000007,Age 8 to 9,Black/African/Caribbean/Black British: African,615
2011,E09000007,Age 8 to 9,Black/African/Caribbean/Black British: Caribbean,74
2011,E09000007,Age 8 to 9,Black/African/Caribbean/Black British: Other Black,86
2011,E09000007,Age 8 to 9,Other ethnic group: Arab,91
2011,E09000007,Age 8 to 9,Other ethnic group: Any other ethnic group,91
2011,E09000007,Age 10 to 11,White: English/Welsh/Scottish/Northern Irish/British,1379
2011,E09000007,Age 10 to 11,White: Irish,86
2011,E09000007,Age 10 to 11,White: Gypsy or Irish Traveller,3
2011,E09000007,Age 10 to 11,White: Other White,701
2011,E09000007,Age 10 to 11,Mixed/multiple ethnic group: White and Black Caribbean,39
2011,E09000007,Age 10 to 11,Mixed/multiple ethnic group: White and Black African,28
2011,E09000007,Age 10 to 11,Mixed/multiple ethnic group: White and Asian,27
2011,E09000007,Age 10 to 11,Mixed/multiple ethnic group: Other Mixed,95
2011,E09000007,Age 10 to 11,Asian/Asian British: Indian,76
2011,E09000007,Age 10 to 11,Asian/Asian British: Pakistani,35
