date,geography_code,c_sex_name,c_age_name,c_cob_name,obs_value
2011,E09000007,Males,Age 0 to 15,Europe: United Kingdom: England,15633
2011,E09000007,Males,Age 0 to 15,Europe: United Kingdom: Northern Ireland,4
2011,E09000007,Males,Age 0 to 15,Europe: United Kingdom: Scotland,30
2011,E09000007,Males,Age 0 to 15,Europe: United Kingdom: Wales,18
2011,E09000007,Males,Age 0 to 15,Europe: United Kingdom: Great Britain not otherwise specified,3
2011,E09000007,Males,Age 0 to 15,Europe: United Kingdom: United Kingdom not otherwise specified,15
2011,E09000007,Males,Age 0 to 15,Europe: Ireland,27
2011,E09000007,Males,Age 0 to 15,Europe: Other Europe: EU countries: Member countries in March 2001,442
2011,E09000007,Males,Age 0 to 15,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011,151
2011,E09000007,Males,Age 0 to 15,Europe: Other Europe: Rest of Europe,209
2011,E09000007,Males,Age 0 to 15,Africa: North Africa,22
2011,E09000007,Males,Age 0 to 15,Africa: Central and Western Africa,36
2011,E09000007,Males,Age 0 to 15,Africa: South and Eastern Africa,222
2011,E09000007,Males,Age 0 to 15,Africa: Africa not otherwise specified,0
2011,E09000007,Males,Age 0 to 15,Middle East and Asia: Middle East,118
2011,E09000007,Males,Age 0 to 15,Middle East and Asia: Eastern Asia,187
2011,E09000007,Males,Age 0 to 15,Middle East and Asia: Southern Asia,194
2011,E09000007,Males,Age 0 to 15,Middle East and Asia: South-East Asia,49
2011,E09000007,Males,Age 0 to 15,Middle East and Asia: Central Asia,3
2011,E09000007,Males,Age 0 to 15,The Americas and the Caribbean: North America and the Caribbean,571
2011,E09000007,Males,Age 0 to 15,The Americas and the Caribbean: Central and South America,62
2011,E09000007,Males,Age 0 to 15,Antarctica and Oceania (including Australasia),54
2011,E09000007,Males,Age 0 to 15,Other,0
2011,E09000007,Males,Age 16 to 24,Europe: United Kingdom: England,9128
2011,E09000007,Males,Age 16 to 24,Europe: United Kingdom: Northern Ireland,48
2011,E09000007,Males,Age 16 to 24,Europe: United Kingdom: Scotland,191
2011,E09000007,Males,Age 16 to 24,Europe: United Kingdom: Wales,127
2011,E09000007,Males,Age 16 to 24,Europe: United Kingdom: Great Britain not otherwise specified,0
2011,E09000007,Males,Age 16 to 24,Europe: United Kingdom: United Kingdom not otherwise specified,2
2011,E09000007,Males,Age 16 to 24,Europe: Ireland,71
2011,E09000007,Males,Age 16 to 24,Europe: Other Europe: EU countries: Member countries in March 2001,1102
2011,E09000007,Males,Age 16 to 24,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011,387
2011,E09000007,Males,Age 16 to 24,Europe: Other Europe: Rest of Europe,450
2011,E09000007,Males,Age 16 to 24,Africa: North Africa,68
2011,E09000007,Males,Age 16 to 24,Africa: Central and Western Africa,179
2011,E09000007,Males,Age 16 to 24,Africa: South and Eastern Africa,459
2011,E09000007,Males,Age 16 to 24,Africa: Africa not otherwise specified,1
2011,E09000007,Males,Age 16 to 24,Middle East and Asia: Middle East,270
2011,E09000007,Males,Age 16 to 24,Middle East and Asia: Eastern Asia,767
2011,E09000007,Males,Age 16 to 24,Middle East and Asia: Southern Asia,667
2011,E09000007,Males,Age 16 to 24,Middle East and Asia: South-East Asia,676
2011,E09000007,Males,Age 16 to 24,Middle East and Asia: Central Asia,26
2011,E09000007,Males,Age 16 to 24,The Americas and the Caribbean: North America and the Caribbean,355
2011,E09000007,Males,Age 16 to 24,The Americas and the Caribbean: Central and South America,121
2011,E09000007,Males,Age 16 to 24,Antarctica and Oceania (including Australasia),277
2011,E09000007,Males,Age 16 to 24,Other,0
2011,E09000007,Males,Age 25 to 34,Europe: United Kingdom: England,11735
2011,E09000007,Males,Age 25 to 34,Europe: United Kingdom: Northern Ireland,158
2011,E09000007,Males,Age 25 to 34,Europe: United Kingdom: Scotland,473
