date,geography_code,c_hlqpuk11_name,dpcfamuk11_dpcefamuk11_name,c_sex_name,c_hours_name,obs_value
2011,E41000293,No qualifications,One dependent child in family,Males,Part-time: 30 hours or less worked,142
2011,E41000293,No qualifications,One dependent child in family,Males,Full-time: 31 or more hours worked,540
2011,E41000293,No qualifications,One dependent child in family,Females,Part-time: 30 hours or less worked,498
2011,E41000293,No qualifications,One dependent child in family,Females,Full-time: 31 or more hours worked,244
2011,E41000293,No qualifications,Two or more dependent children in family,Males,Part-time: 30 hours or less worked,385
2011,E41000293,No qualifications,Two or more dependent children in family,Males,Full-time: 31 or more hours worked,738
2011,E41000293,No qualifications,Two or more dependent children in family,Females,Part-time: 30 hours or less worked,434
2011,E41000293,No qualifications,Two or more dependent children in family,Females,Full-time: 31 or more hours worked,133
2011,E41000293,No qualifications,All children in family non-dependent,Males,Part-time: 30 hours or less worked,162
2011,E41000293,No qualifications,All children in family non-dependent,Males,Full-time: 31 or more hours worked,854
2011,E41000293,No qualifications,All children in family non-dependent,Females,Part-time: 30 hours or less worked,508
2011,E41000293,No qualifications,All children in family non-dependent,Females,Full-time: 31 or more hours worked,422
2011,E41000293,Level 1 qualifications,One dependent child in family,Males,Part-time: 30 hours or less worked,106
2011,E41000293,Level 1 qualifications,One dependent child in family,Males,Full-time: 31 or more hours worked,793
2011,E41000293,Level 1 qualifications,One dependent child in family,Females,Part-time: 30 hours or less worked,676
2011,E41000293,Level 1 qualifications,One dependent child in family,Females,Full-time: 31 or more hours worked,577
2011,E41000293,Level 1 qualifications,Two or more dependent children in family,Males,Part-time: 30 hours or less worked,228
2011,E41000293,Level 1 qualifications,Two or more dependent children in family,Males,Full-time: 31 or more hours worked,1101
2011,E41000293,Level 1 qualifications,Two or more dependent children in family,Females,Part-time: 30 hours or less worked,819
2011,E41000293,Level 1 qualifications,Two or more dependent children in family,Females,Full-time: 31 or more hours worked,409
2011,E41000293,Level 1 qualifications,All children in family non-dependent,Males,Part-time: 30 hours or less worked,37
2011,E41000293,Level 1 qualifications,All children in family non-dependent,Males,Full-time: 31 or more hours worked,454
2011,E41000293,Level 1 qualifications,All children in family non-dependent,Females,Part-time: 30 hours or less worked,355
2011,E41000293,Level 1 qualifications,All children in family non-dependent,Females,Full-time: 31 or more hours worked,476
2011,E41000293,Level 2 qualifications,One dependent child in family,Males,Part-time: 30 hours or less worked,106
2011,E41000293,Level 2 qualifications,One dependent child in family,Males,Full-time: 31 or more hours worked,735
2011,E41000293,Level 2 qualifications,One dependent child in family,Females,Part-time: 30 hours or less worked,643
