date,geography_code,c_sex_name,c_nssec_name,c_hhchuk11_name,obs_value
2011,E09000007,Males,"1. Higher managerial, administrative and professional occupations",One person household: Aged 65 and over,648
2011,E09000007,Males,"1. Higher managerial, administrative and professional occupations",One person household: Other,3774
2011,E09000007,Males,"1. Higher managerial, administrative and professional occupations",One family only: Couple household: No children,3672
2011,E09000007,Males,"1. Higher managerial, administrative and professional occupations",One family only: Couple household: Dependent children,2899
2011,E09000007,Males,"1. Higher managerial, administrative and professional occupations",One family only: Couple household: All children non-dependent,404
2011,E09000007,Males,"1. Higher managerial, administrative and professional occupations",One family only: Lone parent household,128
2011,E09000007,Males,"1. Higher managerial, administrative and professional occupations",Other household types,2797
2011,E09000007,Males,"2. Lower managerial, administrative and professional occupations",One person household: Aged 65 and over,862
2011,E09000007,Males,"2. Lower managerial, administrative and professional occupations",One person household: Other,4553
2011,E09000007,Males,"2. Lower managerial, administrative and professional occupations",One family only: Couple household: No children,3463
2011,E09000007,Males,"2. Lower managerial, administrative and professional occupations",One family only: Couple household: Dependent children,2880
2011,E09000007,Males,"2. Lower managerial, administrative and professional occupations",One family only: Couple household: All children non-dependent,404
2011,E09000007,Males,"2. Lower managerial, administrative and professional occupations",One family only: Lone parent household,206
2011,E09000007,Males,"2. Lower managerial, administrative and professional occupations",Other household types,2951
2011,E09000007,Males,3. Intermediate occupations,One person household: Aged 65 and over,269
2011,E09000007,Males,3. Intermediate occupations,One person household: Other,887
2011,E09000007,Males,3. Intermediate occupations,One family only: Couple household: No children,480
2011,E09000007,Males,3. Intermediate occupations,One family only: Couple household: Dependent children,344
2011,E09000007,Males,3. Intermediate occupations,One family only: Couple household: All children non-dependent,80
2011,E09000007,Males,3. Intermediate occupations,One family only: Lone parent household,49
2011,E09000007,Males,3. Intermediate occupations,Other household types,584
2011,E09000007,Males,4. Small employers and own account workers,One person household: Aged 65 and over,577
2011,E09000007,Males,4. Small employers and own account workers,One person household: Other,1807
2011,E09000007,Males,4. Small employers and own account workers,One family only: Couple household: No children,964
2011,E09000007,Males,4. Small employers and own account workers,One family only: Couple household: Dependent children,1400
2011,E09000007,Males,4. Small employers and own account workers,One family only: Couple household: All children non-dependent,348
2011,E09000007,Males,4. Small employers and own account workers,One family only: Lone parent household,149
2011,E09000007,Males,4. Small employers and own account workers,Other household types,1130
