date,geography_code,c_dpcefamuk11_name,c_fmtfamuk11_name,obs_value
2011,E09000007,Families with no children,Couple family: Married or same-sex civil partnership: No children or non step-family (all children belong to both members of the couple),10514
2011,E09000007,Families with no children,Couple family: Married or same-sex civil partnership: Step-family,0
2011,E09000007,Families with no children,Couple family: Cohabiting: No children or non step-family (all children belong to both members of the couple),9029
2011,E09000007,Families with no children,Couple family: Cohabiting: Step-family,0
2011,E09000007,Families with no children,Lone parent family: Male parent,0
2011,E09000007,Families with no children,Lone parent family: Female parent,0
2011,E09000007,Youngest dependent child: Age 0 to 9,Couple family: Married or same-sex civil partnership: No children or non step-family (all children belong to both members of the couple),8488
2011,E09000007,Youngest dependent child: Age 0 to 9,Couple family: Married or same-sex civil partnership: Step-family,362
2011,E09000007,Youngest dependent child: Age 0 to 9,Couple family: Cohabiting: No children or non step-family (all children belong to both members of the couple),1511
2011,E09000007,Youngest dependent child: Age 0 to 9,Couple family: Cohabiting: Step-family,159
2011,E09000007,Youngest dependent child: Age 0 to 9,Lone parent family: Male parent,367
2011,E09000007,Youngest dependent child: Age 0 to 9,Lone parent family: Female parent,4267
2011,E09000007,Youngest dependent child: Age 10 to 18,Couple family: Married or same-sex civil partnership: No children or non step-family (all children belong to both members of the couple),2649
2011,E09000007,Youngest dependent child: Age 10 to 18,Couple family: Married or same-sex civil partnership: Step-family,187
2011,E09000007,Youngest dependent child: Age 10 to 18,Couple family: Cohabiting: No children or non step-family (all children belong to both members of the couple),403
2011,E09000007,Youngest dependent child: Age 10 to 18,Couple family: Cohabiting: Step-family,70
2011,E09000007,Youngest dependent child: Age 10 to 18,Lone parent family: Male parent,318
2011,E09000007,Youngest dependent child: Age 10 to 18,Lone parent family: Female parent,2743
2011,E09000007,All children in family non-dependent,Couple family: Married or same-sex civil partnership: No children or non step-family (all children belong to both members of the couple),2455
2011,E09000007,All children in family non-dependent,Couple family: Married or same-sex civil partnership: Step-family,221
2011,E09000007,All children in family non-dependent,Couple family: Cohabiting: No children or non step-family (all children belong to both members of the couple),257
2011,E09000007,All children in family non-dependent,Couple family: Cohabiting: Step-family,88
2011,E09000007,All children in family non-dependent,Lone parent family: Male parent,698
2011,E09000007,All children in family non-dependent,Lone parent family: Female parent,3554
2011,E09000001,Families with no children,Couple family: Married or same-sex civil partnership: No children or non step-family (all children belong to both members of the couple),657
2011,E09000001,Families with no children,Couple family: Married or same-sex civil partnership: Step-family,0
2011,E09000001,Families with no children,Couple family: Cohabiting: No children or non step-family (all children belong to both members of the couple),377
2011,E09000001,Families with no children,Couple family: Cohabiting: Step-family,0
2011,E09000001,Families with no children,Lone parent family: Male parent,0
2011,E09000001,Families with no children,Lone parent family: Female parent,0
2011,E09000001,Youngest dependent child: Age 0 to 9,Couple family: Married or same-sex civil partnership: No children or non step-family (all children belong to both members of the couple),189
2011,E09000001,Youngest dependent child: Age 0 to 9,Couple family: Married or same-sex civil partnership: Step-family,4
2011,E09000001,Youngest dependent child: Age 0 to 9,Couple family: Cohabiting: No children or non step-family (all children belong to both members of the couple),48
2011,E09000001,Youngest dependent child: Age 0 to 9,Couple family: Cohabiting: Step-family,3
2011,E09000001,Youngest dependent child: Age 0 to 9,Lone parent family: Male parent,8
2011,E09000001,Youngest dependent child: Age 0 to 9,Lone parent family: Female parent,50
2011,E09000001,Youngest dependent child: Age 10 to 18,Couple family: Married or same-sex civil partnership: No children or non step-family (all children belong to both members of the couple),64
