date,geography_code,family_status_name,c_ecopuk11_name,obs_value
2011,E09000007,Couple family: Both parents working,Economically active: In employment: Employee (including full-time students),9828
2011,E09000007,Couple family: Both parents working,Economically active: In employment: Self-employed (including full-time students),4046
2011,E09000007,Couple family: Both parents working,Economically active: Unemployed (including full-time students),0
2011,E09000007,Couple family: Both parents working,Economically inactive: Retired,0
2011,E09000007,Couple family: Both parents working,Economically inactive: Student (including full-time students),0
2011,E09000007,Couple family: Both parents working,Economically inactive: Looking after home or family,0
2011,E09000007,Couple family: Both parents working,Economically inactive: Long-term sick or disabled,0
2011,E09000007,Couple family: Both parents working,Economically inactive: Other,0
2011,E09000007,Couple family: One parent working,Economically active: In employment: Employee (including full-time students),4127
2011,E09000007,Couple family: One parent working,Economically active: In employment: Self-employed (including full-time students),1366
2011,E09000007,Couple family: One parent working,Economically active: Unemployed (including full-time students),661
2011,E09000007,Couple family: One parent working,Economically inactive: Retired,107
2011,E09000007,Couple family: One parent working,Economically inactive: Student (including full-time students),369
2011,E09000007,Couple family: One parent working,Economically inactive: Looking after home or family,3492
2011,E09000007,Couple family: One parent working,Economically inactive: Long-term sick or disabled,209
2011,E09000007,Couple family: One parent working,Economically inactive: Other,637
2011,E09000007,Couple family: No parents working,Economically active: In employment: Employee (including full-time students),0
2011,E09000007,Couple family: No parents working,Economically active: In employment: Self-employed (including full-time students),0
2011,E09000007,Couple family: No parents working,Economically active: Unemployed (including full-time students),512
2011,E09000007,Couple family: No parents working,Economically inactive: Retired,246
2011,E09000007,Couple family: No parents working,Economically inactive: Student (including full-time students),176
2011,E09000007,Couple family: No parents working,Economically inactive: Looking after home or family,922
2011,E09000007,Couple family: No parents working,Economically inactive: Long-term sick or disabled,542
2011,E09000007,Couple family: No parents working,Economically inactive: Other,394
2011,E09000007,Lone parent family: Parent working,Economically active: In employment: Employee (including full-time students),3021
2011,E09000007,Lone parent family: Parent working,Economically active: In employment: Self-employed (including full-time students),708
2011,E09000007,Lone parent family: Parent working,Economically active: Unemployed (including full-time students),0
2011,E09000007,Lone parent family: Parent working,Economically inactive: Retired,0
2011,E09000007,Lone parent family: Parent working,Economically inactive: Student (including full-time students),0
2011,E09000007,Lone parent family: Parent working,Economically inactive: Looking after home or family,0
2011,E09000007,Lone parent family: Parent working,Economically inactive: Long-term sick or disabled,0
2011,E09000007,Lone parent family: Parent working,Economically inactive: Other,0
2011,E09000007,Lone parent family: Parent not working,Economically active: In employment: Employee (including full-time students),0
2011,E09000007,Lone parent family: Parent not working,Economically active: In employment: Self-employed (including full-time students),0
2011,E09000007,Lone parent family: Parent not working,Economically active: Unemployed (including full-time students),812
2011,E09000007,Lone parent family: Parent not working,Economically inactive: Retired,203
2011,E09000007,Lone parent family: Parent not working,Economically inactive: Student (including full-time students),387
2011,E09000007,Lone parent family: Parent not working,Economically inactive: Looking after home or family,1404
2011,E09000007,Lone parent family: Parent not working,Economically inactive: Long-term sick or disabled,697
2011,E09000007,Lone parent family: Parent not working,Economically inactive: Other,456
2011,E09000001,Couple family: Both parents working,Economically active: In employment: Employee (including full-time students),292
2011,E09000001,Couple family: Both parents working,Economically active: In employment: Self-employed (including full-time students),90
2011,E09000001,Couple family: Both parents working,Economically active: Unemployed (including full-time students),0
2011,E09000001,Couple family: Both parents working,Economically inactive: Retired,0
2011,E09000001,Couple family: Both parents working,Economically inactive: Student (including full-time students),0
2011,E09000001,Couple family: Both parents working,Economically inactive: Looking after home or family,0
2011,E09000001,Couple family: Both parents working,Economically inactive: Long-term sick or disabled,0
2011,E09000001,Couple family: Both parents working,Economically inactive: Other,0
2011,E09000001,Couple family: One parent working,Economically active: In employment: Employee (including full-time students),85
2011,E09000001,Couple family: One parent working,Economically active: In employment: Self-employed (including full-time students),26
2011,E09000001,Couple family: One parent working,Economically active: Unemployed (including full-time students),17
2011,E09000001,Couple family: One parent working,Economically inactive: Retired,5
2011,E09000001,Couple family: One parent working,Economically inactive: Student (including full-time students),7
2011,E09000001,Couple family: One parent working,Economically inactive: Looking after home or family,70
2011,E09000001,Couple family: One parent working,Economically inactive: Long-term sick or disabled,3
