date,geography_code,c_bedrooms_name,c_age_name,c_typaccom_name,obs_value
2011,E09000007,1 bedroom,Age 0 to 9,Whole house or bungalow: Detached,24
2011,E09000007,1 bedroom,Age 0 to 9,Whole house or bungalow: Semi-detached,26
2011,E09000007,1 bedroom,Age 0 to 9,Whole house or bungalow: Terraced (including end-terrace),65
2011,E09000007,1 bedroom,Age 0 to 9,"Flat, maisonette or apartment, or mobile/temporary accommodation",2729
2011,E09000007,1 bedroom,Age 10 to 18,Whole house or bungalow: Detached,14
2011,E09000007,1 bedroom,Age 10 to 18,Whole house or bungalow: Semi-detached,7
2011,E09000007,1 bedroom,Age 10 to 18,Whole house or bungalow: Terraced (including end-terrace),18
2011,E09000007,1 bedroom,Age 10 to 18,"Flat, maisonette or apartment, or mobile/temporary accommodation",801
2011,E09000007,2 bedrooms,Age 0 to 9,Whole house or bungalow: Detached,57
2011,E09000007,2 bedrooms,Age 0 to 9,Whole house or bungalow: Semi-detached,125
2011,E09000007,2 bedrooms,Age 0 to 9,Whole house or bungalow: Terraced (including end-terrace),277
2011,E09000007,2 bedrooms,Age 0 to 9,"Flat, maisonette or apartment, or mobile/temporary accommodation",8707
2011,E09000007,2 bedrooms,Age 10 to 18,Whole house or bungalow: Detached,37
2011,E09000007,2 bedrooms,Age 10 to 18,Whole house or bungalow: Semi-detached,60
2011,E09000007,2 bedrooms,Age 10 to 18,Whole house or bungalow: Terraced (including end-terrace),141
2011,E09000007,2 bedrooms,Age 10 to 18,"Flat, maisonette or apartment, or mobile/temporary accommodation",4310
2011,E09000007,3 bedrooms,Age 0 to 9,Whole house or bungalow: Detached,114
2011,E09000007,3 bedrooms,Age 0 to 9,Whole house or bungalow: Semi-detached,309
2011,E09000007,3 bedrooms,Age 0 to 9,Whole house or bungalow: Terraced (including end-terrace),968
2011,E09000007,3 bedrooms,Age 0 to 9,"Flat, maisonette or apartment, or mobile/temporary accommodation",5329
2011,E09000007,3 bedrooms,Age 10 to 18,Whole house or bungalow: Detached,125
2011,E09000007,3 bedrooms,Age 10 to 18,Whole house or bungalow: Semi-detached,280
2011,E09000007,3 bedrooms,Age 10 to 18,Whole house or bungalow: Terraced (including end-terrace),726
2011,E09000007,3 bedrooms,Age 10 to 18,"Flat, maisonette or apartment, or mobile/temporary accommodation",4509
2011,E09000007,4 or more bedrooms,Age 0 to 9,Whole house or bungalow: Detached,540
2011,E09000007,4 or more bedrooms,Age 0 to 9,Whole house or bungalow: Semi-detached,1111
2011,E09000007,4 or more bedrooms,Age 0 to 9,Whole house or bungalow: Terraced (including end-terrace),1922
2011,E09000007,4 or more bedrooms,Age 0 to 9,"Flat, maisonette or apartment, or mobile/temporary accommodation",1717
2011,E09000007,4 or more bedrooms,Age 10 to 18,Whole house or bungalow: Detached,553
2011,E09000007,4 or more bedrooms,Age 10 to 18,Whole house or bungalow: Semi-detached,1099
2011,E09000007,4 or more bedrooms,Age 10 to 18,Whole house or bungalow: Terraced (including end-terrace),1462
2011,E09000007,4 or more bedrooms,Age 10 to 18,"Flat, maisonette or apartment, or mobile/temporary accommodation",1523
2011,E09000001,1 bedroom,Age 0 to 9,Whole house or bungalow: Detached,0
2011,E09000001,1 bedroom,Age 0 to 9,Whole house or bungalow: Semi-detached,0
2011,E09000001,1 bedroom,Age 0 to 9,Whole house or bungalow: Terraced (including end-terrace),1
2011,E09000001,1 bedroom,Age 0 to 9,"Flat, maisonette or apartment, or mobile/temporary accommodation",72
2011,E09000001,1 bedroom,Age 10 to 18,Whole house or bungalow: Detached,0
2011,E09000001,1 bedroom,Age 10 to 18,Whole house or bungalow: Semi-detached,0
2011,E09000001,1 bedroom,Age 10 to 18,Whole house or bungalow: Terraced (including end-terrace),2
2011,E09000001,1 bedroom,Age 10 to 18,"Flat, maisonette or apartment, or mobile/temporary accommodation",18
2011,E09000001,2 bedrooms,Age 0 to 9,Whole house or bungalow: Detached,2
2011,E09000001,2 bedrooms,Age 0 to 9,Whole house or bungalow: Semi-detached,0
2011,E09000001,2 bedrooms,Age 0 to 9,Whole house or bungalow: Terraced (including end-terrace),2
2011,E09000001,2 bedrooms,Age 0 to 9,"Flat, maisonette or apartment, or mobile/temporary accommodation",197
2011,E09000001,2 bedrooms,Age 10 to 18,Whole house or bungalow: Detached,0
2011,E09000001,2 bedrooms,Age 10 to 18,Whole house or bungalow: Semi-detached,0
2011,E09000001,2 bedrooms,Age 10 to 18,Whole house or bungalow: Terraced (including end-terrace),1
2011,E09000001,2 bedrooms,Age 10 to 18,"Flat, maisonette or apartment, or mobile/temporary accommodation",90
2011,E09000001,3 bedrooms,Age 0 to 9,Whole house or bungalow: Detached,0
2011,E09000001,3 bedrooms,Age 0 to 9,Whole house or bungalow: Semi-detached,0
2011,E09000001,3 bedrooms,Age 0 to 9,Whole house or bungalow: Terraced (including end-terrace),3
2011,E09000001,3 bedrooms,Age 0 to 9,"Flat, maisonette or apartment, or mobile/temporary accommodation",97
2011,E09000001,3 bedrooms,Age 10 to 18,Whole house or bungalow: Detached,0
2011,E09000001,3 bedrooms,Age 10 to 18,Whole house or bungalow: Semi-detached,0
2011,E09000001,3 bedrooms,Age 10 to 18,Whole house or bungalow: Terraced (including end-terrace),2
