date,geography_code,cell_name,obs_value
2011,E09000007,All families in households,48340
2011,E09000007,No dependent children in family,26816
2011,E09000007,One dependent child in family aged 0 to 4,4286
2011,E09000007,One dependent child in family aged 5 to 11,2324
2011,E09000007,One dependent child in family aged 12 to 18,3267
2011,E09000007,Two dependent children in family; youngest aged 0 to 4,3561
2011,E09000007,Two dependent children in family; youngest aged 5 to 11,2688
2011,E09000007,Two dependent children in family; youngest aged 12 to 18,1219
2011,E09000007,Three or more dependent children in family; youngest aged 0 to 4,2402
2011,E09000007,Three or more dependent children in family; youngest aged 5 to 11,1582
2011,E09000007,Three or more dependent children in family; youngest aged 12 to 18,195
2011,E09000001,All families in households,1609
2011,E09000001,No dependent children in family,1178
2011,E09000001,One dependent child in family aged 0 to 4,115
2011,E09000001,One dependent child in family aged 5 to 11,71
2011,E09000001,One dependent child in family aged 12 to 18,82
2011,E09000001,Two dependent children in family; youngest aged 0 to 4,59
2011,E09000001,Two dependent children in family; youngest aged 5 to 11,48
2011,E09000001,Two dependent children in family; youngest aged 12 to 18,18
2011,E09000001,Three or more dependent children in family; youngest aged 0 to 4,19
2011,E09000001,Three or more dependent children in family; youngest aged 5 to 11,18
2011,E09000001,Three or more dependent children in family; youngest aged 12 to 18,1
2011,E09000012,All families in households,55116
2011,E09000012,No dependent children in family,26041
2011,E09000012,One dependent child in family aged 0 to 4,5802
2011,E09000012,One dependent child in family aged 5 to 11,3367
2011,E09000012,One dependent child in family aged 12 to 18,4502
2011,E09000012,Two dependent children in family; youngest aged 0 to 4,4243
2011,E09000012,Two dependent children in family; youngest aged 5 to 11,3102
2011,E09000012,Two dependent children in family; youngest aged 12 to 18,1427
2011,E09000012,Three or more dependent children in family; youngest aged 0 to 4,4074
2011,E09000012,Three or more dependent children in family; youngest aged 5 to 11,2211
2011,E09000012,Three or more dependent children in family; youngest aged 12 to 18,347
2011,E09000013,All families in households,41032
2011,E09000013,No dependent children in family,22612
2011,E09000013,One dependent child in family aged 0 to 4,3968
2011,E09000013,One dependent child in family aged 5 to 11,1998
2011,E09000013,One dependent child in family aged 12 to 18,2904
2011,E09000013,Two dependent children in family; youngest aged 0 to 4,3133
2011,E09000013,Two dependent children in family; youngest aged 5 to 11,2112
2011,E09000013,Two dependent children in family; youngest aged 12 to 18,1033
2011,E09000013,Three or more dependent children in family; youngest aged 0 to 4,1893
2011,E09000013,Three or more dependent children in family; youngest aged 5 to 11,1210
2011,E09000013,Three or more dependent children in family; youngest aged 12 to 18,169
2011,E09000014,All families in households,62450
2011,E09000014,No dependent children in family,30516
2011,E09000014,One dependent child in family aged 0 to 4,6180
2011,E09000014,One dependent child in family aged 5 to 11,4028
2011,E09000014,One dependent child in family aged 12 to 18,5534
2011,E09000014,Two dependent children in family; youngest aged 0 to 4,4427
2011,E09000014,Two dependent children in family; youngest aged 5 to 11,3778
2011,E09000014,Two dependent children in family; youngest aged 12 to 18,1810
2011,E09000014,Three or more dependent children in family; youngest aged 0 to 4,3456
2011,E09000014,Three or more dependent children in family; youngest aged 5 to 11,2411
2011,E09000014,Three or more dependent children in family; youngest aged 12 to 18,310
2011,E09000019,All families in households,47398
2011,E09000019,No dependent children in family,26550
2011,E09000019,One dependent child in family aged 0 to 4,4334
2011,E09000019,One dependent child in family aged 5 to 11,2725
2011,E09000019,One dependent child in family aged 12 to 18,3623
2011,E09000019,Two dependent children in family; youngest aged 0 to 4,3107
2011,E09000019,Two dependent children in family; youngest aged 5 to 11,2364
2011,E09000019,Two dependent children in family; youngest aged 12 to 18,1122
2011,E09000019,Three or more dependent children in family; youngest aged 0 to 4,2088
2011,E09000019,Three or more dependent children in family; youngest aged 5 to 11,1275
2011,E09000019,Three or more dependent children in family; youngest aged 12 to 18,210
2011,E09000020,All families in households,36511
2011,E09000020,No dependent children in family,21275
2011,E09000020,One dependent child in family aged 0 to 4,2942
2011,E09000020,One dependent child in family aged 5 to 11,1787
2011,E09000020,One dependent child in family aged 12 to 18,2397
2011,E09000020,Two dependent children in family; youngest aged 0 to 4,2564
2011,E09000020,Two dependent children in family; youngest aged 5 to 11,2015
2011,E09000020,Two dependent children in family; youngest aged 12 to 18,851
2011,E09000020,Three or more dependent children in family; youngest aged 0 to 4,1505
2011,E09000020,Three or more dependent children in family; youngest aged 5 to 11,1030
2011,E09000020,Three or more dependent children in family; youngest aged 12 to 18,145
2011,E09000022,All families in households,70374
2011,E09000022,No dependent children in family,35654
2011,E09000022,One dependent child in family aged 0 to 4,7425
2011,E09000022,One dependent child in family aged 5 to 11,4576
2011,E09000022,One dependent child in family aged 12 to 18,5794
2011,E09000022,Two dependent children in family; youngest aged 0 to 4,5160
2011,E09000022,Two dependent children in family; youngest aged 5 to 11,3928
2011,E09000022,Two dependent children in family; youngest aged 12 to 18,1846
2011,E09000022,Three or more dependent children in family; youngest aged 0 to 4,3516
2011,E09000022,Three or more dependent children in family; youngest aged 5 to 11,2169
2011,E09000022,Three or more dependent children in family; youngest aged 12 to 18,306
2011,E09000023,All families in households,69513
2011,E09000023,No dependent children in family,32773
2011,E09000023,One dependent child in family aged 0 to 4,7473
2011,E09000023,One dependent child in family aged 5 to 11,4887
2011,E09000023,One dependent child in family aged 12 to 18,6211
2011,E09000023,Two dependent children in family; youngest aged 0 to 4,6039
2011,E09000023,Two dependent children in family; youngest aged 5 to 11,4326
2011,E09000023,Two dependent children in family; youngest aged 12 to 18,1956
2011,E09000023,Three or more dependent children in family; youngest aged 0 to 4,3507
2011,E09000023,Three or more dependent children in family; youngest aged 5 to 11,2047
2011,E09000023,Three or more dependent children in family; youngest aged 12 to 18,294
2011,E09000025,All families in households,70307
