date,geography_code,c2021_hh_depchild_6b_name,c2021_hhfamtype_6_name,c2021_hh_depchild_6b_code,c2021_hhfamtype_6_code,obs_value
2021,E09000001,Total,Total,0,0,4917
2021,E09000001,Total,One-person household,0,_1,2506
2021,E09000001,Total,Married or civil partnership couple household,0,_2,1074
2021,E09000001,Total,Cohabiting couple household,0,_3,726
2021,E09000001,Total,Lone parent household,0,_4,197
2021,E09000001,Total,Multi-person household,0,_5,414
2021,E09000001,No dependent children in household,Total,_0,0,4484
2021,E09000001,No dependent children in household,One-person household,_0,_1,2506
2021,E09000001,No dependent children in household,Married or civil partnership couple household,_0,_2,804
2021,E09000001,No dependent children in household,Cohabiting couple household,_0,_3,669
2021,E09000001,No dependent children in household,Lone parent household,_0,_4,91
2021,E09000001,No dependent children in household,Multi-person household,_0,_5,414
2021,E09000001,Youngest dependent child,Total,1001,0,433
2021,E09000001,Youngest dependent child,One-person household,1001,_1,0
2021,E09000001,Youngest dependent child,Married or civil partnership couple household,1001,_2,270
2021,E09000001,Youngest dependent child,Cohabiting couple household,1001,_3,57
2021,E09000001,Youngest dependent child,Lone parent household,1001,_4,106
2021,E09000001,Youngest dependent child,Multi-person household,1001,_5,0
2021,E09000001,Youngest dependent child: Aged 0 to 4 years,Total,_1,0,175
2021,E09000001,Youngest dependent child: Aged 0 to 4 years,One-person household,_1,_1,0
2021,E09000001,Youngest dependent child: Aged 0 to 4 years,Married or civil partnership couple household,_1,_2,119
2021,E09000001,Youngest dependent child: Aged 0 to 4 years,Cohabiting couple household,_1,_3,34
2021,E09000001,Youngest dependent child: Aged 0 to 4 years,Lone parent household,_1,_4,22
2021,E09000001,Youngest dependent child: Aged 0 to 4 years,Multi-person household,_1,_5,0
2021,E09000001,Youngest dependent child: Aged 5 to 9 years,Total,_2,0,101
2021,E09000001,Youngest dependent child: Aged 5 to 9 years,One-person household,_2,_1,0
2021,E09000001,Youngest dependent child: Aged 5 to 9 years,Married or civil partnership couple household,_2,_2,58
2021,E09000001,Youngest dependent child: Aged 5 to 9 years,Cohabiting couple household,_2,_3,13
2021,E09000001,Youngest dependent child: Aged 5 to 9 years,Lone parent household,_2,_4,30
2021,E09000001,Youngest dependent child: Aged 5 to 9 years,Multi-person household,_2,_5,0
2021,E09000001,Youngest dependent child: Aged 10 to 15 years,Total,_3,0,100
2021,E09000001,Youngest dependent child: Aged 10 to 15 years,One-person household,_3,_1,0
2021,E09000001,Youngest dependent child: Aged 10 to 15 years,Married or civil partnership couple household,_3,_2,56
2021,E09000001,Youngest dependent child: Aged 10 to 15 years,Cohabiting couple household,_3,_3,7
2021,E09000001,Youngest dependent child: Aged 10 to 15 years,Lone parent household,_3,_4,37
2021,E09000001,Youngest dependent child: Aged 10 to 15 years,Multi-person household,_3,_5,0
2021,E09000001,Youngest dependent child: Aged 16 to 18 years,Total,_4,0,57
2021,E09000001,Youngest dependent child: Aged 16 to 18 years,One-person household,_4,_1,0
2021,E09000001,Youngest dependent child: Aged 16 to 18 years,Married or civil partnership couple household,_4,_2,37
2021,E09000001,Youngest dependent child: Aged 16 to 18 years,Cohabiting couple household,_4,_3,3
2021,E09000001,Youngest dependent child: Aged 16 to 18 years,Lone parent household,_4,_4,17
2021,E09000001,Youngest dependent child: Aged 16 to 18 years,Multi-person household,_4,_5,0
2021,E09000002,Total,Total,0,0,73903
2021,E09000002,Total,One-person household,0,_1,17503
2021,E09000002,Total,Married or civil partnership couple household,0,_2,30258
2021,E09000002,Total,Cohabiting couple household,0,_3,7535
2021,E09000002,Total,Lone parent household,0,_4,16216
2021,E09000002,Total,Multi-person household,0,_5,2391
2021,E09000002,No dependent children in household,Total,_0,0,40184
2021,E09000002,No dependent children in household,One-person household,_0,_1,17496
2021,E09000002,No dependent children in household,Married or civil partnership couple household,_0,_2,11948
2021,E09000002,No dependent children in household,Cohabiting couple household,_0,_3,3424
2021,E09000002,No dependent children in household,Lone parent household,_0,_4,5158
2021,E09000002,No dependent children in household,Multi-person household,_0,_5,2158
2021,E09000002,Youngest dependent child,Total,1001,0,33719
2021,E09000002,Youngest dependent child,One-person household,1001,_1,7
2021,E09000002,Youngest dependent child,Married or civil partnership couple household,1001,_2,18310
2021,E09000002,Youngest dependent child,Cohabiting couple household,1001,_3,4111
2021,E09000002,Youngest dependent child,Lone parent household,1001,_4,11058
2021,E09000002,Youngest dependent child,Multi-person household,1001,_5,233
2021,E09000002,Youngest dependent child: Aged 0 to 4 years,Total,_1,0,13788
2021,E09000002,Youngest dependent child: Aged 0 to 4 years,One-person household,_1,_1,3
2021,E09000002,Youngest dependent child: Aged 0 to 4 years,Married or civil partnership couple household,_1,_2,7987
2021,E09000002,Youngest dependent child: Aged 0 to 4 years,Cohabiting couple household,_1,_3,1979
2021,E09000002,Youngest dependent child: Aged 0 to 4 years,Lone parent household,_1,_4,3750
2021,E09000002,Youngest dependent child: Aged 0 to 4 years,Multi-person household,_1,_5,69
2021,E09000002,Youngest dependent child: Aged 5 to 9 years,Total,_2,0,9081
2021,E09000002,Youngest dependent child: Aged 5 to 9 years,One-person household,_2,_1,1
2021,E09000002,Youngest dependent child: Aged 5 to 9 years,Married or civil partnership couple household,_2,_2,4959
2021,E09000002,Youngest dependent child: Aged 5 to 9 years,Cohabiting couple household,_2,_3,1061
2021,E09000002,Youngest dependent child: Aged 5 to 9 years,Lone parent household,_2,_4,2986
2021,E09000002,Youngest dependent child: Aged 5 to 9 years,Multi-person household,_2,_5,74
2021,E09000002,Youngest dependent child: Aged 10 to 15 years,Total,_3,0,8119
2021,E09000002,Youngest dependent child: Aged 10 to 15 years,One-person household,_3,_1,3
2021,E09000002,Youngest dependent child: Aged 10 to 15 years,Married or civil partnership couple household,_3,_2,3997
2021,E09000002,Youngest dependent child: Aged 10 to 15 years,Cohabiting couple household,_3,_3,837
2021,E09000002,Youngest dependent child: Aged 10 to 15 years,Lone parent household,_3,_4,3200
2021,E09000002,Youngest dependent child: Aged 10 to 15 years,Multi-person household,_3,_5,82
2021,E09000002,Youngest dependent child: Aged 16 to 18 years,Total,_4,0,2731
2021,E09000002,Youngest dependent child: Aged 16 to 18 years,One-person household,_4,_1,0
2021,E09000002,Youngest dependent child: Aged 16 to 18 years,Married or civil partnership couple household,_4,_2,1367
2021,E09000002,Youngest dependent child: Aged 16 to 18 years,Cohabiting couple household,_4,_3,234
2021,E09000002,Youngest dependent child: Aged 16 to 18 years,Lone parent household,_4,_4,1122
2021,E09000002,Youngest dependent child: Aged 16 to 18 years,Multi-person household,_4,_5,8
2021,E09000003,Total,Total,0,0,148918
2021,E09000003,Total,One-person household,0,_1,41658
2021,E09000003,Total,Married or civil partnership couple household,0,_2,66665
2021,E09000003,Total,Cohabiting couple household,0,_3,13279
2021,E09000003,Total,Lone parent household,0,_4,20489
2021,E09000003,Total,Multi-person household,0,_5,6827
2021,E09000003,No dependent children in household,Total,_0,0,99267
2021,E09000003,No dependent children in household,One-person household,_0,_1,41645
2021,E09000003,No dependent children in household,Married or civil partnership couple household,_0,_2,33292
2021,E09000003,No dependent children in household,Cohabiting couple household,_0,_3,9196
2021,E09000003,No dependent children in household,Lone parent household,_0,_4,8488
2021,E09000003,No dependent children in household,Multi-person household,_0,_5,6646
2021,E09000003,Youngest dependent child,Total,1001,0,49651
2021,E09000003,Youngest dependent child,One-person household,1001,_1,13
2021,E09000003,Youngest dependent child,Married or civil partnership couple household,1001,_2,33373
2021,E09000003,Youngest dependent child,Cohabiting couple household,1001,_3,4083
2021,E09000003,Youngest dependent child,Lone parent household,1001,_4,12001
2021,E09000003,Youngest dependent child,Multi-person household,1001,_5,181
2021,E09000003,Youngest dependent child: Aged 0 to 4 years,Total,_1,0,19183
2021,E09000003,Youngest dependent child: Aged 0 to 4 years,One-person household,_1,_1,5
2021,E09000003,Youngest dependent child: Aged 0 to 4 years,Married or civil partnership couple household,_1,_2,13601
2021,E09000003,Youngest dependent child: Aged 0 to 4 years,Cohabiting couple household,_1,_3,2147
2021,E09000003,Youngest dependent child: Aged 0 to 4 years,Lone parent household,_1,_4,3362
2021,E09000003,Youngest dependent child: Aged 0 to 4 years,Multi-person household,_1,_5,68
2021,E09000003,Youngest dependent child: Aged 5 to 9 years,Total,_2,0,12594
2021,E09000003,Youngest dependent child: Aged 5 to 9 years,One-person household,_2,_1,1
2021,E09000003,Youngest dependent child: Aged 5 to 9 years,Married or civil partnership couple household,_2,_2,8574
2021,E09000003,Youngest dependent child: Aged 5 to 9 years,Cohabiting couple household,_2,_3,908
2021,E09000003,Youngest dependent child: Aged 5 to 9 years,Lone parent household,_2,_4,3072
2021,E09000003,Youngest dependent child: Aged 5 to 9 years,Multi-person household,_2,_5,39
2021,E09000003,Youngest dependent child: Aged 10 to 15 years,Total,_3,0,12997
2021,E09000003,Youngest dependent child: Aged 10 to 15 years,One-person household,_3,_1,7
2021,E09000003,Youngest dependent child: Aged 10 to 15 years,Married or civil partnership couple household,_3,_2,8220
2021,E09000003,Youngest dependent child: Aged 10 to 15 years,Cohabiting couple household,_3,_3,814
2021,E09000003,Youngest dependent child: Aged 10 to 15 years,Lone parent household,_3,_4,3889
2021,E09000003,Youngest dependent child: Aged 10 to 15 years,Multi-person household,_3,_5,67
2021,E09000003,Youngest dependent child: Aged 16 to 18 years,Total,_4,0,4877
2021,E09000003,Youngest dependent child: Aged 16 to 18 years,One-person household,_4,_1,0
2021,E09000003,Youngest dependent child: Aged 16 to 18 years,Married or civil partnership couple household,_4,_2,2978
2021,E09000003,Youngest dependent child: Aged 16 to 18 years,Cohabiting couple household,_4,_3,214
2021,E09000003,Youngest dependent child: Aged 16 to 18 years,Lone parent household,_4,_4,1678
2021,E09000003,Youngest dependent child: Aged 16 to 18 years,Multi-person household,_4,_5,7
2021,E09000004,Total,Total,0,0,95300
2021,E09000004,Total,One-person household,0,_1,24753
2021,E09000004,Total,Married or civil partnership couple household,0,_2,42678
2021,E09000004,Total,Cohabiting couple household,0,_3,11409
2021,E09000004,Total,Lone parent household,0,_4,14226
2021,E09000004,Total,Multi-person household,0,_5,2234
2021,E09000004,No dependent children in household,Total,_0,0,62709
2021,E09000004,No dependent children in household,One-person household,_0,_1,24749
2021,E09000004,No dependent children in household,Married or civil partnership couple household,_0,_2,23998
2021,E09000004,No dependent children in household,Cohabiting couple household,_0,_3,6354
2021,E09000004,No dependent children in household,Lone parent household,_0,_4,5506
2021,E09000004,No dependent children in household,Multi-person household,_0,_5,2102
2021,E09000004,Youngest dependent child,Total,1001,0,32591
2021,E09000004,Youngest dependent child,One-person household,1001,_1,4
2021,E09000004,Youngest dependent child,Married or civil partnership couple household,1001,_2,18680
2021,E09000004,Youngest dependent child,Cohabiting couple household,1001,_3,5055
2021,E09000004,Youngest dependent child,Lone parent household,1001,_4,8720
2021,E09000004,Youngest dependent child,Multi-person household,1001,_5,132
2021,E09000004,Youngest dependent child: Aged 0 to 4 years,Total,_1,0,12252
2021,E09000004,Youngest dependent child: Aged 0 to 4 years,One-person household,_1,_1,0
2021,E09000004,Youngest dependent child: Aged 0 to 4 years,Married or civil partnership couple household,_1,_2,6948
2021,E09000004,Youngest dependent child: Aged 0 to 4 years,Cohabiting couple household,_1,_3,2578
2021,E09000004,Youngest dependent child: Aged 0 to 4 years,Lone parent household,_1,_4,2674
