date,geography_code,c2021_concft_11_name,c2021_frp_age_5_name,obs_value
2021,E09000001,Concealed family,Family Reference Person aged 24 years and under,0
2021,E09000001,Concealed family,Family Reference Person aged 25 to 49 years,18
2021,E09000001,Concealed family,Family Reference Person aged 50 to 64 years,3
2021,E09000001,Concealed family,Family Reference Person aged 65 years and over,6
2021,E09000001,Concealed family:Lone parent family,Family Reference Person aged 24 years and under,0
2021,E09000001,Concealed family:Lone parent family,Family Reference Person aged 25 to 49 years,6
2021,E09000001,Concealed family:Lone parent family,Family Reference Person aged 50 to 64 years,3
2021,E09000001,Concealed family:Lone parent family,Family Reference Person aged 65 years and over,2
2021,E09000001,Concealed family: Lone parent family: Dependent children,Family Reference Person aged 24 years and under,0
2021,E09000001,Concealed family: Lone parent family: Dependent children,Family Reference Person aged 25 to 49 years,6
2021,E09000001,Concealed family: Lone parent family: Dependent children,Family Reference Person aged 50 to 64 years,0
2021,E09000001,Concealed family: Lone parent family: Dependent children,Family Reference Person aged 65 years and over,1
2021,E09000001,Concealed family: Lone parent family: All children non-dependent,Family Reference Person aged 24 years and under,0
2021,E09000001,Concealed family: Lone parent family: All children non-dependent,Family Reference Person aged 25 to 49 years,0
2021,E09000001,Concealed family: Lone parent family: All children non-dependent,Family Reference Person aged 50 to 64 years,3
2021,E09000001,Concealed family: Lone parent family: All children non-dependent,Family Reference Person aged 65 years and over,1
2021,E09000001,Concealed family:Couple family,Family Reference Person aged 24 years and under,0
2021,E09000001,Concealed family:Couple family,Family Reference Person aged 25 to 49 years,12
2021,E09000001,Concealed family:Couple family,Family Reference Person aged 50 to 64 years,0
2021,E09000001,Concealed family:Couple family,Family Reference Person aged 65 years and over,4
2021,E09000001,Concealed family: Couple family: No children,Family Reference Person aged 24 years and under,0
2021,E09000001,Concealed family: Couple family: No children,Family Reference Person aged 25 to 49 years,12
2021,E09000001,Concealed family: Couple family: No children,Family Reference Person aged 50 to 64 years,0
2021,E09000001,Concealed family: Couple family: No children,Family Reference Person aged 65 years and over,2
2021,E09000001,Concealed family: Couple family: Dependent children,Family Reference Person aged 24 years and under,0
2021,E09000001,Concealed family: Couple family: Dependent children,Family Reference Person aged 25 to 49 years,0
2021,E09000001,Concealed family: Couple family: Dependent children,Family Reference Person aged 50 to 64 years,0
2021,E09000001,Concealed family: Couple family: Dependent children,Family Reference Person aged 65 years and over,2
2021,E09000001,Concealed family: Couple family: All children non-dependent,Family Reference Person aged 24 years and under,0
2021,E09000001,Concealed family: Couple family: All children non-dependent,Family Reference Person aged 25 to 49 years,0
2021,E09000001,Concealed family: Couple family: All children non-dependent,Family Reference Person aged 50 to 64 years,0
2021,E09000001,Concealed family: Couple family: All children non-dependent,Family Reference Person aged 65 years and over,0
2021,E09000001,Unconcealed family,Family Reference Person aged 24 years and under,80
2021,E09000001,Unconcealed family,Family Reference Person aged 25 to 49 years,1038
2021,E09000001,Unconcealed family,Family Reference Person aged 50 to 64 years,540
2021,E09000001,Unconcealed family,Family Reference Person aged 65 years and over,336
2021,E09000001,Unconcealed family: No children,Family Reference Person aged 24 years and under,79
2021,E09000001,Unconcealed family: No children,Family Reference Person aged 25 to 49 years,739
2021,E09000001,Unconcealed family: No children,Family Reference Person aged 50 to 64 years,304
2021,E09000001,Unconcealed family: No children,Family Reference Person aged 65 years and over,265
2021,E09000001,Unconcealed family: Dependent children,Family Reference Person aged 24 years and under,1
2021,E09000001,Unconcealed family: Dependent children,Family Reference Person aged 25 to 49 years,289
2021,E09000001,Unconcealed family: Dependent children,Family Reference Person aged 50 to 64 years,127
2021,E09000001,Unconcealed family: Dependent children,Family Reference Person aged 65 years and over,7
2021,E09000001,Unconcealed family: All children non-dependent,Family Reference Person aged 24 years and under,0
2021,E09000001,Unconcealed family: All children non-dependent,Family Reference Person aged 25 to 49 years,10
2021,E09000001,Unconcealed family: All children non-dependent,Family Reference Person aged 50 to 64 years,109
2021,E09000001,Unconcealed family: All children non-dependent,Family Reference Person aged 65 years and over,64
2021,E09000002,Concealed family,Family Reference Person aged 24 years and under,281
2021,E09000002,Concealed family,Family Reference Person aged 25 to 49 years,1629
2021,E09000002,Concealed family,Family Reference Person aged 50 to 64 years,462
2021,E09000002,Concealed family,Family Reference Person aged 65 years and over,417
2021,E09000002,Concealed family:Lone parent family,Family Reference Person aged 24 years and under,116
2021,E09000002,Concealed family:Lone parent family,Family Reference Person aged 25 to 49 years,578
2021,E09000002,Concealed family:Lone parent family,Family Reference Person aged 50 to 64 years,184
2021,E09000002,Concealed family:Lone parent family,Family Reference Person aged 65 years and over,132
2021,E09000002,Concealed family: Lone parent family: Dependent children,Family Reference Person aged 24 years and under,115
2021,E09000002,Concealed family: Lone parent family: Dependent children,Family Reference Person aged 25 to 49 years,536
2021,E09000002,Concealed family: Lone parent family: Dependent children,Family Reference Person aged 50 to 64 years,47
2021,E09000002,Concealed family: Lone parent family: Dependent children,Family Reference Person aged 65 years and over,25
2021,E09000002,Concealed family: Lone parent family: All children non-dependent,Family Reference Person aged 24 years and under,1
2021,E09000002,Concealed family: Lone parent family: All children non-dependent,Family Reference Person aged 25 to 49 years,42
2021,E09000002,Concealed family: Lone parent family: All children non-dependent,Family Reference Person aged 50 to 64 years,137
2021,E09000002,Concealed family: Lone parent family: All children non-dependent,Family Reference Person aged 65 years and over,107
2021,E09000002,Concealed family:Couple family,Family Reference Person aged 24 years and under,165
2021,E09000002,Concealed family:Couple family,Family Reference Person aged 25 to 49 years,1051
2021,E09000002,Concealed family:Couple family,Family Reference Person aged 50 to 64 years,278
2021,E09000002,Concealed family:Couple family,Family Reference Person aged 65 years and over,285
