date,geography_code,c2021_depch_6_name,c2021_hrp_eth_8_name,obs_value
2021,E09000001,Aged 0 to 2 years,"Household reference person - Asian, Asian British or Asian Welsh",34
2021,E09000001,Aged 0 to 2 years,"Household reference person - Black, Black British, Black Welsh, Caribbean or African",5
2021,E09000001,Aged 0 to 2 years,Household reference person - Mixed or Multiple ethnic groups,5
2021,E09000001,Aged 0 to 2 years,Household reference person - White,81
2021,E09000001,Aged 0 to 2 years,"Household reference person - White: English, Welsh, Scottish, Northern Irish or British",38
2021,E09000001,Aged 0 to 2 years,Household reference person - White: Irish,3
2021,E09000001,Aged 0 to 2 years,"Household reference person - White: Gypsy or Irish Traveller, Roma or Other White",40
2021,E09000001,Aged 0 to 2 years,Household reference person - Other ethnic group,10
2021,E09000001,Aged 3 to 4 years,"Household reference person - Asian, Asian British or Asian Welsh",8
2021,E09000001,Aged 3 to 4 years,"Household reference person - Black, Black British, Black Welsh, Caribbean or African",3
2021,E09000001,Aged 3 to 4 years,Household reference person - Mixed or Multiple ethnic groups,6
2021,E09000001,Aged 3 to 4 years,Household reference person - White,50
2021,E09000001,Aged 3 to 4 years,"Household reference person - White: English, Welsh, Scottish, Northern Irish or British",29
2021,E09000001,Aged 3 to 4 years,Household reference person - White: Irish,1
2021,E09000001,Aged 3 to 4 years,"Household reference person - White: Gypsy or Irish Traveller, Roma or Other White",20
2021,E09000001,Aged 3 to 4 years,Household reference person - Other ethnic group,10
2021,E09000001,Aged 5 to 11 years,"Household reference person - Asian, Asian British or Asian Welsh",46
2021,E09000001,Aged 5 to 11 years,"Household reference person - Black, Black British, Black Welsh, Caribbean or African",15
2021,E09000001,Aged 5 to 11 years,Household reference person - Mixed or Multiple ethnic groups,7
2021,E09000001,Aged 5 to 11 years,Household reference person - White,147
2021,E09000001,Aged 5 to 11 years,"Household reference person - White: English, Welsh, Scottish, Northern Irish or British",87
2021,E09000001,Aged 5 to 11 years,Household reference person - White: Irish,5
2021,E09000001,Aged 5 to 11 years,"Household reference person - White: Gypsy or Irish Traveller, Roma or Other White",55
2021,E09000001,Aged 5 to 11 years,Household reference person - Other ethnic group,21
2021,E09000001,Aged 12 to 15 years,"Household reference person - Asian, Asian British or Asian Welsh",22
2021,E09000001,Aged 12 to 15 years,"Household reference person - Black, Black British, Black Welsh, Caribbean or African",9
2021,E09000001,Aged 12 to 15 years,Household reference person - Mixed or Multiple ethnic groups,3
