date,geography_code,c2021_eastat_10_name,c2021_fam_swg_6_name,obs_value
2021,E09000001,Economically active (excluding full-time students),In a couple family,554
2021,E09000001,Economically active (excluding full-time students),In a couple family: Member of a couple,530
2021,E09000001,Economically active (excluding full-time students),In a couple family: Member of a couple: Both people in generation 1 working,411
2021,E09000001,Economically active (excluding full-time students),In a couple family: Member of a couple: One person in generation 1 working,109
2021,E09000001,Economically active (excluding full-time students),In a couple family: Member of a couple: No people in generation 1 working,10
2021,E09000001,Economically active (excluding full-time students),In a couple family: Child of one or both members of couple,24
2021,E09000001,Economically active (excluding full-time students),In a lone parent family,73
2021,E09000001,Economically active (excluding full-time students),In a lone parent family: Parent,70
2021,E09000001,Economically active (excluding full-time students),In a lone parent family: Parent: One person in generation 1 working,65
2021,E09000001,Economically active (excluding full-time students),In a lone parent family: Parent: No people in generation 1 working,5
2021,E09000001,Economically active (excluding full-time students),In a lone parent family: Child of parent,3
2021,E09000001,Economically active (excluding full-time students): In employment,In a couple family,523
2021,E09000001,Economically active (excluding full-time students): In employment,In a couple family: Member of a couple,504
2021,E09000001,Economically active (excluding full-time students): In employment,In a couple family: Member of a couple: Both people in generation 1 working,411
2021,E09000001,Economically active (excluding full-time students): In employment,In a couple family: Member of a couple: One person in generation 1 working,93
2021,E09000001,Economically active (excluding full-time students): In employment,In a couple family: Member of a couple: No people in generation 1 working,0
2021,E09000001,Economically active (excluding full-time students): In employment,In a couple family: Child of one or both members of couple,19
2021,E09000001,Economically active (excluding full-time students): In employment,In a lone parent family,66
2021,E09000001,Economically active (excluding full-time students): In employment,In a lone parent family: Parent,65
2021,E09000001,Economically active (excluding full-time students): In employment,In a lone parent family: Parent: One person in generation 1 working,65
2021,E09000001,Economically active (excluding full-time students): In employment,In a lone parent family: Parent: No people in generation 1 working,0
2021,E09000001,Economically active (excluding full-time students): In employment,In a lone parent family: Child of parent,1
2021,E09000001,Economically active (excluding full-time students): Unemployed,In a couple family,31
2021,E09000001,Economically active (excluding full-time students): Unemployed,In a couple family: Member of a couple,26
2021,E09000001,Economically active (excluding full-time students): Unemployed,In a couple family: Member of a couple: Both people in generation 1 working,0
2021,E09000001,Economically active (excluding full-time students): Unemployed,In a couple family: Member of a couple: One person in generation 1 working,16
2021,E09000001,Economically active (excluding full-time students): Unemployed,In a couple family: Member of a couple: No people in generation 1 working,10
2021,E09000001,Economically active (excluding full-time students): Unemployed,In a couple family: Child of one or both members of couple,5
2021,E09000001,Economically active (excluding full-time students): Unemployed,In a lone parent family,7
2021,E09000001,Economically active (excluding full-time students): Unemployed,In a lone parent family: Parent,5
2021,E09000001,Economically active (excluding full-time students): Unemployed,In a lone parent family: Parent: One person in generation 1 working,0
2021,E09000001,Economically active (excluding full-time students): Unemployed,In a lone parent family: Parent: No people in generation 1 working,5
2021,E09000001,Economically active (excluding full-time students): Unemployed,In a lone parent family: Child of parent,2
2021,E09000001,Economically active and a full-time student,In a couple family,8
2021,E09000001,Economically active and a full-time student,In a couple family: Member of a couple,0
2021,E09000001,Economically active and a full-time student,In a couple family: Member of a couple: Both people in generation 1 working,0
2021,E09000001,Economically active and a full-time student,In a couple family: Member of a couple: One person in generation 1 working,0
2021,E09000001,Economically active and a full-time student,In a couple family: Member of a couple: No people in generation 1 working,0
2021,E09000001,Economically active and a full-time student,In a couple family: Child of one or both members of couple,8
2021,E09000001,Economically active and a full-time student,In a lone parent family,3
2021,E09000001,Economically active and a full-time student,In a lone parent family: Parent,1
2021,E09000001,Economically active and a full-time student,In a lone parent family: Parent: One person in generation 1 working,0
2021,E09000001,Economically active and a full-time student,In a lone parent family: Parent: No people in generation 1 working,1
2021,E09000001,Economically active and a full-time student,In a lone parent family: Child of parent,2
2021,E09000001,Economically active and a full-time student: In employment,In a couple family,4
2021,E09000001,Economically active and a full-time student: In employment,In a couple family: Member of a couple,0
2021,E09000001,Economically active and a full-time student: In employment,In a couple family: Member of a couple: Both people in generation 1 working,0
2021,E09000001,Economically active and a full-time student: In employment,In a couple family: Member of a couple: One person in generation 1 working,0
2021,E09000001,Economically active and a full-time student: In employment,In a couple family: Member of a couple: No people in generation 1 working,0
2021,E09000001,Economically active and a full-time student: In employment,In a couple family: Child of one or both members of couple,4
2021,E09000001,Economically active and a full-time student: In employment,In a lone parent family,1
2021,E09000001,Economically active and a full-time student: In employment,In a lone parent family: Parent,0
2021,E09000001,Economically active and a full-time student: In employment,In a lone parent family: Parent: One person in generation 1 working,0
2021,E09000001,Economically active and a full-time student: In employment,In a lone parent family: Parent: No people in generation 1 working,0
2021,E09000001,Economically active and a full-time student: In employment,In a lone parent family: Child of parent,1
2021,E09000001,Economically active and a full-time student: Unemployed,In a couple family,4
2021,E09000001,Economically active and a full-time student: Unemployed,In a couple family: Member of a couple,0
2021,E09000001,Economically active and a full-time student: Unemployed,In a couple family: Member of a couple: Both people in generation 1 working,0
2021,E09000001,Economically active and a full-time student: Unemployed,In a couple family: Member of a couple: One person in generation 1 working,0
2021,E09000001,Economically active and a full-time student: Unemployed,In a couple family: Member of a couple: No people in generation 1 working,0
2021,E09000001,Economically active and a full-time student: Unemployed,In a couple family: Child of one or both members of couple,4
2021,E09000001,Economically active and a full-time student: Unemployed,In a lone parent family,2
2021,E09000001,Economically active and a full-time student: Unemployed,In a lone parent family: Parent,1
2021,E09000001,Economically active and a full-time student: Unemployed,In a lone parent family: Parent: One person in generation 1 working,0
2021,E09000001,Economically active and a full-time student: Unemployed,In a lone parent family: Parent: No people in generation 1 working,1
2021,E09000001,Economically active and a full-time student: Unemployed,In a lone parent family: Child of parent,1
2021,E09000001,Economically inactive,In a couple family,201
2021,E09000001,Economically inactive,In a couple family: Member of a couple,116
2021,E09000001,Economically inactive,In a couple family: Member of a couple: Both people in generation 1 working,0
2021,E09000001,Economically inactive,In a couple family: Member of a couple: One person in generation 1 working,77
2021,E09000001,Economically inactive,In a couple family: Member of a couple: No people in generation 1 working,39
2021,E09000001,Economically inactive,In a couple family: Child of one or both members of couple,85
2021,E09000001,Economically inactive,In a lone parent family,70
2021,E09000001,Economically inactive,In a lone parent family: Parent,37
2021,E09000001,Economically inactive,In a lone parent family: Parent: One person in generation 1 working,0
2021,E09000001,Economically inactive,In a lone parent family: Parent: No people in generation 1 working,37
2021,E09000001,Economically inactive,In a lone parent family: Child of parent,33
2021,E09000001,Economically inactive: Retired,In a couple family,6
2021,E09000001,Economically inactive: Retired,In a couple family: Member of a couple,6
2021,E09000001,Economically inactive: Retired,In a couple family: Member of a couple: Both people in generation 1 working,0
2021,E09000001,Economically inactive: Retired,In a couple family: Member of a couple: One person in generation 1 working,2
2021,E09000001,Economically inactive: Retired,In a couple family: Member of a couple: No people in generation 1 working,4
2021,E09000001,Economically inactive: Retired,In a couple family: Child of one or both members of couple,0
2021,E09000001,Economically inactive: Retired,In a lone parent family,5
2021,E09000001,Economically inactive: Retired,In a lone parent family: Parent,5
2021,E09000001,Economically inactive: Retired,In a lone parent family: Parent: One person in generation 1 working,0
2021,E09000001,Economically inactive: Retired,In a lone parent family: Parent: No people in generation 1 working,5
2021,E09000001,Economically inactive: Retired,In a lone parent family: Child of parent,0
2021,E09000001,Economically inactive: Student,In a couple family,90
2021,E09000001,Economically inactive: Student,In a couple family: Member of a couple,5
2021,E09000001,Economically inactive: Student,In a couple family: Member of a couple: Both people in generation 1 working,0
2021,E09000001,Economically inactive: Student,In a couple family: Member of a couple: One person in generation 1 working,3
2021,E09000001,Economically inactive: Student,In a couple family: Member of a couple: No people in generation 1 working,2
