date,geography_code,c2021_acctype_6_name,c2021_depch_3_name,c2021_bedrooms_5_name,obs_value
2021,E09000001,Whole house or bungalow,Aged 0 to 9 years,1 bedroom,0
2021,E09000001,Whole house or bungalow,Aged 0 to 9 years,2 bedrooms,1
2021,E09000001,Whole house or bungalow,Aged 0 to 9 years,3 bedrooms,3
2021,E09000001,Whole house or bungalow,Aged 0 to 9 years,4 or more bedrooms,7
2021,E09000001,Whole house or bungalow,Aged 10 to 18 years,1 bedroom,1
2021,E09000001,Whole house or bungalow,Aged 10 to 18 years,2 bedrooms,0
2021,E09000001,Whole house or bungalow,Aged 10 to 18 years,3 bedrooms,6
2021,E09000001,Whole house or bungalow,Aged 10 to 18 years,4 or more bedrooms,11
2021,E09000001,Whole house or bungalow: Detached,Aged 0 to 9 years,1 bedroom,0
2021,E09000001,Whole house or bungalow: Detached,Aged 0 to 9 years,2 bedrooms,1
2021,E09000001,Whole house or bungalow: Detached,Aged 0 to 9 years,3 bedrooms,0
2021,E09000001,Whole house or bungalow: Detached,Aged 0 to 9 years,4 or more bedrooms,0
2021,E09000001,Whole house or bungalow: Detached,Aged 10 to 18 years,1 bedroom,1
2021,E09000001,Whole house or bungalow: Detached,Aged 10 to 18 years,2 bedrooms,0
2021,E09000001,Whole house or bungalow: Detached,Aged 10 to 18 years,3 bedrooms,0
2021,E09000001,Whole house or bungalow: Detached,Aged 10 to 18 years,4 or more bedrooms,0
2021,E09000001,Whole house or bungalow: Semi-detached,Aged 0 to 9 years,1 bedroom,0
2021,E09000001,Whole house or bungalow: Semi-detached,Aged 0 to 9 years,2 bedrooms,0
2021,E09000001,Whole house or bungalow: Semi-detached,Aged 0 to 9 years,3 bedrooms,0
2021,E09000001,Whole house or bungalow: Semi-detached,Aged 0 to 9 years,4 or more bedrooms,0
2021,E09000001,Whole house or bungalow: Semi-detached,Aged 10 to 18 years,1 bedroom,0
2021,E09000001,Whole house or bungalow: Semi-detached,Aged 10 to 18 years,2 bedrooms,0
2021,E09000001,Whole house or bungalow: Semi-detached,Aged 10 to 18 years,3 bedrooms,0
2021,E09000001,Whole house or bungalow: Semi-detached,Aged 10 to 18 years,4 or more bedrooms,0
2021,E09000001,Whole house or bungalow: Terraced,Aged 0 to 9 years,1 bedroom,0
2021,E09000001,Whole house or bungalow: Terraced,Aged 0 to 9 years,2 bedrooms,0
2021,E09000001,Whole house or bungalow: Terraced,Aged 0 to 9 years,3 bedrooms,3
2021,E09000001,Whole house or bungalow: Terraced,Aged 0 to 9 years,4 or more bedrooms,7
2021,E09000001,Whole house or bungalow: Terraced,Aged 10 to 18 years,1 bedroom,0
2021,E09000001,Whole house or bungalow: Terraced,Aged 10 to 18 years,2 bedrooms,0
