lower_tier_local_authorities_code,lower_tier_local_authorities,country_of_birth_8,sex_2,age_10,observation
E09000001,City of London,Europe: United Kingdom,Female,Aged 15 years and under,252
E09000001,City of London,Europe: United Kingdom,Female,Aged 16 to 19 years,59
E09000001,City of London,Europe: United Kingdom,Female,Aged 20 to 21 years,39
E09000001,City of London,Europe: United Kingdom,Female,Aged 22 to 24 years,146
E09000001,City of London,Europe: United Kingdom,Female,Aged 25 to 29 years,191
E09000001,City of London,Europe: United Kingdom,Female,Aged 30 to 34 years,143
E09000001,City of London,Europe: United Kingdom,Female,Aged 35 to 39 years,96
E09000001,City of London,Europe: United Kingdom,Female,Aged 40 to 44 years,71
E09000001,City of London,Europe: United Kingdom,Female,Aged 45 to 49 years,74
E09000001,City of London,Europe: United Kingdom,Female,Aged 50 years and over,751
E09000001,City of London,Europe: United Kingdom,Male,Aged 15 years and under,262
E09000001,City of London,Europe: United Kingdom,Male,Aged 16 to 19 years,56
E09000001,City of London,Europe: United Kingdom,Male,Aged 20 to 21 years,49
E09000001,City of London,Europe: United Kingdom,Male,Aged 22 to 24 years,149
E09000001,City of London,Europe: United Kingdom,Male,Aged 25 to 29 years,256
E09000001,City of London,Europe: United Kingdom,Male,Aged 30 to 34 years,193
E09000001,City of London,Europe: United Kingdom,Male,Aged 35 to 39 years,177
E09000001,City of London,Europe: United Kingdom,Male,Aged 40 to 44 years,153
E09000001,City of London,Europe: United Kingdom,Male,Aged 45 to 49 years,165
E09000001,City of London,Europe: United Kingdom,Male,Aged 50 years and over,1051
E09000001,City of London,Europe: Ireland,Female,Aged 15 years and under,0
E09000001,City of London,Europe: Ireland,Female,Aged 16 to 19 years,0
E09000001,City of London,Europe: Ireland,Female,Aged 20 to 21 years,0
E09000001,City of London,Europe: Ireland,Female,Aged 22 to 24 years,2
E09000001,City of London,Europe: Ireland,Female,Aged 25 to 29 years,2
E09000001,City of London,Europe: Ireland,Female,Aged 30 to 34 years,6
E09000001,City of London,Europe: Ireland,Female,Aged 35 to 39 years,3
E09000001,City of London,Europe: Ireland,Female,Aged 40 to 44 years,1
E09000001,City of London,Europe: Ireland,Female,Aged 45 to 49 years,5
E09000001,City of London,Europe: Ireland,Female,Aged 50 years and over,18
E09000001,City of London,Europe: Ireland,Male,Aged 15 years and under,1
E09000001,City of London,Europe: Ireland,Male,Aged 16 to 19 years,0
E09000001,City of London,Europe: Ireland,Male,Aged 20 to 21 years,2
E09000001,City of London,Europe: Ireland,Male,Aged 22 to 24 years,2
E09000001,City of London,Europe: Ireland,Male,Aged 25 to 29 years,5
E09000001,City of London,Europe: Ireland,Male,Aged 30 to 34 years,9
E09000001,City of London,Europe: Ireland,Male,Aged 35 to 39 years,4
E09000001,City of London,Europe: Ireland,Male,Aged 40 to 44 years,5
E09000001,City of London,Europe: Ireland,Male,Aged 45 to 49 years,7
E09000001,City of London,Europe: Ireland,Male,Aged 50 years and over,28
E09000001,City of London,Europe: Other Europe,Female,Aged 15 years and under,16
E09000001,City of London,Europe: Other Europe,Female,Aged 16 to 19 years,27
E09000001,City of London,Europe: Other Europe,Female,Aged 20 to 21 years,34
E09000001,City of London,Europe: Other Europe,Female,Aged 22 to 24 years,96
E09000001,City of London,Europe: Other Europe,Female,Aged 25 to 29 years,177
E09000001,City of London,Europe: Other Europe,Female,Aged 30 to 34 years,155
E09000001,City of London,Europe: Other Europe,Female,Aged 35 to 39 years,102
E09000001,City of London,Europe: Other Europe,Female,Aged 40 to 44 years,74
E09000001,City of London,Europe: Other Europe,Female,Aged 45 to 49 years,52
E09000001,City of London,Europe: Other Europe,Female,Aged 50 years and over,133
E09000001,City of London,Europe: Other Europe,Male,Aged 15 years and under,14
E09000001,City of London,Europe: Other Europe,Male,Aged 16 to 19 years,15
E09000001,City of London,Europe: Other Europe,Male,Aged 20 to 21 years,29
E09000001,City of London,Europe: Other Europe,Male,Aged 22 to 24 years,75
E09000001,City of London,Europe: Other Europe,Male,Aged 25 to 29 years,226
E09000001,City of London,Europe: Other Europe,Male,Aged 30 to 34 years,157
E09000001,City of London,Europe: Other Europe,Male,Aged 35 to 39 years,119
E09000001,City of London,Europe: Other Europe,Male,Aged 40 to 44 years,84
E09000001,City of London,Europe: Other Europe,Male,Aged 45 to 49 years,77
E09000001,City of London,Europe: Other Europe,Male,Aged 50 years and over,166
E09000001,City of London,Africa,Female,Aged 15 years and under,2
E09000001,City of London,Africa,Female,Aged 16 to 19 years,2
E09000001,City of London,Africa,Female,Aged 20 to 21 years,4
E09000001,City of London,Africa,Female,Aged 22 to 24 years,11
E09000001,City of London,Africa,Female,Aged 25 to 29 years,10
E09000001,City of London,Africa,Female,Aged 30 to 34 years,13
E09000001,City of London,Africa,Female,Aged 35 to 39 years,13
E09000001,City of London,Africa,Female,Aged 40 to 44 years,9
E09000001,City of London,Africa,Female,Aged 45 to 49 years,7
E09000001,City of London,Africa,Female,Aged 50 years and over,74
E09000001,City of London,Africa,Male,Aged 15 years and under,1
E09000001,City of London,Africa,Male,Aged 16 to 19 years,1
E09000001,City of London,Africa,Male,Aged 20 to 21 years,2
E09000001,City of London,Africa,Male,Aged 22 to 24 years,6
E09000001,City of London,Africa,Male,Aged 25 to 29 years,15
E09000001,City of London,Africa,Male,Aged 30 to 34 years,17
E09000001,City of London,Africa,Male,Aged 35 to 39 years,17
E09000001,City of London,Africa,Male,Aged 40 to 44 years,17
E09000001,City of London,Africa,Male,Aged 45 to 49 years,19
E09000001,City of London,Africa,Male,Aged 50 years and over,72
E09000001,City of London,Middle East and Asia,Female,Aged 15 years and under,10
E09000001,City of London,Middle East and Asia,Female,Aged 16 to 19 years,7
E09000001,City of London,Middle East and Asia,Female,Aged 20 to 21 years,39
E09000001,City of London,Middle East and Asia,Female,Aged 22 to 24 years,88
E09000001,City of London,Middle East and Asia,Female,Aged 25 to 29 years,136
E09000001,City of London,Middle East and Asia,Female,Aged 30 to 34 years,78
E09000001,City of London,Middle East and Asia,Female,Aged 35 to 39 years,42
E09000001,City of London,Middle East and Asia,Female,Aged 40 to 44 years,29
E09000001,City of London,Middle East and Asia,Female,Aged 45 to 49 years,33
E09000001,City of London,Middle East and Asia,Female,Aged 50 years and over,157
E09000001,City of London,Middle East and Asia,Male,Aged 15 years and under,7
E09000001,City of London,Middle East and Asia,Male,Aged 16 to 19 years,8
E09000001,City of London,Middle East and Asia,Male,Aged 20 to 21 years,25
E09000001,City of London,Middle East and Asia,Male,Aged 22 to 24 years,94
E09000001,City of London,Middle East and Asia,Male,Aged 25 to 29 years,97
E09000001,City of London,Middle East and Asia,Male,Aged 30 to 34 years,97
E09000001,City of London,Middle East and Asia,Male,Aged 35 to 39 years,53
E09000001,City of London,Middle East and Asia,Male,Aged 40 to 44 years,39
E09000001,City of London,Middle East and Asia,Male,Aged 45 to 49 years,33
E09000001,City of London,Middle East and Asia,Male,Aged 50 years and over,95
E09000001,City of London,The Americas and the Caribbean,Female,Aged 15 years and under,1
E09000001,City of London,The Americas and the Caribbean,Female,Aged 16 to 19 years,6
E09000001,City of London,The Americas and the Caribbean,Female,Aged 20 to 21 years,6
E09000001,City of London,The Americas and the Caribbean,Female,Aged 22 to 24 years,24
E09000001,City of London,The Americas and the Caribbean,Female,Aged 25 to 29 years,34
E09000001,City of London,The Americas and the Caribbean,Female,Aged 30 to 34 years,57
E09000001,City of London,The Americas and the Caribbean,Female,Aged 35 to 39 years,36
E09000001,City of London,The Americas and the Caribbean,Female,Aged 40 to 44 years,29
E09000001,City of London,The Americas and the Caribbean,Female,Aged 45 to 49 years,20
