Lower tier local authorities Code,Lower tier local authorities,Household composition (37 categories) Code,Household composition (37 categories),Observation
E09000001,City of London,-8,Does not apply,0
E09000001,City of London,1,One-person household: Aged 66 years and over,494
E09000001,City of London,2,One-person household: Other,2012
E09000001,City of London,3,Single family household: All aged 66 years and over,201
E09000001,City of London,4,Single family household: Opposite-sex married couple family: No children,440
E09000001,City of London,5,Single family household: Opposite-sex married couple family: With one dependent child,141
E09000001,City of London,6,Single family household: Opposite-sex married couple family: With two or more dependent children,110
E09000001,City of London,7,Single family household: Opposite-sex married couple family: All children non-dependent,70
E09000001,City of London,8,Single family household: Same-sex married couple family: No children,43
E09000001,City of London,9,Single family household: Same-sex married couple family: With one dependent child,0
E09000001,City of London,10,Single family household: Same-sex married couple family: With two or more dependent children,0
E09000001,City of London,11,Single family household: Same-sex married couple family: All children non-dependent,0
E09000001,City of London,12,Single family household: Opposite-sex civil partnership couple family: No children,6
E09000001,City of London,13,Single family household: Opposite-sex civil partnership couple family: With one dependent child,2
E09000001,City of London,14,Single family household: Opposite-sex civil partnership couple family: With two or more dependent children,0
E09000001,City of London,15,Single family household: Opposite-sex civil partnership couple family: All children non-dependent,0
E09000001,City of London,16,Single family household: Same-sex civil partnership couple family: No children,34
E09000001,City of London,17,Single family household: Same-sex civil partnership couple family: With one dependent child,0
E09000001,City of London,18,Single family household: Same-sex civil partnership couple family: With two or more dependent children,0
E09000001,City of London,19,Single family household: Same-sex civil partnership couple family: All children non-dependent,0
E09000001,City of London,20,Single family household: Opposite-sex cohabiting couple family: No children,499
E09000001,City of London,21,Single family household: Opposite-sex cohabiting couple family: With one dependent child,37
E09000001,City of London,22,Single family household: Opposite-sex cohabiting couple family: With two or more dependent children,18
E09000001,City of London,23,Single family household: Opposite-sex cohabiting couple family: All children non-dependent,7
E09000001,City of London,24,Single family household: Same-sex cohabiting couple family: No children,99
E09000001,City of London,25,Single family household: Same-sex cohabiting couple family: With one dependent child,2
E09000001,City of London,26,Single family household: Same-sex cohabiting couple family: With two or more dependent children,0
E09000001,City of London,27,Single family household: Same-sex cohabiting couple family: All children non-dependent,2
E09000001,City of London,28,Single family household: Lone parent family: With one dependent child,59
E09000001,City of London,29,Single family household: Lone parent family: With two or more dependent children,31
E09000001,City of London,30,Single family household: Lone parent family: All children non-dependent,85
E09000001,City of London,31,Other household types: Other related household: Other family composition,96
E09000001,City of London,32,Other household types: With one dependent child,16
E09000001,City of London,33,Other household types: With two or more dependent children,15
E09000001,City of London,34,Other household types: All in full-time education,58
E09000001,City of London,35,Other household types: All aged 66 years and over,3
E09000001,City of London,36,Other household types: Other family composition,335
E09000002,Barking and Dagenham,-8,Does not apply,0
E09000002,Barking and Dagenham,1,One-person household: Aged 66 years and over,5991
E09000002,Barking and Dagenham,2,One-person household: Other,11512
E09000002,Barking and Dagenham,3,Single family household: All aged 66 years and over,2268
E09000002,Barking and Dagenham,4,Single family household: Opposite-sex married couple family: No children,4105
E09000002,Barking and Dagenham,5,Single family household: Opposite-sex married couple family: With one dependent child,5069
E09000002,Barking and Dagenham,6,Single family household: Opposite-sex married couple family: With two or more dependent children,9303
E09000002,Barking and Dagenham,7,Single family household: Opposite-sex married couple family: All children non-dependent,4216
E09000002,Barking and Dagenham,8,Single family household: Same-sex married couple family: No children,79
E09000002,Barking and Dagenham,9,Single family household: Same-sex married couple family: With one dependent child,4
E09000002,Barking and Dagenham,10,Single family household: Same-sex married couple family: With two or more dependent children,4
E09000002,Barking and Dagenham,11,Single family household: Same-sex married couple family: All children non-dependent,3
E09000002,Barking and Dagenham,12,Single family household: Opposite-sex civil partnership couple family: No children,21
E09000002,Barking and Dagenham,13,Single family household: Opposite-sex civil partnership couple family: With one dependent child,14
E09000002,Barking and Dagenham,14,Single family household: Opposite-sex civil partnership couple family: With two or more dependent children,22
E09000002,Barking and Dagenham,15,Single family household: Opposite-sex civil partnership couple family: All children non-dependent,8
E09000002,Barking and Dagenham,16,Single family household: Same-sex civil partnership couple family: No children,17
E09000002,Barking and Dagenham,17,Single family household: Same-sex civil partnership couple family: With one dependent child,1
E09000002,Barking and Dagenham,18,Single family household: Same-sex civil partnership couple family: With two or more dependent children,0
E09000002,Barking and Dagenham,19,Single family household: Same-sex civil partnership couple family: All children non-dependent,0
E09000002,Barking and Dagenham,20,Single family household: Opposite-sex cohabiting couple family: No children,1882
E09000002,Barking and Dagenham,21,Single family household: Opposite-sex cohabiting couple family: With one dependent child,1267
E09000002,Barking and Dagenham,22,Single family household: Opposite-sex cohabiting couple family: With two or more dependent children,2040
E09000002,Barking and Dagenham,23,Single family household: Opposite-sex cohabiting couple family: All children non-dependent,593
E09000002,Barking and Dagenham,24,Single family household: Same-sex cohabiting couple family: No children,123
E09000002,Barking and Dagenham,25,Single family household: Same-sex cohabiting couple family: With one dependent child,69
E09000002,Barking and Dagenham,26,Single family household: Same-sex cohabiting couple family: With two or more dependent children,26
E09000002,Barking and Dagenham,27,Single family household: Same-sex cohabiting couple family: All children non-dependent,17
E09000002,Barking and Dagenham,28,Single family household: Lone parent family: With one dependent child,4190
E09000002,Barking and Dagenham,29,Single family household: Lone parent family: With two or more dependent children,5237
E09000002,Barking and Dagenham,30,Single family household: Lone parent family: All children non-dependent,4689
E09000002,Barking and Dagenham,31,Other household types: Other related household: Other family composition,1202
E09000002,Barking and Dagenham,32,Other household types: With one dependent child,2749
E09000002,Barking and Dagenham,33,Other household types: With two or more dependent children,3581
E09000002,Barking and Dagenham,34,Other household types: All in full-time education,41
E09000002,Barking and Dagenham,35,Other household types: All aged 66 years and over,48
E09000002,Barking and Dagenham,36,Other household types: Other family composition,3512
E09000003,Barnet,-8,Does not apply,0
E09000003,Barnet,1,One-person household: Aged 66 years and over,15208
E09000003,Barnet,2,One-person household: Other,26450
E09000003,Barnet,3,Single family household: All aged 66 years and over,9264
E09000003,Barnet,4,Single family household: Opposite-sex married couple family: No children,11611
E09000003,Barnet,5,Single family household: Opposite-sex married couple family: With one dependent child,10778
E09000003,Barnet,6,Single family household: Opposite-sex married couple family: With two or more dependent children,18164
E09000003,Barnet,7,Single family household: Opposite-sex married couple family: All children non-dependent,9752
E09000003,Barnet,8,Single family household: Same-sex married couple family: No children,164
E09000003,Barnet,9,Single family household: Same-sex married couple family: With one dependent child,9
E09000003,Barnet,10,Single family household: Same-sex married couple family: With two or more dependent children,24
E09000003,Barnet,11,Single family household: Same-sex married couple family: All children non-dependent,1
E09000003,Barnet,12,Single family household: Opposite-sex civil partnership couple family: No children,55
E09000003,Barnet,13,Single family household: Opposite-sex civil partnership couple family: With one dependent child,19
E09000003,Barnet,14,Single family household: Opposite-sex civil partnership couple family: With two or more dependent children,25
E09000003,Barnet,15,Single family household: Opposite-sex civil partnership couple family: All children non-dependent,7
E09000003,Barnet,16,Single family household: Same-sex civil partnership couple family: No children,100
E09000003,Barnet,17,Single family household: Same-sex civil partnership couple family: With one dependent child,5
E09000003,Barnet,18,Single family household: Same-sex civil partnership couple family: With two or more dependent children,14
E09000003,Barnet,19,Single family household: Same-sex civil partnership couple family: All children non-dependent,0
E09000003,Barnet,20,Single family household: Opposite-sex cohabiting couple family: No children,6172
