lower_tier_local_authorities_code,lower_tier_local_authorities,household_composition_15,ethnic_group_20,observation
E09000001,City of London,One-person household: Aged 66 years and over,"Asian, Asian British or Asian Welsh: Bangladeshi",2
E09000001,City of London,One-person household: Aged 66 years and over,"Asian, Asian British or Asian Welsh: Chinese",4
E09000001,City of London,One-person household: Aged 66 years and over,"Asian, Asian British or Asian Welsh: Indian",5
E09000001,City of London,One-person household: Aged 66 years and over,"Asian, Asian British or Asian Welsh: Pakistani",0
E09000001,City of London,One-person household: Aged 66 years and over,"Asian, Asian British or Asian Welsh: Other Asian",12
E09000001,City of London,One-person household: Aged 66 years and over,"Black, Black British, Black Welsh, Caribbean or African: African",2
E09000001,City of London,One-person household: Aged 66 years and over,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",3
E09000001,City of London,One-person household: Aged 66 years and over,"Black, Black British, Black Welsh, Caribbean or African: Other Black",1
E09000001,City of London,One-person household: Aged 66 years and over,Mixed or Multiple ethnic groups: White and Asian,1
E09000001,City of London,One-person household: Aged 66 years and over,Mixed or Multiple ethnic groups: White and Black African,1
E09000001,City of London,One-person household: Aged 66 years and over,Mixed or Multiple ethnic groups: White and Black Caribbean,0
E09000001,City of London,One-person household: Aged 66 years and over,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,2
E09000001,City of London,One-person household: Aged 66 years and over,"White: English, Welsh, Scottish, Northern Irish or British",391
E09000001,City of London,One-person household: Aged 66 years and over,White: Irish,23
E09000001,City of London,One-person household: Aged 66 years and over,White: Gypsy or Irish Traveller,0
E09000001,City of London,One-person household: Aged 66 years and over,White: Roma,0
E09000001,City of London,One-person household: Aged 66 years and over,White: Other White,40
E09000001,City of London,One-person household: Aged 66 years and over,Other ethnic group: Arab,2
E09000001,City of London,One-person household: Aged 66 years and over,Other ethnic group: Any other ethnic group,6
E09000001,City of London,One-person household: Other,"Asian, Asian British or Asian Welsh: Bangladeshi",11
E09000001,City of London,One-person household: Other,"Asian, Asian British or Asian Welsh: Chinese",204
E09000001,City of London,One-person household: Other,"Asian, Asian British or Asian Welsh: Indian",87
E09000001,City of London,One-person household: Other,"Asian, Asian British or Asian Welsh: Pakistani",14
E09000001,City of London,One-person household: Other,"Asian, Asian British or Asian Welsh: Other Asian",80
E09000001,City of London,One-person household: Other,"Black, Black British, Black Welsh, Caribbean or African: African",36
E09000001,City of London,One-person household: Other,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",15
E09000001,City of London,One-person household: Other,"Black, Black British, Black Welsh, Caribbean or African: Other Black",7
E09000001,City of London,One-person household: Other,Mixed or Multiple ethnic groups: White and Asian,35
E09000001,City of London,One-person household: Other,Mixed or Multiple ethnic groups: White and Black African,15
E09000001,City of London,One-person household: Other,Mixed or Multiple ethnic groups: White and Black Caribbean,8
E09000001,City of London,One-person household: Other,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,39
E09000001,City of London,One-person household: Other,"White: English, Welsh, Scottish, Northern Irish or British",778
E09000001,City of London,One-person household: Other,White: Irish,42
E09000001,City of London,One-person household: Other,White: Gypsy or Irish Traveller,0
E09000001,City of London,One-person household: Other,White: Roma,10
E09000001,City of London,One-person household: Other,White: Other White,511
E09000001,City of London,One-person household: Other,Other ethnic group: Arab,39
E09000001,City of London,One-person household: Other,Other ethnic group: Any other ethnic group,82
E09000001,City of London,Single family household: All aged 66 years and over,"Asian, Asian British or Asian Welsh: Bangladeshi",2
E09000001,City of London,Single family household: All aged 66 years and over,"Asian, Asian British or Asian Welsh: Chinese",1
E09000001,City of London,Single family household: All aged 66 years and over,"Asian, Asian British or Asian Welsh: Indian",5
E09000001,City of London,Single family household: All aged 66 years and over,"Asian, Asian British or Asian Welsh: Pakistani",0
E09000001,City of London,Single family household: All aged 66 years and over,"Asian, Asian British or Asian Welsh: Other Asian",1
E09000001,City of London,Single family household: All aged 66 years and over,"Black, Black British, Black Welsh, Caribbean or African: African",0
