lower_tier_local_authorities_code,lower_tier_local_authorities,household_composition_15,national_statistics_socio-economic_classification_ns-sec_10,observation
E09000001,City of London,One-person household: Aged 66 years and over,"L1, L2 and L3: Higher managerial, administrative and professional occupations",162
E09000001,City of London,One-person household: Aged 66 years and over,"L4, L5 and L6: Lower managerial, administrative and professional occupations",139
E09000001,City of London,One-person household: Aged 66 years and over,L7: Intermediate occupations,43
E09000001,City of London,One-person household: Aged 66 years and over,L8 and L9: Small employers and own account workers,45
E09000001,City of London,One-person household: Aged 66 years and over,L10 and L11: Lower supervisory and technical occupations,10
E09000001,City of London,One-person household: Aged 66 years and over,L12: Semi-routine occupations,26
E09000001,City of London,One-person household: Aged 66 years and over,L13: Routine occupations,27
E09000001,City of London,One-person household: Aged 66 years and over,L14.1 and L14.2: Never worked and long-term unemployed,45
E09000001,City of London,One-person household: Aged 66 years and over,L15: Full-time students,0
E09000001,City of London,One-person household: Other,"L1, L2 and L3: Higher managerial, administrative and professional occupations",979
E09000001,City of London,One-person household: Other,"L4, L5 and L6: Lower managerial, administrative and professional occupations",416
E09000001,City of London,One-person household: Other,L7: Intermediate occupations,93
E09000001,City of London,One-person household: Other,L8 and L9: Small employers and own account workers,113
E09000001,City of London,One-person household: Other,L10 and L11: Lower supervisory and technical occupations,23
E09000001,City of London,One-person household: Other,L12: Semi-routine occupations,48
E09000001,City of London,One-person household: Other,L13: Routine occupations,50
E09000001,City of London,One-person household: Other,L14.1 and L14.2: Never worked and long-term unemployed,79
E09000001,City of London,One-person household: Other,L15: Full-time students,210
E09000001,City of London,Single family household: All aged 66 years and over,"L1, L2 and L3: Higher managerial, administrative and professional occupations",104
E09000001,City of London,Single family household: All aged 66 years and over,"L4, L5 and L6: Lower managerial, administrative and professional occupations",54
E09000001,City of London,Single family household: All aged 66 years and over,L7: Intermediate occupations,6
E09000001,City of London,Single family household: All aged 66 years and over,L8 and L9: Small employers and own account workers,22
E09000001,City of London,Single family household: All aged 66 years and over,L10 and L11: Lower supervisory and technical occupations,1
E09000001,City of London,Single family household: All aged 66 years and over,L12: Semi-routine occupations,6
E09000001,City of London,Single family household: All aged 66 years and over,L13: Routine occupations,5
E09000001,City of London,Single family household: All aged 66 years and over,L14.1 and L14.2: Never worked and long-term unemployed,6
E09000001,City of London,Single family household: All aged 66 years and over,L15: Full-time students,0
E09000001,City of London,Single family household: Married or civil partnership couple: No children,"L1, L2 and L3: Higher managerial, administrative and professional occupations",275
E09000001,City of London,Single family household: Married or civil partnership couple: No children,"L4, L5 and L6: Lower managerial, administrative and professional occupations",156
E09000001,City of London,Single family household: Married or civil partnership couple: No children,L7: Intermediate occupations,16
E09000001,City of London,Single family household: Married or civil partnership couple: No children,L8 and L9: Small employers and own account workers,38
E09000001,City of London,Single family household: Married or civil partnership couple: No children,L10 and L11: Lower supervisory and technical occupations,9
E09000001,City of London,Single family household: Married or civil partnership couple: No children,L12: Semi-routine occupations,11
