lower_tier_local_authorities_code,lower_tier_local_authorities,household_composition_15,religion_10,observation
E09000001,City of London,One-person household: Aged 66 years and over,No religion,159
E09000001,City of London,One-person household: Aged 66 years and over,Christian,259
E09000001,City of London,One-person household: Aged 66 years and over,Buddhist,5
E09000001,City of London,One-person household: Aged 66 years and over,Hindu,0
E09000001,City of London,One-person household: Aged 66 years and over,Jewish,24
E09000001,City of London,One-person household: Aged 66 years and over,Muslim,7
E09000001,City of London,One-person household: Aged 66 years and over,Sikh,1
E09000001,City of London,One-person household: Aged 66 years and over,Other religion,0
E09000001,City of London,One-person household: Aged 66 years and over,Not answered,38
E09000001,City of London,One-person household: Other,No religion,936
E09000001,City of London,One-person household: Other,Christian,671
E09000001,City of London,One-person household: Other,Buddhist,22
E09000001,City of London,One-person household: Other,Hindu,48
E09000001,City of London,One-person household: Other,Jewish,30
E09000001,City of London,One-person household: Other,Muslim,76
E09000001,City of London,One-person household: Other,Sikh,2
E09000001,City of London,One-person household: Other,Other religion,23
E09000001,City of London,One-person household: Other,Not answered,204
E09000001,City of London,Single family household: All aged 66 years and over,No religion,79
E09000001,City of London,Single family household: All aged 66 years and over,Christian,87
E09000001,City of London,Single family household: All aged 66 years and over,Buddhist,1
E09000001,City of London,Single family household: All aged 66 years and over,Hindu,6
E09000001,City of London,Single family household: All aged 66 years and over,Jewish,11
E09000001,City of London,Single family household: All aged 66 years and over,Muslim,2
E09000001,City of London,Single family household: All aged 66 years and over,Sikh,0
E09000001,City of London,Single family household: All aged 66 years and over,Other religion,0
E09000001,City of London,Single family household: All aged 66 years and over,Not answered,15
E09000001,City of London,Single family household: Married or civil partnership couple: No children,No religion,260
E09000001,City of London,Single family household: Married or civil partnership couple: No children,Christian,180
E09000001,City of London,Single family household: Married or civil partnership couple: No children,Buddhist,7
E09000001,City of London,Single family household: Married or civil partnership couple: No children,Hindu,18
E09000001,City of London,Single family household: Married or civil partnership couple: No children,Jewish,12
E09000001,City of London,Single family household: Married or civil partnership couple: No children,Muslim,6
E09000001,City of London,Single family household: Married or civil partnership couple: No children,Sikh,1
E09000001,City of London,Single family household: Married or civil partnership couple: No children,Other religion,1
E09000001,City of London,Single family household: Married or civil partnership couple: No children,Not answered,39
E09000001,City of London,Single family household: Married or civil partnership couple: Dependent children,No religion,83
E09000001,City of London,Single family household: Married or civil partnership couple: Dependent children,Christian,106
E09000001,City of London,Single family household: Married or civil partnership couple: Dependent children,Buddhist,1
