lad22cd,lad22nm,sex_2,age_common,cob_common,value_21,value_11
E09000001,City of London,Female,Aged 16 to 49,Africa,69,75
E09000001,City of London,Female,Aged 16 to 49,"Antarctica, Oceania, and Other",44,66
E09000001,City of London,Female,Aged 16 to 49,Ireland,19,17
E09000001,City of London,Female,Aged 16 to 49,Middle East and Asia,452,301
E09000001,City of London,Female,Aged 16 to 49,Rest of Europe,717,353
E09000001,City of London,Female,Aged 16 to 49,The Americas and the Caribbean,212,143
E09000001,City of London,Female,Aged 16 to 49,United Kingdom,819,893
E09000001,City of London,Male,Aged 16 to 49,Africa,94,92
E09000001,City of London,Male,Aged 16 to 49,"Antarctica, Oceania, and Other",78,99
E09000001,City of London,Male,Aged 16 to 49,Ireland,34,41
E09000001,City of London,Male,Aged 16 to 49,Middle East and Asia,446,240
E09000001,City of London,Male,Aged 16 to 49,Rest of Europe,782,458
E09000001,City of London,Male,Aged 16 to 49,The Americas and the Caribbean,225,161
E09000001,City of London,Male,Aged 16 to 49,United Kingdom,1198,1371
E09000002,Barking and Dagenham,Female,Aged 16 to 49,Africa,8122,8398
E09000002,Barking and Dagenham,Female,Aged 16 to 49,"Antarctica, Oceania, and Other",39,84
E09000002,Barking and Dagenham,Female,Aged 16 to 49,Ireland,136,235
E09000002,Barking and Dagenham,Female,Aged 16 to 49,Middle East and Asia,10027,5526
E09000002,Barking and Dagenham,Female,Aged 16 to 49,Rest of Europe,12694,5873
E09000002,Barking and Dagenham,Female,Aged 16 to 49,The Americas and the Caribbean,940,917
E09000002,Barking and Dagenham,Female,Aged 16 to 49,United Kingdom,24688,27455
E09000002,Barking and Dagenham,Male,Aged 16 to 49,Africa,5866,6989
E09000002,Barking and Dagenham,Male,Aged 16 to 49,"Antarctica, Oceania, and Other",42,56
E09000002,Barking and Dagenham,Male,Aged 16 to 49,Ireland,146,203
E09000002,Barking and Dagenham,Male,Aged 16 to 49,Middle East and Asia,10259,6996
E09000002,Barking and Dagenham,Male,Aged 16 to 49,Rest of Europe,12394,5435
E09000002,Barking and Dagenham,Male,Aged 16 to 49,The Americas and the Caribbean,755,591
E09000002,Barking and Dagenham,Male,Aged 16 to 49,United Kingdom,22858,24996
E09000003,Barnet,Female,Aged 16 to 49,Africa,6699,8732
E09000003,Barnet,Female,Aged 16 to 49,"Antarctica, Oceania, and Other",482,679
E09000003,Barnet,Female,Aged 16 to 49,Ireland,646,946
E09000003,Barnet,Female,Aged 16 to 49,Middle East and Asia,16695,15338
E09000003,Barnet,Female,Aged 16 to 49,Rest of Europe,24311,16297
E09000003,Barnet,Female,Aged 16 to 49,The Americas and the Caribbean,3194,2523
E09000003,Barnet,Female,Aged 16 to 49,United Kingdom,43857,47509
E09000003,Barnet,Male,Aged 16 to 49,Africa,5284,7029
E09000003,Barnet,Male,Aged 16 to 49,"Antarctica, Oceania, and Other",388,572
E09000003,Barnet,Male,Aged 16 to 49,Ireland,620,901
E09000003,Barnet,Male,Aged 16 to 49,Middle East and Asia,14900,14574
E09000003,Barnet,Male,Aged 16 to 49,Rest of Europe,21506,13824
E09000003,Barnet,Male,Aged 16 to 49,The Americas and the Caribbean,2380,1833
E09000003,Barnet,Male,Aged 16 to 49,United Kingdom,44633,48654
E09000004,Bexley,Female,Aged 16 to 49,Africa,5180,4425
E09000004,Bexley,Female,Aged 16 to 49,"Antarctica, Oceania, and Other",134,135
E09000004,Bexley,Female,Aged 16 to 49,Ireland,285,293
E09000004,Bexley,Female,Aged 16 to 49,Middle East and Asia,4626,2425
E09000004,Bexley,Female,Aged 16 to 49,Rest of Europe,5978,2432
E09000004,Bexley,Female,Aged 16 to 49,The Americas and the Caribbean,904,581
E09000004,Bexley,Female,Aged 16 to 49,United Kingdom,38803,44735
E09000004,Bexley,Male,Aged 16 to 49,Africa,3896,3823
E09000004,Bexley,Male,Aged 16 to 49,"Antarctica, Oceania, and Other",145,125
E09000004,Bexley,Male,Aged 16 to 49,Ireland,245,192
E09000004,Bexley,Male,Aged 16 to 49,Middle East and Asia,4071,2162
E09000004,Bexley,Male,Aged 16 to 49,Rest of Europe,5296,2127
E09000004,Bexley,Male,Aged 16 to 49,The Americas and the Caribbean,618,369
E09000004,Bexley,Male,Aged 16 to 49,United Kingdom,37310,42666
E09000005,Brent,Female,Aged 16 to 49,Africa,7885,10034
E09000005,Brent,Female,Aged 16 to 49,"Antarctica, Oceania, and Other",600,1136
E09000005,Brent,Female,Aged 16 to 49,Ireland,493,1032
E09000005,Brent,Female,Aged 16 to 49,Middle East and Asia,22102,20283
E09000005,Brent,Female,Aged 16 to 49,Rest of Europe,20377,13796
E09000005,Brent,Female,Aged 16 to 49,The Americas and the Caribbean,4705,4262
E09000005,Brent,Female,Aged 16 to 49,United Kingdom,32924,33098
E09000005,Brent,Male,Aged 16 to 49,Africa,5904,8580
E09000005,Brent,Male,Aged 16 to 49,"Antarctica, Oceania, and Other",482,1043
E09000005,Brent,Male,Aged 16 to 49,Ireland,543,1242
