lower_tier_local_authorities_code,hhcomp_common,eth_common,value_21,value_11,value_01
E09000001,Couple/lone parent with no dependent children,Asian: Bangladeshi,21,12,9
E09000001,Couple/lone parent with no dependent children,Asian: Chinese,82,22,12
E09000001,Couple/lone parent with no dependent children,Asian: Indian,42,22,24
E09000001,Couple/lone parent with no dependent children,Asian: Other,30,24,6
E09000001,Couple/lone parent with no dependent children,Asian: Pakistani,2,0,0
E09000001,Couple/lone parent with no dependent children,Black: African,14,2,3
E09000001,Couple/lone parent with no dependent children,Black: Caribbean,6,1,7
E09000001,Couple/lone parent with no dependent children,Black: Other,0,1,0
E09000001,Couple/lone parent with no dependent children,Mixed: Other,24,7,8
E09000001,Couple/lone parent with no dependent children,Mixed: White and Asian,18,7,11
E09000001,Couple/lone parent with no dependent children,Mixed: White and Black African,2,4,0
E09000001,Couple/lone parent with no dependent children,Mixed: White and Black Caribbean,6,3,0
E09000001,Couple/lone parent with no dependent children,Other,67,13,9
E09000001,Couple/lone parent with no dependent children,White: British,567,628,575
E09000001,Couple/lone parent with no dependent children,White: Irish,25,22,25
E09000001,Couple/lone parent with no dependent children,White: Other,377,221,137
E09000002,Couple/lone parent with no dependent children,Asian: Bangladeshi,670,190,21
E09000002,Couple/lone parent with no dependent children,Asian: Chinese,159,141,78
E09000002,Couple/lone parent with no dependent children,Asian: Indian,768,553,268
E09000002,Couple/lone parent with no dependent children,Asian: Other,340,282,66
E09000002,Couple/lone parent with no dependent children,Asian: Pakistani,652,286,136
E09000002,Couple/lone parent with no dependent children,Black: African,1925,950,260
E09000002,Couple/lone parent with no dependent children,Black: Caribbean,659,484,328
E09000002,Couple/lone parent with no dependent children,Black: Other,146,84,23
E09000002,Couple/lone parent with no dependent children,Mixed: Other,93,55,23
E09000002,Couple/lone parent with no dependent children,Mixed: White and Asian,35,42,30
E09000002,Couple/lone parent with no dependent children,Mixed: White and Black African,54,46,14
E09000002,Couple/lone parent with no dependent children,Mixed: White and Black Caribbean,94,70,30
E09000002,Couple/lone parent with no dependent children,Other,446,154,62
E09000002,Couple/lone parent with no dependent children,White: British,7838,9890,14114
E09000002,Couple/lone parent with no dependent children,White: Irish,195,288,447
E09000002,Couple/lone parent with no dependent children,White: Other,1670,828,387
E09000003,Couple/lone parent with no dependent children,Asian: Bangladeshi,203,150,89
E09000003,Couple/lone parent with no dependent children,Asian: Chinese,1136,862,496
E09000003,Couple/lone parent with no dependent children,Asian: Indian,3565,3045,2262
E09000003,Couple/lone parent with no dependent children,Asian: Other,1963,1450,547
E09000003,Couple/lone parent with no dependent children,Asian: Pakistani,532,307,204
E09000003,Couple/lone parent with no dependent children,Black: African,1646,949,593
E09000003,Couple/lone parent with no dependent children,Black: Caribbean,567,370,386
E09000003,Couple/lone parent with no dependent children,Black: Other,156,145,57
E09000003,Couple/lone parent with no dependent children,Mixed: Other,419,239,131
E09000003,Couple/lone parent with no dependent children,Mixed: White and Asian,234,239,134
E09000003,Couple/lone parent with no dependent children,Mixed: White and Black African,198,120,57
E09000003,Couple/lone parent with no dependent children,Mixed: White and Black Caribbean,159,116,72
E09000003,Couple/lone parent with no dependent children,Other,3186,1234,694
E09000003,Couple/lone parent with no dependent children,White: British,14608,16928,18459
E09000003,Couple/lone parent with no dependent children,White: Irish,1132,1222,1530
E09000003,Couple/lone parent with no dependent children,White: Other,6966,4821,3411
E09000004,Couple/lone parent with no dependent children,Asian: Bangladeshi,73,42,12
E09000004,Couple/lone parent with no dependent children,Asian: Chinese,382,237,113
E09000004,Couple/lone parent with no dependent children,Asian: Indian,929,648,432
