lad22cd,lad22nm,dependent_children,ten_common,value_21,value_11,value_01
E09000001,City of London,Household with dependent children,Owned,165,191,197
E09000001,City of London,Household with dependent children,Private rented or lives rent free,113,92,94
E09000001,City of London,Household with dependent children,Social rented,149,149,168
E09000002,Barking and Dagenham,Household with dependent children,Owned,12373,11848,11942
E09000002,Barking and Dagenham,Household with dependent children,Private rented or lives rent free,10865,7225,1703
E09000002,Barking and Dagenham,Household with dependent children,Social rented,10430,9873,9170
E09000003,Barnet,Household with dependent children,Owned,23986,24424,26270
E09000003,Barnet,Household with dependent children,Private rented or lives rent free,18598,13483,5532
E09000003,Barnet,Household with dependent children,Social rented,7025,7621,7370
E09000004,Bexley,Household with dependent children,Owned,20000,20729,21752
E09000004,Bexley,Household with dependent children,Private rented or lives rent free,7056,5049,1995
E09000004,Bexley,Household with dependent children,Social rented,5561,4910,4155
E09000005,Brent,Household with dependent children,Owned,13071,14378,18049
E09000005,Brent,Household with dependent children,Private rented or lives rent free,17549,13072,5017
E09000005,Brent,Household with dependent children,Social rented,9680,10462,9905
E09000006,Bromley,Household with dependent children,Owned,28212,27026,27758
E09000006,Bromley,Household with dependent children,Private rented or lives rent free,9075,6005,2630
E09000006,Bromley,Household with dependent children,Social rented,6059,6720,6279
E09000007,Camden,Household with dependent children,Owned,6505,6754,6457
E09000007,Camden,Household with dependent children,Private rented or lives rent free,5238,4500,2574
E09000007,Camden,Household with dependent children,Social rented,9382,10308,10713
E09000008,Croydon,Household with dependent children,Owned,23557,25498,28976
E09000008,Croydon,Household with dependent children,Private rented or lives rent free,16878,13146,5306
E09000008,Croydon,Household with dependent children,Social rented,11448,12416,10593
E09000009,Ealing,Household with dependent children,Owned,19020,20424,23314
E09000009,Ealing,Household with dependent children,Private rented or lives rent free,18475,12983,4644
E09000009,Ealing,Household with dependent children,Social rented,8261,8630,8590
E09000010,Enfield,Household with dependent children,Owned,17974,21127,24351
E09000010,Enfield,Household with dependent children,Private rented or lives rent free,18931,13338,3475
E09000010,Enfield,Household with dependent children,Social rented,8623,9598,8165
E09000011,Greenwich,Household with dependent children,Owned,13737,13594,13211
E09000011,Greenwich,Household with dependent children,Private rented or lives rent free,9798,7153,2369
E09000011,Greenwich,Household with dependent children,Social rented,13417,13242,12421
E09000012,Hackney,Household with dependent children,Owned,7690,6851,7263
E09000012,Hackney,Household with dependent children,Private rented or lives rent free,6184,5949,2878
E09000012,Hackney,Household with dependent children,Social rented,15106,16306,15629
E09000013,Hammersmith and Fulham,Household with dependent children,Owned,6850,6630,6438
E09000013,Hammersmith and Fulham,Household with dependent children,Private rented or lives rent free,5042,4249,1991
E09000013,Hammersmith and Fulham,Household with dependent children,Social rented,6704,7600,7881
E09000014,Haringey,Household with dependent children,Owned,11264,11416,11517
E09000014,Haringey,Household with dependent children,Private rented or lives rent free,11620,9282,4116
E09000014,Haringey,Household with dependent children,Social rented,8535,11298,11234
E09000015,Harrow,Household with dependent children,Owned,15775,17877,19708
E09000015,Harrow,Household with dependent children,Private rented or lives rent free,13465,9181,3092
E09000015,Harrow,Household with dependent children,Social rented,3129,3612,3598
E09000016,Havering,Household with dependent children,Owned,20503,20122,21410
E09000016,Havering,Household with dependent children,Private rented or lives rent free,7667,4371,1715
E09000016,Havering,Household with dependent children,Social rented,5548,4749,4039
E09000017,Hillingdon,Household with dependent children,Owned,19704,20372,21677
E09000017,Hillingdon,Household with dependent children,Private rented or lives rent free,13868,8537,2894
E09000017,Hillingdon,Household with dependent children,Social rented,6693,6986,6297
E09000018,Hounslow,Household with dependent children,Owned,15261,15268,16057
E09000018,Hounslow,Household with dependent children,Private rented or lives rent free,14311,9003,2946
E09000018,Hounslow,Household with dependent children,Social rented,8287,8492,7723
E09000019,Islington,Household with dependent children,Owned,6221,5756,5638
E09000019,Islington,Household with dependent children,Private rented or lives rent free,2988,2610,1345
E09000019,Islington,Household with dependent children,Social rented,12070,12584,12516
E09000020,Kensington and Chelsea,Household with dependent children,Owned,4530,5223,5462
E09000020,Kensington and Chelsea,Household with dependent children,Private rented or lives rent free,4874,5065,3504
E09000020,Kensington and Chelsea,Household with dependent children,Social rented,4324,5012,6219
E09000021,Kingston upon Thames,Household with dependent children,Owned,12865,12657,13051
E09000021,Kingston upon Thames,Household with dependent children,Private rented or lives rent free,6264,4310,2000
E09000021,Kingston upon Thames,Household with dependent children,Social rented,2569,2723,2398
E09000022,Lambeth,Household with dependent children,Owned,10822,10675,10575
E09000022,Lambeth,Household with dependent children,Private rented or lives rent free,6313,7425,2613
E09000022,Lambeth,Household with dependent children,Social rented,14767,16761,17968
E09000023,Lewisham,Household with dependent children,Owned,15026,14538,15204
