lsoa21cd,dependent_children,tenure,value_21,value_11,change,perc_change
E01000001,Household with dependent children,Owned: Owns outright,15,22,-7,-31.82
E01000001,No dependent children in household,Owned: Owns outright,322,333,-11,-3.3
E01000001,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,35,31,4,12.9
E01000001,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,112,150,-38,-25.33
E01000001,Household with dependent children,Private rented or lives rent free,36,20,16,80
E01000001,No dependent children in household,Private rented or lives rent free,298,279,19,6.81
E01000001,Household with dependent children,Rented: Social rented,4,7,-3,-42.86
E01000001,No dependent children in household,Rented: Social rented,18,34,-16,-47.06
E01000002,Household with dependent children,Owned: Owns outright,15,37,-22,-59.46
E01000002,No dependent children in household,Owned: Owns outright,268,277,-9,-3.25
E01000002,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,26,42,-16,-38.1
E01000002,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,129,179,-50,-27.93
E01000002,Household with dependent children,Private rented or lives rent free,27,21,6,28.57
E01000002,No dependent children in household,Private rented or lives rent free,335,226,109,48.23
E01000002,Household with dependent children,Rented: Social rented,3,6,-3,-50
E01000002,No dependent children in household,Rented: Social rented,23,42,-19,-45.24
E01000003,Household with dependent children,Owned: Owns outright,9,6,3,50
E01000003,No dependent children in household,Owned: Owns outright,225,178,47,26.4
E01000003,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,21,25,-4,-16
E01000003,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,129,119,10,8.4
E01000003,Household with dependent children,Private rented or lives rent free,11,15,-4,-26.67
E01000003,No dependent children in household,Private rented or lives rent free,325,179,146,81.56
E01000003,Household with dependent children,Rented: Social rented,38,43,-5,-11.63
E01000003,No dependent children in household,Rented: Social rented,261,252,9,3.57
E01000005,Household with dependent children,Owned: Owns outright,1,4,-3,-75
E01000005,No dependent children in household,Owned: Owns outright,18,20,-2,-10
E01000005,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,4,3,1,33.33
E01000005,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,20,19,1,5.26
E01000005,Household with dependent children,Private rented or lives rent free,7,8,-1,-12.5
E01000005,No dependent children in household,Private rented or lives rent free,96,101,-5,-4.95
E01000005,Household with dependent children,Rented: Social rented,98,90,8,8.89
E01000005,No dependent children in household,Rented: Social rented,237,222,15,6.76
E01000006,Household with dependent children,Owned: Owns outright,23,24,-1,-4.17
E01000006,No dependent children in household,Owned: Owns outright,81,112,-31,-27.68
E01000006,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,81,114,-33,-28.95
E01000006,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,83,95,-12,-12.63
E01000006,Household with dependent children,Private rented or lives rent free,141,82,59,71.95
E01000006,No dependent children in household,Private rented or lives rent free,116,98,18,18.37
E01000006,Household with dependent children,Rented: Social rented,13,8,5,62.5
E01000006,No dependent children in household,Rented: Social rented,7,10,-3,-30
E01000007,Household with dependent children,Owned: Owns outright,9,1,8,800
E01000007,No dependent children in household,Owned: Owns outright,25,24,1,4.17
E01000007,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,58,51,7,13.73
E01000007,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,226,59,167,283.05
E01000007,Household with dependent children,Private rented or lives rent free,177,107,70,65.42
E01000007,No dependent children in household,Private rented or lives rent free,246,121,125,103.31
E01000007,Household with dependent children,Rented: Social rented,208,53,155,292.45
E01000007,No dependent children in household,Rented: Social rented,245,196,49,25
E01000008,Household with dependent children,Owned: Owns outright,11,5,6,120
E01000008,No dependent children in household,Owned: Owns outright,21,19,2,10.53
E01000008,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,29,29,0,0
E01000008,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,27,36,-9,-25
E01000008,Household with dependent children,Private rented or lives rent free,95,36,59,163.89
E01000008,No dependent children in household,Private rented or lives rent free,55,49,6,12.24
E01000008,Household with dependent children,Rented: Social rented,154,176,-22,-12.5
E01000008,No dependent children in household,Rented: Social rented,155,171,-16,-9.36
E01000009,Household with dependent children,Owned: Owns outright,16,26,-10,-38.46
E01000009,No dependent children in household,Owned: Owns outright,92,90,2,2.22
E01000009,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,44,62,-18,-29.03
E01000009,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,49,82,-33,-40.24
E01000009,Household with dependent children,Private rented or lives rent free,145,100,45,45
E01000009,No dependent children in household,Private rented or lives rent free,138,147,-9,-6.12
E01000009,Household with dependent children,Rented: Social rented,17,15,2,13.33
E01000009,No dependent children in household,Rented: Social rented,99,116,-17,-14.66
E01000011,Household with dependent children,Owned: Owns outright,22,22,0,0
E01000011,No dependent children in household,Owned: Owns outright,78,65,13,20
E01000011,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,55,87,-32,-36.78
E01000011,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,43,63,-20,-31.75
E01000011,Household with dependent children,Private rented or lives rent free,133,80,53,66.25
E01000011,No dependent children in household,Private rented or lives rent free,113,105,8,7.62
E01000011,Household with dependent children,Rented: Social rented,16,14,2,14.29
E01000011,No dependent children in household,Rented: Social rented,12,21,-9,-42.86
E01000012,Household with dependent children,Owned: Owns outright,6,3,3,100
E01000012,No dependent children in household,Owned: Owns outright,64,47,17,36.17
E01000012,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,62,77,-15,-19.48
E01000012,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,95,85,10,11.76
E01000012,Household with dependent children,Private rented or lives rent free,216,179,37,20.67
E01000012,No dependent children in household,Private rented or lives rent free,116,153,-37,-24.18
E01000012,Household with dependent children,Rented: Social rented,154,88,66,75
E01000012,No dependent children in household,Rented: Social rented,68,66,2,3.03
E01000013,Household with dependent children,Owned: Owns outright,6,13,-7,-53.85
E01000013,No dependent children in household,Owned: Owns outright,79,129,-50,-38.76
E01000013,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,87,100,-13,-13
E01000013,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,83,115,-32,-27.83
E01000013,Household with dependent children,Private rented or lives rent free,113,77,36,46.75
E01000013,No dependent children in household,Private rented or lives rent free,63,48,15,31.25
E01000013,Household with dependent children,Rented: Social rented,80,115,-35,-30.43
E01000013,No dependent children in household,Rented: Social rented,107,176,-69,-39.2
E01000014,Household with dependent children,Owned: Owns outright,18,9,9,100
E01000014,No dependent children in household,Owned: Owns outright,91,79,12,15.19
E01000014,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,80,73,7,9.59
E01000014,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,92,72,20,27.78
E01000014,Household with dependent children,Private rented or lives rent free,83,45,38,84.44
E01000014,No dependent children in household,Private rented or lives rent free,48,34,14,41.18
E01000014,Household with dependent children,Rented: Social rented,77,83,-6,-7.23
E01000014,No dependent children in household,Rented: Social rented,140,120,20,16.67
E01000015,Household with dependent children,Owned: Owns outright,8,9,-1,-11.11
E01000015,No dependent children in household,Owned: Owns outright,82,74,8,10.81
E01000015,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,128,138,-10,-7.25
E01000015,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,132,134,-2,-1.49
E01000015,Household with dependent children,Private rented or lives rent free,149,135,14,10.37
E01000015,No dependent children in household,Private rented or lives rent free,74,77,-3,-3.9
E01000015,Household with dependent children,Rented: Social rented,129,148,-19,-12.84
E01000015,No dependent children in household,Rented: Social rented,130,121,9,7.44
E01000016,Household with dependent children,Owned: Owns outright,12,7,5,71.43
E01000016,No dependent children in household,Owned: Owns outright,97,88,9,10.23
E01000016,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,116,104,12,11.54
E01000016,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,87,107,-20,-18.69
E01000016,Household with dependent children,Private rented or lives rent free,74,53,21,39.62
E01000016,No dependent children in household,Private rented or lives rent free,32,41,-9,-21.95
E01000016,Household with dependent children,Rented: Social rented,81,87,-6,-6.9
E01000016,No dependent children in household,Rented: Social rented,117,139,-22,-15.83
E01000017,Household with dependent children,Owned: Owns outright,7,4,3,75
E01000017,No dependent children in household,Owned: Owns outright,83,86,-3,-3.49
E01000017,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,101,103,-2,-1.94
E01000017,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,89,100,-11,-11
E01000017,Household with dependent children,Private rented or lives rent free,55,43,12,27.91
E01000017,No dependent children in household,Private rented or lives rent free,50,34,16,47.06
E01000017,Household with dependent children,Rented: Social rented,77,79,-2,-2.53
E01000017,No dependent children in household,Rented: Social rented,135,160,-25,-15.62
E01000018,Household with dependent children,Owned: Owns outright,10,4,6,150
E01000018,No dependent children in household,Owned: Owns outright,93,82,11,13.41
E01000018,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,80,112,-32,-28.57
E01000018,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,91,107,-16,-14.95
E01000018,Household with dependent children,Private rented or lives rent free,82,48,34,70.83
E01000018,No dependent children in household,Private rented or lives rent free,42,25,17,68
E01000018,Household with dependent children,Rented: Social rented,100,100,0,0
E01000018,No dependent children in household,Rented: Social rented,152,134,18,13.43
E01000019,Household with dependent children,Owned: Owns outright,10,10,0,0
E01000019,No dependent children in household,Owned: Owns outright,68,102,-34,-33.33
E01000019,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,95,87,8,9.2
E01000019,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,57,83,-26,-31.33
E01000019,Household with dependent children,Private rented or lives rent free,103,59,44,74.58
E01000019,No dependent children in household,Private rented or lives rent free,41,37,4,10.81
E01000019,Household with dependent children,Rented: Social rented,60,61,-1,-1.64
E01000019,No dependent children in household,Rented: Social rented,63,65,-2,-3.08
E01000020,Household with dependent children,Owned: Owns outright,11,8,3,37.5
E01000020,No dependent children in household,Owned: Owns outright,70,88,-18,-20.45
E01000020,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,116,137,-21,-15.33
E01000020,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,102,107,-5,-4.67
E01000020,Household with dependent children,Private rented or lives rent free,96,65,31,47.69
E01000020,No dependent children in household,Private rented or lives rent free,53,38,15,39.47
E01000020,Household with dependent children,Rented: Social rented,84,86,-2,-2.33
E01000020,No dependent children in household,Rented: Social rented,124,121,3,2.48
E01000021,Household with dependent children,Owned: Owns outright,12,10,2,20
E01000021,No dependent children in household,Owned: Owns outright,60,62,-2,-3.23
E01000021,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,79,77,2,2.6
