inner_outer,hhcomp_common,nssec_common,value_21,value_11,value_01
Inner,Household has dependent children,"1. Higher managerial, administrative and professional occupations",64627,40789,32378
Inner,Household has dependent children,"2. Lower managerial, administrative and professional occupations",46186,51669,40502
Inner,Household has dependent children,3. Intermediate occupations,11981,12910,9661
Inner,Household has dependent children,4. Small employers and own account workers,32071,25990,18024
Inner,Household has dependent children,5. Lower supervisory and technical occupations,10960,13209,11718
Inner,Household has dependent children,6. Semi-routine occupations,15039,17220,17617
Inner,Household has dependent children,7. Routine occupations,16859,15423,14079
Inner,Household has dependent children,8. Never worked and long-term unemployed,6791,8607,9552
Inner,Household has dependent children,L15 Full-time students,1694,2894,2184
Outer,Household has dependent children,"1. Higher managerial, administrative and professional occupations",125819,83464,75778
Outer,Household has dependent children,"2. Lower managerial, administrative and professional occupations",104831,108043,105940
Outer,Household has dependent children,3. Intermediate occupations,29485,33699,28519
Outer,Household has dependent children,4. Small employers and own account workers,78570,65618,55770
Outer,Household has dependent children,5. Lower supervisory and technical occupations,23903,28036,33818
Outer,Household has dependent children,6. Semi-routine occupations,27717,31452,27212
Outer,Household has dependent children,7. Routine occupations,33687,28767,25378
Outer,Household has dependent children,8. Never worked and long-term unemployed,9347,9670,8066
Outer,Household has dependent children,L15 Full-time students,3029,4354,2248
