id,name.value
NM_1_1,Jobseeker's Allowance with rates and proportions
NM_2_1,claimant count - age and duration
NM_4_1,Jobseeker's Allowance by age and duration
NM_5_1,claimant count denominators - historical workforce series
NM_6_1,claimant count - occupation
NM_7_1,"claimant count - occupation, age and duration"
NM_8_1,"Jobseeker's Allowance off-flows by reason, age and duration"
NM_9_1,Jobseeker's Allowance flows by age and duration
NM_10_1,Jobseeker's Allowance flows
NM_11_1,Claimant Count - seasonally adjusted
NM_12_1,benefit claimants - employment and support allowance for small areas
NM_17_1,annual population survey
NM_17_5,annual population survey (variables (percentages))
NM_18_1,Jobseeker's Allowance by age and duration with proportions
NM_19_1,vacancies - seasonally adjusted series
NM_20_1,vacancies by industry
NM_21_1,vacancies by industry with duration analysis
NM_22_1,vacancies by occupation
NM_23_1,vacancies by occupation with duration analysis
NM_24_1,vacancies - summary analysis
NM_29_1,vat registrations/deregistrations by industry
NM_30_1,annual survey of hours and earnings  - resident analysis
NM_31_1,Population estimates - local authority based by five year age band
NM_34_1,vat registrations/deregistrations by industry - 1968 SIC
NM_35_1,1991 census - local base statistics
NM_37_1,1991 census - special workplace statistics
NM_38_1,1991 census - small area statistics
NM_39_1,Jobseeker's Allowance flows - seasonally adjusted
NM_44_1,vacancies by occupation - SOC 2000
NM_45_1,Jobseeker's Allowance - seasonally adjusted
NM_47_1,local area labour force survey
NM_47_5,local area labour force survey (variables (percentages))
NM_50_1,vacancies - notified by industry
NM_51_1,vacancies - notified by occupation
NM_52_1,claimant count denominators - current residents / workforce series
NM_57_1,jobs density
NM_58_1,2001 census - standard tables
NM_59_1,labour force survey - national and regional - headline indicators (seasonally adjusted)
NM_62_1,2001 census - census area statistics
NM_62_5,2001 census - census area statistics (create your own variables (percentages))
NM_63_1,1991 census - small area statistics (NI data)
NM_64_1,Jobseeker's Allowance by occupation
NM_65_1,"Jobseeker's Allowance by occupation, age and duration"
NM_66_1,1981 census - small area statistics
NM_67_1,1981 census - special workplace statistics
NM_68_1,benefit claimants 5% data - working age client group
NM_69_1,benefit claimants 5% data - working age families
NM_70_1,benefit claimants 5% data - children of working age clients
NM_71_1,benefit claimants 5% data - pensionable age
NM_73_1,benefit payments 5% data - pension credit
NM_74_1,benefit payments 5% data - state pension
NM_75_1,benefit payments 5% data - IB/SDA
NM_76_1,benefit payments 5% data - income support
NM_77_1,benefit payments 5% data - jobseekers allowance
NM_78_1,benefit payments 5% data - attendance allowance
NM_79_1,benefit payments 5% data - disability living allowance
NM_80_1,claimant count stocks
NM_81_1,registrants stocks
NM_82_1,registrants stocks - published
NM_83_1,registrants - age and duration
NM_84_1,registrants - age and duration
NM_85_1,claimant flows
NM_87_1,labour force survey - quarterly: four quarter averages
NM_88_1,2001 census - census area statistics theme tables
NM_89_1,vacancies - summary analysis
NM_90_1,vacancies - unfilled by duration and occupation
NM_91_1,vacancies - outflow by duration and occupation
NM_92_1,vacancies - unfilled by duration and industry
NM_93_1,vacancies - outflow by duration and industry
NM_94_1,2001 census - theme tables
NM_96_1,Jobseeker's Allowance flows by occupation
NM_97_1,Jobseeker's Allowance on-flows by occupation and age
